Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Mon, Dec 10, 2013 thru Sun, Dec 16, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS11A55P5X886  Odyssey      2013  28096  29375  Watson, Lori            Thu, Dec 13, 2013       D22-20-01 
 JD136F11155P72AA8  CR-Z         2013  23349  24705  Soto, Roger             Wed, Dec 12, 2013       D22-20-06 
 JC134F31055P1945X  CR-V         2013  30709  31995  Young, Carlos           Fri, Dec 14, 2013       D22-20-05 
 JH158S41855P19452  Odyssey      2013  39316  41375  Young, Carlos           Wed, Dec 12, 2013       D22-20-05 
 JB127S13955P19454  Civic        2013  15423  16655  Soto, Roger             Sun, Dec 16, 2013       D22-20-06 
 JB127S13455P3B676  Civic        2013  15337  16655  Morrison, Irene         Wed, Dec 12, 2013       D22-20-07 
 JA111S13155P83BC8  Accord       2013  21649  22480  Young, Carlos           Sat, Dec 15, 2013       D22-20-05 
 JA111S13455P1946X  Accord       2013  22344  22480  Watson, Lori            Wed, Dec 12, 2013       D22-20-01 
 JA1X7S32055P72AC2  Accord       2013  24733  25089  Soto, Roger             Wed, Dec 12, 2013       D22-20-06 
 JB127S13755P2A574  Civic        2013  16636  16655  Thompson, Gail          Mon, Dec 10, 2013       D22-20-03 
 JA1X1S12755P83BX6  Accord       2013  22163  24089  Morrison, Irene         Sun, Dec 16, 2013       D22-20-07 
 JA1X4FU2355P72AC8  Accord       2013  31755  34030  Watson, Lori            Sun, Dec 16, 2013       D22-20-01 
 JB124HU5955P1947X  Civic        2013  26167  28400  Nichols, Colleen        Sat, Dec 15, 2013       D22-20-04 
 JE142FU1955P72AX2  Crosstour    2013  34597  38640  Nichols, Colleen        Tue, Dec 11, 2013       D22-20-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU1642371229  Odyssey     2012  39285  47825  Nichols, Colleen        Sat, Dec 15, 2013       D22-20-04 
 JB123H1551X64BCX1  Civic       2009  17112  27600  Tucker, Ann             Sat, Dec 15, 2013       D22-20-02 
 JB129S1492393ABC3  Civic       2010  14899  23055  Thompson, Gail          Mon, Dec 10, 2013       D22-20-03 
 JB127S1361X3X7895  Civic       2009  10326  16655  Morrison, Irene         Mon, Dec 10, 2013       D22-20-07 
 JB129S147215189A7  Civic       2010  15318  23055  Young, Carlos           Sun, Dec 16, 2013       D22-20-05 
 JA1X5SU22YX23ABC9  Accord      2008  14103  27089  Nichols, Colleen        Mon, Dec 10, 2013       D22-20-04 
 JD139F3141X45CX21  CR-Z        2009  15423  25705  Romero, Gladys          Thu, Dec 13, 2013       D22-20-08 
 JD138FU142453ABX3  CR-Z        2010  18377  27705  Tucker, Ann             Wed, Dec 12, 2013       D22-20-02 
 JE141F11833882355  Crosstour   2011  27424  37640  Watson, Lori            Sun, Dec 16, 2013       D22-20-01 
 JE141F11021129AC7  Crosstour   2010  24915  37640  Romero, Gladys          Wed, Dec 12, 2013       D22-20-08 
 JB128SU39323189B9  Civic       2011  12891  17455  Romero, Gladys          Wed, Dec 12, 2013       D22-20-08 
 JJ16AF1193173AC41  Pilot       2011  38178  41970  Thompson, Gail          Tue, Dec 11, 2013       D22-20-03 
 JD137FU1023418A23  CR-Z        2010  17061  25705  Morrison, Irene         Sun, Dec 16, 2013       D22-20-07 
 JG148F11AY22X7915  Insight     2008  12686  24390  Romero, Gladys          Sat, Dec 15, 2013       D22-20-08 
 JB127S13922682497  Civic       2010  11107  16655  Soto, Roger             Sun, Dec 16, 2013       D22-20-06 
 JJ163F31A12P29B39  Pilot       2009  25782  42970  Nichols, Colleen        Thu, Dec 13, 2013       D22-20-04 
 JG148F11424729B41  Insight     2010  16196  24390  Romero, Gladys          Sat, Dec 15, 2013       D22-20-08 
