Dealer Name: Kaplan Honda
Address:     1605 Nebraska Blvd
             East Valley, FL
Dealer ID:   38
Owner:       Kaplan, Edward
Date:        Mon, Dec 10, 2013 thru Sun, Dec 16, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F11A55P834XX  Crosstour    2013  34675  37640  Henry, Courtney         Sun, Dec 16, 2013       D38-34-05 
 JB13ASU4655P3BC82  Civic        2013  23671  23855  Alvarez, Bill           Wed, Dec 12, 2013       D38-34-02 
 JA111S13255PX8954  Accord       2013  20839  22480  Alvarez, Bill           Thu, Dec 13, 2013       D38-34-02 
 JB127S13455P723C6  Civic        2013  16550  16655  Rice, Ruth              Mon, Dec 10, 2013       D38-34-06 
 JC132FU1255P612B8  CR-V         2013  31036  31995  Lee, Jason              Mon, Dec 10, 2013       D38-34-03 
 JB121S12755P5X1BX  Civic        2013  16187  16455  Alvarez, Darrell        Sun, Dec 16, 2013       D38-34-04 
 JB125G16755P612C2  Civic        2013  26262  28505  Lee, Jason              Sat, Dec 15, 2013       D38-34-03 
 JB121S12855P2AB84  Civic        2013  15502  16455  Alvarez, Bill           Sat, Dec 15, 2013       D38-34-02 
 JB127S13955P3BC96  Civic        2013  16723  16655  Alvarez, Bill           Fri, Dec 14, 2013       D38-34-02 
 JB127S13555PX8968  Civic        2013  16376  16655  Alvarez, Bill           Fri, Dec 14, 2013       D38-34-02 
 JA115SU3655P3BCAX  Accord       2013  24847  25480  Lee, Jason              Thu, Dec 13, 2013       D38-34-03 
 JA111S13455PX8972  Accord       2013  21418  22480  Alvarez, Bill           Thu, Dec 13, 2013       D38-34-02 
 JA1X8F32655PX8974  Accord       2013  31408  34030  Lee, Jason              Tue, Dec 11, 2013       D38-34-03 
 JD138FU1855P5X1C6  CR-Z         2013  25683  27705  Alvarez, Bill           Sun, Dec 16, 2013       D38-34-02 
 JG148F11055P19A88  Insight      2013  23059  24390  Rice, Ruth              Thu, Dec 13, 2013       D38-34-06 
 JA119S43055P4CXCX  Accord       2013  30547  31480  Alvarez, Bill           Wed, Dec 12, 2013       D38-34-02 
 JA117S33955P2ABA2  Accord       2013  22222  23480  Alvarez, Darrell        Sun, Dec 16, 2013       D38-34-04 
 JA1X1S12755P61214  Accord       2013  22659  24089  Rice, Ruth              Wed, Dec 12, 2013       D38-34-06 
 JH159F41455PX8986  Odyssey      2013  51462  56825  Murphy, Roger           Thu, Dec 13, 2013       D38-34-01 
 JB127S13555P72328  Civic        2013  15856  16655  Lee, Jason              Mon, Dec 10, 2013       D38-34-03 
 JB123H15855P2ABBX  Civic        2013  25447  27600  Lee, Jason              Wed, Dec 12, 2013       D38-34-03 
 JB121S12255P83442  Civic        2013  16444  16455  Murphy, Roger           Wed, Dec 12, 2013       D38-34-01 
 JH155FU1755P61224  Odyssey      2013  42680  47825  Henry, Courtney         Tue, Dec 11, 2013       D38-34-05 
 JH155FU1055P61226  Odyssey      2013  44862  47825  Henry, Courtney         Wed, Dec 12, 2013       D38-34-05 
 JH153FU1155P3BCC8  Odyssey      2013  43245  45825  Murphy, Roger           Wed, Dec 12, 2013       D38-34-01 
 JB122SU2955P2ABCX  Civic        2013  16405  17255  Lee, Jason              Fri, Dec 14, 2013       D38-34-03 
 JC132FU1755P83452  CR-V         2013  30056  31995  Lee, Jason              Sun, Dec 16, 2013       D38-34-03 
 JE141F11355PX89A4  Crosstour    2013  33908  37640  Alvarez, Darrell        Wed, Dec 12, 2013       D38-34-04 
 JC131F11255P61236  CR-V         2013  28661  30995  Alvarez, Darrell        Wed, Dec 12, 2013       D38-34-04 
 JH152SU1155P72348  Odyssey      2013  29808  30375  Lee, Jason              Tue, Dec 11, 2013       D38-34-03 
 JH153FU1655PX8A1X  Odyssey      2013  43710  45825  Alvarez, Darrell        Wed, Dec 12, 2013       D38-34-04 
 JJ16AF11655P4C152  Pilot        2013  40512  41970  Alvarez, Bill           Sun, Dec 16, 2013       D38-34-02 
 JA113SU3755P4C154  Accord       2013  21860  23480  Rice, Ruth              Sat, Dec 15, 2013       D38-34-06 
 JH153FU1755P72486  Odyssey      2013  43942  45825  Alvarez, Darrell        Sun, Dec 16, 2013       D38-34-04 
 JB127S13355P3BX48  Civic        2013  16030  16655  Lee, Jason              Wed, Dec 12, 2013       D38-34-03 
 
Used Car Sales
 
