Dealer Name: Yancy Honda
Address:     351 Washington St
             West Junction, AL
Dealer ID:   8
Owner:       Yancy, Clark
Date:        Mon, Dec 17, 2013 thru Sun, Dec 23, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14655171X38  Civic        2013  21831  23055  Parker, Tracy           Wed, Dec 19, 2013       D08-08-01 
 JH153FU11551X76AX  Odyssey      2013  43942  45825  Parker, Tracy           Thu, Dec 20, 2013       D08-08-01 
 JC133FU16551298C2  CR-V         2013  32589  33995  Rogers, Donna           Sat, Dec 22, 2013       D08-08-02 
 JH155FU125516XC34  Odyssey      2013  46075  47825  Rogers, Donna           Tue, Dec 18, 2013       D08-08-02 
 JH157F312551X76A6  Odyssey      2013  43012  45825  Parker, Tracy           Sat, Dec 22, 2013       D08-08-01 
 JC132FU185515CB28  CR-V         2013  28749  31995  Parker, Tracy           Thu, Dec 20, 2013       D08-08-01 
 JB127S1385511882X  Civic        2013  15423  16655  Rogers, Donna           Wed, Dec 19, 2013       D08-08-02 
 JA1X1S12055129932  Accord       2013  23030  24089  Parker, Tracy           Thu, Dec 20, 2013       D08-08-01 
 JB129S1485513AA44  Civic        2013  21001  23055  Parker, Tracy           Mon, Dec 17, 2013       D08-08-01 
 JA111S1365516XX76  Accord       2013  21997  22480  Parker, Tracy           Tue, Dec 18, 2013       D08-08-01 
 JA1X3SU2855118828  Accord       2013  24218  25089  Parker, Tracy           Fri, Dec 21, 2013       D08-08-01 
 JA1X3SU255512994X  Accord       2013  23058  25089  Rogers, Donna           Sun, Dec 23, 2013       D08-08-02 
 JE143FU17551822A2  Crosstour    2013  38422  40640  Rogers, Donna           Sun, Dec 23, 2013       D08-08-02 
 JC131F1125514BB64  CR-V         2013  29136  30995  Rogers, Donna           Thu, Dec 20, 2013       D08-08-02 
 JA111S13A551822A6  Accord       2013  21649  22480  Rogers, Donna           Wed, Dec 19, 2013       D08-08-02 
 JB127S1355516XX88  Civic        2013  15856  16655  Parker, Tracy           Fri, Dec 21, 2013       D08-08-01 
 JE143FU19551822BX  Crosstour    2013  38216  40640  Rogers, Donna           Sat, Dec 22, 2013       D08-08-02 
 JA1X3SU24551X7732  Accord       2013  24604  25089  Parker, Tracy           Thu, Dec 20, 2013       D08-08-01 
 JG148F119551822B4  Insight      2013  24187  24390  Rogers, Donna           Thu, Dec 20, 2013       D08-08-02 
 JA1X1S124551711A6  Accord       2013  22906  24089  Rogers, Donna           Mon, Dec 17, 2013       D08-08-02 
 JH155FU175513AA68  Odyssey      2013  43165  47825  Parker, Tracy           Wed, Dec 19, 2013       D08-08-01 
 JC131F1135514BB8X  CR-V         2013  28027  30995  Rogers, Donna           Tue, Dec 18, 2013       D08-08-02 
 JB127S1355516XXA2  Civic        2013  16550  16655  Rogers, Donna           Fri, Dec 21, 2013       D08-08-02 
 JB121S1215515CC94  Civic        2013  16530  16455  Parker, Tracy           Tue, Dec 18, 2013       D08-08-01 
 JD136F11A5513AA76  CR-Z         2013  22968  24705  Rogers, Donna           Wed, Dec 19, 2013       D08-08-02 
 JA117S33A5513AA78  Accord       2013  22222  23480  Parker, Tracy           Fri, Dec 21, 2013       D08-08-01 
 JA1X6FU255512997X  Accord       2013  35603  36030  Parker, Tracy           Wed, Dec 19, 2013       D08-08-01 
 JB128SU36551711C2  Civic        2013  17042  17455  Rogers, Donna           Fri, Dec 21, 2013       D08-08-02 
 JG148F118551711C4  Insight      2013  22307  24390  Parker, Tracy           Tue, Dec 18, 2013       D08-08-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14A5X382C47  Civic        2013  21679  23055  Rogers, Donna           Thu, Dec 20, 2013       D08-08-02 
