Dealer Name: Lance Honda
Address:     1136 Brooklin Ave
             Norbert, FL
Dealer ID:   17
Owner:       Lance, Samuel
Date:        Mon, Dec 17, 2013 thru Sun, Dec 23, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S132551826C6  Civic        2013  16290  16655  Morris, Bobbie          Tue, Dec 18, 2013       D17-16-05 
 JB127S13755129X68  Civic        2013  16723  16655  Medina, Emily           Sat, Dec 22, 2013       D17-16-07 
 JH152SU195513A18X  Odyssey      2013  29963  30375  Medina, Emily           Sat, Dec 22, 2013       D17-16-07 
 JC131F1195516X4B2  CR-V         2013  28027  30995  Lambert, Anita          Thu, Dec 20, 2013       D17-16-01 
 JC131F1105514B294  CR-V         2013  28819  30995  Morris, Bobbie          Tue, Dec 18, 2013       D17-16-05 
 JB122SU27551715C6  Civic        2013  16764  17255  Hansen, Ralph           Tue, Dec 18, 2013       D17-16-09 
 JD136F11655129X78  CR-Z         2013  22715  24705  Medina, Emily           Wed, Dec 19, 2013       D17-16-07 
 JA111S13055118C7X  Accord       2013  21881  22480  Morris, Bobbie          Fri, Dec 21, 2013       D17-16-05 
 JH154SU185515C3B2  Odyssey      2013  30901  32375  Hansen, Ralph           Tue, Dec 18, 2013       D17-16-09 
 JB127S13A551X7B64  Civic        2013  15856  16655  Cole, Peter             Thu, Dec 20, 2013       D17-16-02 
 JB128SU3655182616  Civic        2013  17223  17455  Hansen, Ralph           Sat, Dec 22, 2013       D17-16-09 
 JB127S1325513A198  Civic        2013  16723  16655  Morris, Bobbie          Thu, Dec 20, 2013       D17-16-05 
 JH151F1185517151X  Odyssey      2013  41632  44825  Rodriguez, Mathew       Sat, Dec 22, 2013       D17-16-06 
 JH152SU115516X4X2  Odyssey      2013  29963  30375  Rodriguez, Mathew       Sat, Dec 22, 2013       D17-16-06 
 JG148F11755171514  Insight      2013  23059  24390  West, Sally             Sun, Dec 23, 2013       D17-16-04 
 JD138FU195515C3C6  CR-Z         2013  26251  27705  Herrera, Nina           Fri, Dec 21, 2013       D17-16-03 
 JH151F11655182628  Odyssey      2013  41405  44825  Medina, Emily           Sat, Dec 22, 2013       D17-16-07 
 JB121S1215515C3XX  Civic        2013  15845  16455  Medina, Emily           Sat, Dec 22, 2013       D17-16-07 
 JG149FU1655118C92  Insight      2013  24183  25190  Morris, Bobbie          Thu, Dec 20, 2013       D17-16-05 
