Dealer Name: Newton Honda
Address:     4893 Brooklin Ave
             Granger, AL
Dealer ID:   34
Owner:       Newton, Robert
Date:        Mon, Dec 17, 2013 thru Sun, Dec 23, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK166FU1955172286  Ridgeline    2013  43824  47750  Torres, Caroline        Fri, Dec 21, 2013       D34-30-01 
 JH153FU195514CC58  Odyssey      2013  43942  45825  Webb, Ken               Wed, Dec 19, 2013       D34-30-02 
 JB123H1545516118X  Civic        2013  27285  27600  Rice, Georgia           Tue, Dec 18, 2013       D34-30-03 
 JA111S1325514CC62  Accord       2013  20492  22480  Rice, Georgia           Fri, Dec 21, 2013       D34-30-03 
 JH153FU115512AA44  Odyssey      2013  44407  45825  Jensen, Bill            Sun, Dec 23, 2013       D34-30-06 
 JH152SU1355161186  Odyssey      2013  29187  30375  Jensen, Bill            Wed, Dec 19, 2013       D34-30-06 
 JB121S1295513BB58  Civic        2013  15759  16455  Rice, Georgia           Tue, Dec 18, 2013       D34-30-03 
 JB127S1375516119X  Civic        2013  16636  16655  Jensen, Bill            Tue, Dec 18, 2013       D34-30-06 
 JA1X2F1215513BB62  Accord       2013  31008  33030  Rodriquez, Jorge        Thu, Dec 20, 2013       D34-30-04 
 JB127S1355513BB64  Civic        2013  16376  16655  Bennett, Michele        Sun, Dec 23, 2013       D34-30-05 
 JB127S133551833B6  Civic        2013  16376  16655  Rice, Georgia           Wed, Dec 19, 2013       D34-30-03 
 JA119S4385512AA58  Accord       2013  28617  31480  Jensen, Bill            Wed, Dec 19, 2013       D34-30-06 
 JB121S124551611AX  Civic        2013  15160  16455  Rodriquez, Jorge        Sun, Dec 23, 2013       D34-30-04 
 JG148F1155512AA62  Insight      2013  22433  24390  Webb, Ken               Mon, Dec 17, 2013       D34-30-02 
 JA115SU395512AA64  Accord       2013  24716  25480  Jensen, Bill            Mon, Dec 17, 2013       D34-30-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H154528X8335  Civic        2013  25792  27600  Bennett, Michele        Fri, Dec 21, 2013       D34-30-05 
 JC131F1152283B667  CR-V        2010  20542  30995  Jensen, Bill            Sat, Dec 22, 2013       D34-30-06 
 JC132FU10535X8339  CR-V         2013  29769  31995  Webb, Ken               Sat, Dec 22, 2013       D34-30-02 
 JC131F1161255X891  CR-V        2009  19216  30995  Webb, Ken               Sat, Dec 22, 2013       D34-30-02 
 JB128SU31451X8343  Civic       2012  14685  17455  Rodriquez, Jorge        Wed, Dec 19, 2013       D34-30-04 
 JC132FU1421819455  CR-V        2010  21200  31995  Webb, Ken               Fri, Dec 21, 2013       D34-30-02 
 JD136F11922883BC7  CR-Z        2010  16403  24705  Rodriquez, Jorge        Wed, Dec 19, 2013       D34-30-04 
 JH151F116319619A9  Odyssey     2011  32598  44825  Jensen, Bill            Thu, Dec 20, 2013       D34-30-06 
 JC135F4192X383BX1  CR-V        2010  36399  39995  Bennett, Michele        Sat, Dec 22, 2013       D34-30-05 
 JH155FU152X52A573  Odyssey     2010  30752  47825  Rodriquez, Jorge        Fri, Dec 21, 2013       D34-30-04 
 JB125G16625P5X8A5  Civic       2010  18904  28505  Jensen, Bill            Thu, Dec 20, 2013       D34-30-06 
 JH153FU1742972AC7  Odyssey     2012  37200  45825  Rodriquez, Jorge        Sat, Dec 22, 2013       D34-30-04 
 JH153FU143464C799  Odyssey     2011  33965  45825  Rodriquez, Jorge        Sun, Dec 23, 2013       D34-30-04 
