Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Tue, Jan 15, 2014 thru Mon, Jan 21, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC133FU146X329534  CR-V         2014  33848  33995  Ryan, Margie            Fri, Jan 18, 2014       D01-01-06 
 JB121S1296X382B96  Civic        2014  15966  16455  Russell, Connie         Thu, Jan 17, 2014       D01-01-01 
 JB121S1266X371A88  Civic        2014  15445  16455  Jennings, Terry         Mon, Jan 21, 2014       D01-01-02 
 JH15AS1116X382BAX  Odyssey      2014  27247  29375  Jennings, Terry         Fri, Jan 18, 2014       D01-01-02 
 JD136F1106X3X7322  CR-Z         2014  22788  24705  Ryan, Margie            Wed, Jan 16, 2014       D01-01-06 
 JA1X1S1216X318434  Accord       2014  23489  24089  Wood, Lloyd             Tue, Jan 15, 2014       D01-01-04 
 JE141F1196X318436  Crosstour    2014  36998  37640  Wood, Lloyd             Fri, Jan 18, 2014       D01-01-04 
 JH151F1146X382BA8  Odyssey      2014  41381  44825  Ryan, Margie            Wed, Jan 16, 2014       D01-01-06 
 JB121S1216X34B77X  Civic        2014  15445  16455  Russell, Connie         Fri, Jan 18, 2014       D01-01-01 
 JC132FU126X329552  CR-V         2014  29276  31995  Wood, Lloyd             Sat, Jan 19, 2014       D01-01-04 
 JB122SU216X35C884  Civic        2014  16521  17255  King, Michelle          Fri, Jan 18, 2014       D01-01-03 
 JB129S1406X3X7336  Civic        2014  21559  23055  King, Michelle          Wed, Jan 16, 2014       D01-01-03 
 JC131F11A6X371AA8  CR-V         2014  28546  30995  Ryan, Margie            Mon, Jan 21, 2014       D01-01-06 
 JB129S1456X371ABX  Civic        2014  21319  23055  King, Michelle          Thu, Jan 17, 2014       D01-01-03 
 JD14AF4126X329562  CR-Z         2014  31836  33705  Harper, Freddie         Sun, Jan 20, 2014       D01-01-05 
 JB127S1386X329564  Civic        2014  17028  16655  Jennings, Terry         Tue, Jan 15, 2014       D01-01-02 
 JB127S1376X3X7346  Civic        2014  16501  16655  Harper, Freddie         Wed, Jan 16, 2014       D01-01-05 
 JB121S1246X329568  Civic        2014  15619  16455  Jennings, Terry         Sat, Jan 19, 2014       D01-01-02 
 JE142FU186X36X9BX  Crosstour    2014  35783  38640  Russell, Connie         Wed, Jan 16, 2014       D01-01-01 
 JH155FU136X35C8A2  Odyssey      2014  45801  47825  Wood, Lloyd             Wed, Jan 16, 2014       D01-01-04 
 JB129S1406X318464  Civic        2014  21799  23055  Harper, Freddie         Sat, Jan 19, 2014       D01-01-05 
 JB121S1276X36X9B6  Civic        2014  16400  16455  Jennings, Terry         Fri, Jan 18, 2014       D01-01-02 
 JH151F1126X34B798  Odyssey      2014  40466  44825  King, Michelle          Tue, Jan 15, 2014       D01-01-03 
 JA111S13A6X31847X  Accord       2014  22678  22480  Russell, Connie         Tue, Jan 15, 2014       D01-01-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS111Y1P29535  Odyssey     2000  12534  29375  Wood, Lloyd             Mon, Jan 21, 2014       D01-01-04 
 JE141F11113P4B757  Crosstour   2001  18820  37640  Wood, Lloyd             Mon, Jan 21, 2014       D01-01-04 
 JG149FU1843882B99  Insight     2004  18984  25190  Jennings, Terry         Wed, Jan 16, 2014       D01-01-02 
 JA111S13945282BA1  Accord      2004  16995  22480  Russell, Connie         Tue, Jan 15, 2014       D01-01-01 
 JH15AS1186X15C873  Odyssey      2014  27602  29375  Harper, Freddie         Sat, Jan 19, 2014       D01-01-05 
 JB121S1222X25C875  Civic       2002  10341  16455  Russell, Connie         Fri, Jan 18, 2014       D01-01-01 
 JH158S41541582BA7  Odyssey     2004  30864  41375  Ryan, Margie            Sat, Jan 19, 2014       D01-01-06 
 JD136F11022829549  CR-Z        2002  15456  24705  Harper, Freddie         Thu, Jan 17, 2014       D01-01-05 
 JB13ASU42251X7331  Civic       2002  14929  23855  King, Michelle          Thu, Jan 17, 2014       D01-01-03 
 JE143FU111423A663  Crosstour   2001  20320  40640  Wood, Lloyd             Tue, Jan 15, 2014       D01-01-04 
 JB129S14822P6X995  Civic       2002  14433  23055  Jennings, Terry         Mon, Jan 21, 2014       D01-01-02 
 JB129S143328X7337  Civic       2003  15466  23055  Jennings, Terry         Fri, Jan 18, 2014       D01-01-02 
 JB128SU3752929559  Civic       2005  14867  17455  Russell, Connie         Sat, Jan 19, 2014       D01-01-01 
 JH155FU12219X7341  Odyssey     2002  29791  47825  Jennings, Terry         Fri, Jan 18, 2014       D01-01-02 
 JC132FU185224B783  CR-V        2005  26644  31995  Harper, Freddie         Fri, Jan 18, 2014       D01-01-05 
 JJ162FU163166X9A5  Pilot       2003  29068  44970  King, Michelle          Fri, Jan 18, 2014       D01-01-03 
 JE142FU1733P18457  Crosstour   2003  25017  38640  King, Michelle          Sat, Jan 19, 2014       D01-01-03 
