Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Tue, Jan 15, 2014 thru Mon, Jan 21, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB13ASU406X318472  Civic        2014  21908  23855  Moore, Carla            Tue, Jan 15, 2014       D02-02-02 
 JB127S1376X35C8B4  Civic        2014  17028  16655  Snyder, Pauline         Thu, Jan 17, 2014       D02-02-06 
 JD137FU166X371AX6  CR-Z         2014  23678  25705  Shelton, Judith         Mon, Jan 21, 2014       D02-02-03 
 JA1X3SU246X33A698  Accord       2014  23390  25089  Shelton, Marion         Mon, Jan 21, 2014       D02-02-04 
 JB127S1316X32959X  Civic        2014  16852  16655  Shelton, Judith         Tue, Jan 15, 2014       D02-02-03 
 JB121S1296X34B7B2  Civic        2014  15966  16455  Snyder, Pauline         Fri, Jan 18, 2014       D02-02-06 
 JB127S1366X329594  Civic        2014  16940  16655  Watson, Peggy           Wed, Jan 16, 2014       D02-02-01 
 JH155FU136X382B26  Odyssey      2014  44096  47825  Shelton, Marion         Sun, Jan 20, 2014       D02-02-04 
 JH156S3176X329598  Odyssey      2014  27991  30375  Snyder, Pauline         Thu, Jan 17, 2014       D02-02-06 
 JC133FU136X371A2X  CR-V         2014  32626  33995  Shelton, Marion         Sun, Jan 20, 2014       D02-02-04 
 JB129S1476X3X7382  Civic        2014  22996  23055  Snyder, Pauline         Sat, Jan 19, 2014       D02-02-06 
 JG148F11A6X318494  Insight      2014  23140  24390  Watson, Peggy           Mon, Jan 21, 2014       D02-02-01 
 JH157F3186X34B7C6  Odyssey      2014  44856  45825  Shelton, Marion         Mon, Jan 21, 2014       D02-02-04 
 JC131F1116X318498  CR-V         2014  30459  30995  Shelton, Judith         Mon, Jan 21, 2014       D02-02-03 
 JB127S1326X34B7XX  Civic        2014  16238  16655  Simpson, Greg           Thu, Jan 17, 2014       D02-02-05 
 JB127S1396X382B42  Civic        2014  15623  16655  Moore, Carla            Tue, Jan 15, 2014       D02-02-02 
 JB122SU246X371A34  Civic        2014  16157  17255  Shelton, Marion         Sun, Jan 20, 2014       D02-02-04 
 JB129S1476X3X7396  Civic        2014  22517  23055  Simpson, Greg           Tue, Jan 15, 2014       D02-02-05 
 JH156S3156X35C818  Odyssey      2014  27991  30375  Snyder, Pauline         Tue, Jan 15, 2014       D02-02-06 
 JA111S1366X33A6XX  Accord       2014  20691  22480  Shelton, Judith         Sat, Jan 19, 2014       D02-02-03 
 JD136F11A6X36X932  CR-Z         2014  22916  24705  Moore, Carla            Sat, Jan 19, 2014       D02-02-02 
 JA111S1306X33A6X4  Accord       2014  20808  22480  Shelton, Marion         Wed, Jan 16, 2014       D02-02-04 
 JB127S1376X3184B6  Civic        2014  15799  16655  Shelton, Marion         Tue, Jan 15, 2014       D02-02-04 
 JB127S1386X34B718  Civic        2014  16765  16655  Moore, Carla            Tue, Jan 15, 2014       D02-02-02 
 JB13ASU466X32963X  Civic        2014  22403  23855  Watson, Peggy           Wed, Jan 16, 2014       D02-02-01 
 JD136F1166X329632  CR-Z         2014  23812  24705  Simpson, Greg           Sun, Jan 20, 2014       D02-02-05 
 JB121S1286X33A744  Civic        2014  16226  16455  Shelton, Judith         Sun, Jan 20, 2014       D02-02-03 
 JA118F3346X329636  Accord       2014  32566  33930  Watson, Peggy           Thu, Jan 17, 2014       D02-02-01 
 JH151F1156X34B858  Odyssey      2014  41381  44825  Watson, Peggy           Thu, Jan 17, 2014       D02-02-01 
 JD136F1186X371B9X  CR-Z         2014  24708  24705  Simpson, Greg           Wed, Jan 16, 2014       D02-02-05 
 JB127S1346X382CA2  Civic        2014  16852  16655  Shelton, Marion         Fri, Jan 18, 2014       D02-02-04 
 JB129S1426X329644  Civic        2014  21200  23055  Moore, Carla            Thu, Jan 17, 2014       D02-02-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB122SU2434729569  Civic       2003  11649  17255  Shelton, Marion         Tue, Jan 15, 2014       D02-02-04 
 JC134F3143115C8A1  CR-V        2003  21348  31995  Shelton, Marion         Sat, Jan 19, 2014       D02-02-04 
 JH158S41924882BX3  Odyssey     2002  25792  41375  Snyder, Pauline         Thu, Jan 17, 2014       D02-02-06 
 JH155FU1845282BX5  Odyssey     2004  35599  47825  Shelton, Judith         Sat, Jan 19, 2014       D02-02-03 
 JD138FU1344482BX7  CR-Z        2004  20830  27705  Moore, Carla            Sat, Jan 19, 2014       D02-02-02 
 JH151F11032682BX9  Odyssey     2003  29790  44825  Moore, Carla            Wed, Jan 16, 2014       D02-02-02 
 JH155FU1021429581  Odyssey     2002  28830  47825  Shelton, Judith         Wed, Jan 16, 2014       D02-02-03 
 JJ164F411336X7363  Pilot       2003  34828  53970  Moore, Carla            Sun, Jan 20, 2014       D02-02-02 
 JH15AS11431818475  Odyssey     2003  19088  29375  Simpson, Greg           Sun, Jan 20, 2014       D02-02-05 
 JH151F1151X6X7367  Odyssey     2001  23533  44825  Shelton, Marion         Tue, Jan 15, 2014       D02-02-04 
 JB127S13133882B19  Civic       2003  11255  16655  Snyder, Pauline         Mon, Jan 21, 2014       D02-02-06 
 JB123H15823982B21  Civic       2002  17251  27600  Moore, Carla            Sat, Jan 19, 2014       D02-02-02 
 JH153FU1133P29593  Odyssey     2003  41878  45825  Shelton, Judith         Fri, Jan 18, 2014       D02-02-03 
 JH153FU1A33P71A15  Odyssey     2003  28783  45825  Moore, Carla            Sat, Jan 19, 2014       D02-02-02 
 JC131F11522118487  CR-V        2002  19356  30995  Snyder, Pauline         Wed, Jan 16, 2014       D02-02-06 
 JH15AS11754P71A19  Odyssey     2005  24522  29375  Simpson, Greg           Fri, Jan 18, 2014       D02-02-05 
 JH155FU1342771A21  Odyssey     2004  35599  47825  Shelton, Marion         Sat, Jan 19, 2014       D02-02-04 
 JD136F1124X3295A3  CR-Z        2004  18628  24705  Simpson, Greg           Wed, Jan 16, 2014       D02-02-05 
 JH159F41A4166X915  Odyssey     2004  42205  56825  Moore, Carla            Wed, Jan 16, 2014       D02-02-02 
 JB127S13251418497  Civic       2005  14044  16655  Snyder, Pauline         Sat, Jan 19, 2014       D02-02-06 
 JH157F31A326X7389  Odyssey     2003  30448  45825  Shelton, Judith         Sat, Jan 19, 2014       D02-02-03 
 JK166FU111383A6C1  Ridgeline   2001  25068  47750  Shelton, Judith         Wed, Jan 16, 2014       D02-02-03 
