Dealer Name: Walker Honda
Address:     1240 Harrison Ave
             Port Kiln, SC
Dealer ID:   10
Owner:       Walker, Shelly
Date:        Tue, Jan 15, 2014 thru Mon, Jan 21, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU106X329A34  Odyssey      2014  44622  45825  Ross, Darren            Wed, Jan 16, 2014       D10-07-05 
 JA1X1S1226X3X7816  Accord       2014  21990  24089  Wright, Emma            Mon, Jan 21, 2014       D10-07-04 
 JB121S12A6X3X7818  Civic        2014  15706  16455  Marshall, Allan         Sat, Jan 19, 2014       D10-07-01 
 JB127S1336X3823AX  Civic        2014  16677  16655  Wright, Emma            Fri, Jan 18, 2014       D10-07-04 
 JA115SU316X3823A2  Accord       2014  24665  25480  Marshall, Allan         Tue, Jan 15, 2014       D10-07-01 
 JH155FU196X3X7824  Odyssey      2014  46776  47825  Alvarez, David          Fri, Jan 18, 2014       D10-07-06 
 JA119S4356X34BC66  Accord       2014  28656  31480  Alvarez, David          Thu, Jan 17, 2014       D10-07-06 
 JE143FU176X3823A8  Crosstour    2014  39463  40640  Gardner, Salvador       Sat, Jan 19, 2014       D10-07-03 
 JC132FU126X33AB6X  CR-V         2014  30921  31995  Wright, Emma            Thu, Jan 17, 2014       D10-07-04 
 JG148F1126X3X7832  Insight      2014  22508  24390  Fields, Roland          Wed, Jan 16, 2014       D10-07-02 
 JB127S1346X36X194  Civic        2014  16852  16655  Ross, Darren            Sun, Jan 20, 2014       D10-07-05 
 JE142FU126X3823B6  Crosstour    2014  34992  38640  Alvarez, David          Mon, Jan 21, 2014       D10-07-06 
 JB121S1236X318948  Civic        2014  16226  16455  Marshall, Allan         Sun, Jan 20, 2014       D10-07-01 
 JB129S1456X329A6X  Civic        2014  21918  23055  Ross, Darren            Sat, Jan 19, 2014       D10-07-05 
 JB121S1286X36X1A2  Civic        2014  16226  16455  Marshall, Allan         Sat, Jan 19, 2014       D10-07-01 
 JA1X9S4226X36X1A4  Accord       2014  31099  33089  Marshall, Allan         Mon, Jan 21, 2014       D10-07-01 
 JA111S1306X318956  Accord       2014  21626  22480  Ross, Darren            Tue, Jan 15, 2014       D10-07-05 
 JD137FU186X34BC88  CR-Z         2014  25008  25705  Gardner, Salvador       Fri, Jan 18, 2014       D10-07-03 
 JA111S1336X35CXAX  Accord       2014  21626  22480  Fields, Roland          Fri, Jan 18, 2014       D10-07-02 
 JC131F1166X34BC92  CR-V         2014  28864  30995  Wright, Emma            Sun, Jan 20, 2014       D10-07-04 
 JJ161FU196X35CXA4  Pilot        2014  39044  42970  Ross, Darren            Mon, Jan 21, 2014       D10-07-05 
 JB129S1456X36X1B6  Civic        2014  22158  23055  Alvarez, David          Sat, Jan 19, 2014       D10-07-06 
 JA111S1366X33AB88  Accord       2014  21626  22480  Fields, Roland          Thu, Jan 17, 2014       D10-07-02 
 JB127S1366X3712XX  Civic        2014  16501  16655  Alvarez, David          Sat, Jan 19, 2014       D10-07-06 
 JD136F11A6X3X7862  CR-Z         2014  24708  24705  Marshall, Allan         Tue, Jan 15, 2014       D10-07-01 
 JD139F3196X382314  CR-Z         2014  25008  25705  Ross, Darren            Sun, Jan 20, 2014       D10-07-05 
 JB129S1436X35CXB6  Civic        2014  22038  23055  Fields, Roland          Tue, Jan 15, 2014       D10-07-02 
 JB121S1246X36X1C8  Civic        2014  15359  16455  Ross, Darren            Fri, Jan 18, 2014       D10-07-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F115319X7481  Odyssey     2003  28976  44825  Wright, Emma            Mon, Jan 21, 2014       D10-07-04 
 JD137FU1A34771B23  CR-Z        2003  16739  25705  Wright, Emma            Fri, Jan 18, 2014       D10-07-04 
 JH152SU183415C9X5  Odyssey     2003  20282  30375  Alvarez, David          Fri, Jan 18, 2014       D10-07-06 
 JB121S1273385C9X7  Civic       2003  11123  16455  Gardner, Salvador       Sun, Jan 20, 2014       D10-07-03 
 JH15AS11A31282C39  Odyssey     2003  19624  29375  Ross, Darren            Sun, Jan 20, 2014       D10-07-05 
