Dealer Name: Shelly Walker Honda
Address:     8797 Dixon Drive
             New Whales, SC
Dealer ID:   20
Owner:       Walker, Sally
Date:        Tue, Jan 15, 2014 thru Mon, Jan 21, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F1196X37162X  CR-V         2014  30938  30995  Kelley, Edna            Tue, Jan 15, 2014       D20-01-06 
 JJ161FU116X36X512  Pilot        2014  40360  42970  Lawson, Tyler           Fri, Jan 18, 2014       D20-01-08 
 JB125G1656X34B3C4  Civic        2014  27934  28505  Kelley, Edna            Sun, Jan 20, 2014       D20-01-06 
 JA119S4376X371626  Accord       2014  30113  31480  Simpson, Suzanne        Sun, Jan 20, 2014       D20-01-03 
 JA111S1366X34B3C8  Accord       2014  21392  22480  Foster, Leah            Fri, Jan 18, 2014       D20-01-05 
 JD136F1196X3X7C9X  CR-Z         2014  23940  24705  Simpson, Suzanne        Sun, Jan 20, 2014       D20-01-03 
 JJ162FU196X382742  Pilot        2014  41741  44970  Clark, Veronica         Sat, Jan 19, 2014       D20-01-02 
 JB121S1296X35C414  Civic        2014  16140  16455  Simpson, Suzanne        Thu, Jan 17, 2014       D20-01-03 
 JH157F31A6X33A2C6  Odyssey      2014  41818  45825  Kelley, Edna            Wed, Jan 16, 2014       D20-01-06 
 JH151F1126X34B3X8  Odyssey      2014  41381  44825  Lawson, Tyler           Thu, Jan 17, 2014       D20-01-08 
 JB127S1346X33A2XX  Civic        2014  15448  16655  Foster, Leah            Sat, Jan 19, 2014       D20-01-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU15417X77A1  Odyssey     2004  33480  45825  Kelley, Edna            Mon, Jan 21, 2014       D20-01-06 
 JB127S1342X66XX33  Civic       2002  10465  16655  Kelley, Edna            Tue, Jan 15, 2014       D20-01-06 
 JH157F313249X77A5  Odyssey     2002  27630  45825  Lawson, Tyler           Fri, Jan 18, 2014       D20-01-08 
 JB127S1304515CC27  Civic       2004  12720  16655  Lawson, Tyler           Sun, Jan 20, 2014       D20-01-08 
 JB128SU3131482259  Civic       2003  11781  17455  Lawson, Tyler           Tue, Jan 15, 2014       D20-01-08 
 JA1X9S424YX53AB41  Accord      2000  14131  33089  Lawson, Tyler           Thu, Jan 17, 2014       D20-01-08 
 JH155FU1723529A33  Odyssey     2002  29791  47825  Hoffman, Marilyn        Fri, Jan 18, 2014       D20-01-01 
 JB127S1383X618925  Civic       2003  11255  16655  Foster, Leah            Mon, Jan 21, 2014       D20-01-05 
 JB121S1222375CX67  Civic       2002  10341  16455  Hoffman, Marilyn        Mon, Jan 21, 2014       D20-01-01 
 JG148F119242X7819  Insight     2002  15261  24390  Hoffman, Marilyn        Fri, Jan 18, 2014       D20-01-01 
