Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Tue, Jan 15, 2014 thru Mon, Jan 21, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB128SU376X34C18X  Civic        2014  17620  17455  Carr, Linda             Wed, Jan 16, 2014       D36-32-04 
 JB121S1246X3724B2  Civic        2014  16226  16455  Carr, Linda             Sat, Jan 19, 2014       D36-32-04 
 JB127S1326X3613A4  Civic        2014  15536  16655  Webb, Hector            Mon, Jan 21, 2014       D36-32-02 
 JA117S3356X3724B6  Accord       2014  21576  23480  Fleming, Larry          Thu, Jan 17, 2014       D36-32-05 
 JH15AS1116X34C188  Odyssey      2014  27550  29375  Carr, Linda             Tue, Jan 15, 2014       D36-32-04 
 JA111S13A6X32AC7X  Accord       2014  20808  22480  Armstrong, Amber        Tue, Jan 15, 2014       D36-32-06 
 JB129S1466X3X8A52  Civic        2014  22996  23055  Washington, Jerry       Tue, Jan 15, 2014       D36-32-01 
 JB123H1556X34C194  Civic        2014  26077  27600  Fleming, Larry          Mon, Jan 21, 2014       D36-32-05 
 JD136F1156X34C196  CR-Z         2014  23940  24705  Gonzales, Brian         Wed, Jan 16, 2014       D36-32-03 
 JA1X3SU206X3613B8  Accord       2014  23130  25089  Gonzales, Brian         Wed, Jan 16, 2014       D36-32-03 
 JA1X1S1206X38351X  Accord       2014  22739  24089  Carr, Linda             Sat, Jan 19, 2014       D36-32-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F1182X62A587  Crosstour   2002  23476  37640  Washington, Jerry       Sun, Jan 20, 2014       D36-32-01 
 JF146S1131X5619C9  Fit         2001  8413   16025  Gonzales, Brian         Fri, Jan 18, 2014       D36-32-03 
 JH152SU152195X8C1  Odyssey     2002  18972  30375  Washington, Jerry       Thu, Jan 17, 2014       D36-32-01 
 JH15AS118516619X3  Odyssey     2005  23917  29375  Washington, Jerry       Tue, Jan 15, 2014       D36-32-01 
