Dealer Name: Top Pick Honda
Address:     2795 Brooklin Ave
             Harrison, SC
Dealer ID:   5
Owner:       Houseman, Jonathan
Date:        Tue, Jan 22, 2014 thru Mon, Jan 28, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU1A6X418656  Odyssey      2014  28616  30375  Brooks, Herman          Wed, Jan 23, 2014       D05-05-01 
 JA1X2F1296X429768  Accord       2014  32233  33030  Moreno, Tyrone          Sun, Jan 27, 2014       D05-05-03 
 JC131F1176X43A88X  CR-V         2014  29821  30995  Moreno, Tyrone          Sat, Jan 26, 2014       D05-05-03 
 JA1X7S3216X429772  Accord       2014  24689  25089  Neal, Douglas           Mon, Jan 28, 2014       D05-05-06 
 JB125G16A6X44B994  Civic        2014  28375  28505  Foster, Leona           Tue, Jan 22, 2014       D05-05-07 
 JA111S1306X471CC6  Accord       2014  20574  22480  Ford, Roger             Thu, Jan 24, 2014       D05-05-08 
 JB127S1356X418668  Civic        2014  15711  16655  Ford, Roger             Sat, Jan 26, 2014       D05-05-08 
 JD136F1106X482X1X  CR-Z         2014  24068  24705  Lynch, Christian        Sat, Jan 26, 2014       D05-05-02 
 JB121S1236X45CAB2  Civic        2014  15272  16455  Ford, Roger             Sat, Jan 26, 2014       D05-05-08 
 JB122SU266X46XBC4  Civic        2014  16067  17255  Marshall, Donna         Sat, Jan 26, 2014       D05-05-05 
 JA1X1S12A6X471CX6  Accord       2014  23239  24089  Lynch, Christian        Mon, Jan 28, 2014       D05-05-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1112X818577  CR-Z        2002  15456  24705  Ford, Roger             Sat, Jan 26, 2014       D05-05-08 
 JH152SU1A31382C19  Odyssey     2003  19728  30375  Ford, Roger             Mon, Jan 28, 2014       D05-05-08 
 JH152SU12313X7471  Odyssey     2003  19728  30375  Snyder, Norma           Wed, Jan 23, 2014       D05-05-04 
 JB121S12813471B13  Civic       2001  8638   16455  Snyder, Norma           Sat, Jan 26, 2014       D05-05-04 
 JH151F11A4X918585  Odyssey     2004  32760  44825  Ford, Roger             Tue, Jan 22, 2014       D05-05-08 
 JB121S126215X7477  Civic       2002  10341  16455  Foster, Leona           Thu, Jan 24, 2014       D05-05-07 
 JC133FU1444982C29  CR-V        2004  25447  33995  Lynch, Christian        Tue, Jan 22, 2014       D05-05-02 
