Dealer Name: Donner Honda
Address:     9484 Ford Parkwark
             Hinds, NC
Dealer ID:   14
Owner:       Donner, Earl
Date:        Tue, Feb 19, 2014 thru Mon, Feb 25, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S1226X8X7A66  Accord       2014  22864  24089  Dixon, Alfredo          Wed, Feb 20, 2014       D14-13-02 
 JH152SU186X8714X8  Odyssey      2014  29867  30375  Hart, Leona             Mon, Feb 25, 2014       D14-13-05 
 JB121S1276X83AXAX  Civic        2014  15619  16455  Reynolds, Alan          Sun, Feb 24, 2014       D14-13-01 
 JB121S1256X882522  Civic        2014  16660  16455  Rose, Terrance          Tue, Feb 19, 2014       D14-13-06 
 JB127S1326X83AXA4  Civic        2014  15623  16655  Rose, Terrance          Thu, Feb 21, 2014       D14-13-06 
 JH158S4146X86X3X6  Odyssey      2014  39315  41375  Dixon, Alfredo          Wed, Feb 20, 2014       D14-13-02 
 JA111S1376X83AXA8  Accord       2014  22211  22480  Dixon, Alfredo          Tue, Feb 19, 2014       D14-13-02 
 JA1X3SU2A6X84B1CX  Accord       2014  23909  25089  Reid, Danielle          Tue, Feb 19, 2014       D14-13-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU176X56XC81  CR-V         2014  29973  31995  Reynolds, Alan          Fri, Feb 22, 2014       D14-13-01 
 JH151F111Y1P4BA63  Odyssey     2000  17840  44825  Reynolds, Alan          Fri, Feb 22, 2014       D14-13-01 
 JB127S1303445CB75  Civic       2003  11255  16655  Carr, Geraldine         Tue, Feb 19, 2014       D14-13-08 
 JD139F31034218737  CR-Z        2003  16739  25705  Edwards, Heather        Sat, Feb 23, 2014       D14-13-04 
 JE141F11122718739  Crosstour   2002  22719  37640  Peters, Stacey          Thu, Feb 21, 2014       D14-13-09 
 JH151F11AY445CB81  Odyssey     2000  19178  44825  Carr, Geraldine         Wed, Feb 20, 2014       D14-13-08 
 JJ161FU103463A963  Pilot       2003  27788  42970  Reynolds, Alan          Sun, Feb 24, 2014       D14-13-01 
