Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Tue, Mar 19, 2014 thru Mon, Mar 25, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA113SU336126X9C2  Accord       2014  22307  23480  Simpson, Greg           Sun, Mar 24, 2014       D02-02-05 
 JH155FU1A6125C8B4  Odyssey      2014  44827  47825  Shelton, Judith         Sun, Mar 24, 2014       D02-02-03 
 JC131F114612X7366  CR-V         2014  29502  30995  Shelton, Marion         Sun, Mar 24, 2014       D02-02-04 
 JH158S4176126X9C8  Odyssey      2014  38893  41375  Simpson, Greg           Thu, Mar 21, 2014       D02-02-05 
 JB127S1356121848X  Civic        2014  15623  16655  Simpson, Greg           Sun, Mar 24, 2014       D02-02-05 
 JJ164F4156125C8C2  Pilot        2014  53223  53970  Shelton, Judith         Tue, Mar 19, 2014       D02-02-03 
 JD138FU1661282B24  CR-Z         2014  27174  27705  Snyder, Pauline         Thu, Mar 21, 2014       D02-02-06 
 JB121S12A61282B26  Civic        2014  15359  16455  Shelton, Judith         Fri, Mar 22, 2014       D02-02-03 
 JH152SU1561282B28  Odyssey      2014  30024  30375  Watson, Peggy           Sat, Mar 23, 2014       D02-02-01 
 JA113SU376126X91X  Accord       2014  22063  23480  Moore, Carla            Fri, Mar 22, 2014       D02-02-02 
 JA111S13761271A22  Accord       2014  22327  22480  Snyder, Pauline         Sun, Mar 24, 2014       D02-02-06 
 JH151F11661271A24  Odyssey      2014  42524  44825  Snyder, Pauline         Wed, Mar 20, 2014       D02-02-06 
 JH159F41361218496  Odyssey      2014  54838  56825  Shelton, Judith         Thu, Mar 21, 2014       D02-02-03 
 JB129S1436123A6B8  Civic        2014  22397  23055  Watson, Peggy           Sat, Mar 23, 2014       D02-02-01 
 JH151F11061282B4X  Odyssey      2014  41152  44825  Snyder, Pauline         Thu, Mar 21, 2014       D02-02-06 
 JC131F1126125C812  CR-V         2014  30300  30995  Moore, Carla            Fri, Mar 22, 2014       D02-02-02 
 JB129S1496123A6C4  Civic        2014  21559  23055  Shelton, Marion         Mon, Mar 25, 2014       D02-02-04 
 JA1X2F12A61271A36  Accord       2014  30876  33030  Simpson, Greg           Mon, Mar 25, 2014       D02-02-05 
 JB123H1546124B7X8  Civic        2014  25792  27600  Snyder, Pauline         Tue, Mar 19, 2014       D02-02-06 
 JA1X7S3276124B71X  Accord       2014  23779  25089  Watson, Peggy           Wed, Mar 20, 2014       D02-02-01 
 JA113SU36612295C2  Accord       2014  21576  23480  Shelton, Marion         Fri, Mar 22, 2014       D02-02-04 
 JG148F117612295C4  Insight      2014  23140  24390  Simpson, Greg           Wed, Mar 20, 2014       D02-02-05 
 JB121S12861282B56  Civic        2014  16053  16455  Shelton, Judith         Thu, Mar 21, 2014       D02-02-03 
 JB129S1406126X938  Civic        2014  22757  23055  Moore, Carla            Sun, Mar 24, 2014       D02-02-02 
 JB129S1456122963X  Civic        2014  22757  23055  Simpson, Greg           Tue, Mar 19, 2014       D02-02-05 
 JA1X1S1236125C962  Accord       2014  22739  24089  Watson, Peggy           Sat, Mar 23, 2014       D02-02-01 
 JH154SU1861282C94  Odyssey      2014  29781  32375  Moore, Carla            Mon, Mar 25, 2014       D02-02-02 
 JB125G1626124B856  Civic        2014  27346  28505  Snyder, Pauline         Sat, Mar 23, 2014       D02-02-06 
 JA113SU36612X7418  Accord       2014  22185  23480  Moore, Carla            Fri, Mar 22, 2014       D02-02-02 
 JH152SU166121853X  Odyssey      2014  28303  30375  Snyder, Pauline         Tue, Mar 19, 2014       D02-02-06 
 JH155FU1761282CA2  Odyssey      2014  46288  47825  Shelton, Judith         Sat, Mar 23, 2014       D02-02-03 
 JE142FU126125C974  Crosstour    2014  36969  38640  Shelton, Judith         Mon, Mar 25, 2014       D02-02-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F1114233A679  CR-V        2004  23245  30995  Simpson, Greg           Tue, Mar 19, 2014       D02-02-05 
 JH151F11532982BX1  Odyssey     2003  28976  44825  Simpson, Greg           Tue, Mar 19, 2014       D02-02-05 
 JK168F315346X7353  Ridgeline   2003  29980  47750  Watson, Peggy           Thu, Mar 21, 2014       D02-02-01 
 JB127S13131218465  Civic       2003  11255  16655  Moore, Carla            Sat, Mar 23, 2014       D02-02-02 
 JH155FU1143929577  Odyssey     2004  35599  47825  Moore, Carla            Wed, Mar 20, 2014       D02-02-02 
 JD136F11422871AC9  CR-Z        2002  15456  24705  Shelton, Judith         Mon, Mar 25, 2014       D02-02-03 
 JB127S1381X118471  Civic       2001  8743   16655  Snyder, Pauline         Mon, Mar 25, 2014       D02-02-06 
 JB127S136136X7363  Civic       2001  8743   16655  Shelton, Judith         Fri, Mar 22, 2014       D02-02-03 
 JJ161FU1A55P71AX5  Pilot       2005  35096  42970  Moore, Carla            Tue, Mar 19, 2014       D02-02-02 
 JB122SU276X682B17  Civic        2014  16633  17255  Snyder, Pauline         Tue, Mar 19, 2014       D02-02-06 
 JH151F110543X7369  Odyssey     2005  36580  44825  Shelton, Marion         Sat, Mar 23, 2014       D02-02-04 
 JH156S3122X24B7B1  Odyssey     2002  18972  30375  Moore, Carla            Wed, Mar 20, 2014       D02-02-02 
 JA1X3SU214434B7B3  Accord      2004  18910  25089  Simpson, Greg           Fri, Mar 22, 2014       D02-02-05 
 JH157F313232X7375  Odyssey     2002  28551  45825  Shelton, Marion         Wed, Mar 20, 2014       D02-02-04 
 JC131F1193384B7B7  CR-V        2003  20690  30995  Snyder, Pauline         Mon, Mar 25, 2014       D02-02-06 
 JJ16AF11854771A19  Pilot       2005  34724  41970  Snyder, Pauline         Tue, Mar 19, 2014       D02-02-06 
 JE141F1194X74B7C1  Crosstour   2004  27586  37640  Snyder, Pauline         Fri, Mar 22, 2014       D02-02-06 
 JD139F31322371A23  CR-Z        2002  16076  25705  Simpson, Greg           Mon, Mar 25, 2014       D02-02-05 
 JE142FU192284B7C5  Crosstour   2002  23319  38640  Snyder, Pauline         Fri, Mar 22, 2014       D02-02-06 
 JH152SU1731P71A27  Odyssey     2003  19728  30375  Moore, Carla            Thu, Mar 21, 2014       D02-02-02 
 JE142FU1734482B39  Crosstour   2003  25721  38640  Watson, Peggy           Fri, Mar 22, 2014       D02-02-01 
 JC135F41935P71A31  CR-V        2003  26612  39995  Snyder, Pauline         Mon, Mar 25, 2014       D02-02-06 
