Dealer Name: Yancy Honda
Address:     351 Washington St
             West Junction, AL
Dealer ID:   8
Owner:       Yancy, Clark
Date:        Tue, Mar 19, 2014 thru Mon, Mar 25, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD139F31A6124BB5X  CR-Z         2014  23678  25705  Parker, Tracy           Tue, Mar 19, 2014       D08-08-01 
 JC134F3126125CC62  CR-V         2014  30592  31995  Parker, Tracy           Wed, Mar 20, 2014       D08-08-01 
 JB122SU296126XX74  Civic        2014  16339  17255  Rogers, Donna           Sat, Mar 23, 2014       D08-08-02 
 JB121S12961282296  Civic        2014  16140  16455  Rogers, Donna           Wed, Mar 20, 2014       D08-08-02 
 JD138FU1261282298  CR-Z         2014  25458  27705  Parker, Tracy           Tue, Mar 19, 2014       D08-08-01 
 JB129S1446125CC7X  Civic        2014  22158  23055  Parker, Tracy           Fri, Mar 22, 2014       D08-08-01 
 JA1X4FU296123AA52  Accord       2014  33532  34030  Rogers, Donna           Mon, Mar 25, 2014       D08-08-02 
 JD136F1126124BB64  CR-Z         2014  24196  24705  Parker, Tracy           Tue, Mar 19, 2014       D08-08-01 
 JC131F118612X7726  CR-V         2014  28546  30995  Parker, Tracy           Wed, Mar 20, 2014       D08-08-01 
 JB121S129612X7728  Civic        2014  16140  16455  Rogers, Donna           Sun, Mar 24, 2014       D08-08-02 
 JB127S1316126XX9X  Civic        2014  15887  16655  Rogers, Donna           Tue, Mar 19, 2014       D08-08-02 
 JA118F339612X7732  Accord       2014  30650  33930  Parker, Tracy           Wed, Mar 20, 2014       D08-08-01 
 JB127S1356125CC84  Civic        2014  15536  16655  Rogers, Donna           Sun, Mar 24, 2014       D08-08-02 
 JB121S123612711A6  Civic        2014  15445  16455  Parker, Tracy           Wed, Mar 20, 2014       D08-08-01 
 JH151F1126123AA68  Odyssey      2014  41838  44825  Rogers, Donna           Sat, Mar 23, 2014       D08-08-02 
 JH153FU136122996X  Odyssey      2014  41351  45825  Parker, Tracy           Sun, Mar 24, 2014       D08-08-01 
 JB123H1506126XXA2  Civic        2014  26790  27600  Parker, Tracy           Mon, Mar 25, 2014       D08-08-01 
 JH156S3116125CC94  Odyssey      2014  27834  30375  Rogers, Donna           Fri, Mar 22, 2014       D08-08-02 
 JC131F11A6126XXA6  CR-V         2014  29662  30995  Rogers, Donna           Tue, Mar 19, 2014       D08-08-02 
 JD136F1116125CC98  CR-Z         2014  23428  24705  Parker, Tracy           Tue, Mar 19, 2014       D08-08-01 
 JH158S414612711CX  Odyssey      2014  38047  41375  Rogers, Donna           Mon, Mar 25, 2014       D08-08-02 
 JH15AS119612X7752  Odyssey      2014  26642  29375  Rogers, Donna           Fri, Mar 22, 2014       D08-08-02 
 JC131F1166124BB94  CR-V         2014  28546  30995  Rogers, Donna           Fri, Mar 22, 2014       D08-08-02 
 JB121S1276124BB96  Civic        2014  15966  16455  Rogers, Donna           Tue, Mar 19, 2014       D08-08-02 
 JB122SU26612822X8  Civic        2014  17247  17255  Rogers, Donna           Sun, Mar 24, 2014       D08-08-02 
 JA115SU346121887X  Accord       2014  25456  25480  Rogers, Donna           Sat, Mar 23, 2014       D08-08-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
