Dealer Name: City Honda
Address:     9489 Ford Parkwark
             Brookland, GA
Dealer ID:   25
Owner:       Porter, Barbara
Date:        Tue, Mar 19, 2014 thru Mon, Mar 25, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S12961261ABX  Accord       2014  22864  24089  Hall, Josephine         Sat, Mar 23, 2014       D25-22-03 
 JB121S12461283CX2  Civic        2014  16834  16455  Sullivan, Hazel         Fri, Mar 22, 2014       D25-22-06 
 JB121S12761261AB4  Civic        2014  15706  16455  Shelton, Alicia         Fri, Mar 22, 2014       D25-22-01 
 JA111S13561272BC6  Accord       2014  20691  22480  Wallace, Harry          Sun, Mar 24, 2014       D25-22-04 
 JB121S1276124C898  Civic        2014  15619  16455  Sullivan, Hazel         Sat, Mar 23, 2014       D25-22-06 
 JC131F11861261ACX  CR-V         2014  30300  30995  Wallace, Harry          Sat, Mar 23, 2014       D25-22-04 
 JB122SU236125X9B2  Civic        2014  16248  17255  Mcdonald, Eduardo       Fri, Mar 22, 2014       D25-22-05 
 JA114FU3A61219574  Accord       2014  32391  33930  Mcdonald, Eduardo       Wed, Mar 20, 2014       D25-22-05 
 JE141F11A6123B796  Crosstour    2014  37383  37640  Hall, Josephine         Sun, Mar 24, 2014       D25-22-03 
 JE141F11961283C18  Crosstour    2014  33915  37640  Wallace, Harry          Mon, Mar 25, 2014       D25-22-04 
 JB121S12A6123B7AX  Civic        2014  15619  16455  Shelton, Alicia         Thu, Mar 21, 2014       D25-22-01 
 JB127S1316123B7A2  Civic        2014  16413  16655  Fuller, Jacob           Sat, Mar 23, 2014       D25-22-02 
 JB125G1696123B7A4  Civic        2014  26611  28505  Fuller, Jacob           Tue, Mar 19, 2014       D25-22-02 
 JA1X6FU256124C8B6  Accord       2014  33237  36030  Shelton, Alicia         Wed, Mar 20, 2014       D25-22-01 
 JH15AS11461283C28  Odyssey      2014  28458  29375  Hall, Josephine         Mon, Mar 25, 2014       D25-22-03 
 JB121S1256121959X  Civic        2014  16660  16455  Shelton, Alicia         Sat, Mar 23, 2014       D25-22-01 
 JC131F11661283C32  CR-V         2014  30619  30995  Mcdonald, Eduardo       Mon, Mar 25, 2014       D25-22-05 
 JE144F3186124C8C4  Crosstour    2014  35190  38640  Hall, Josephine         Sun, Mar 24, 2014       D25-22-03 
 JA112F1376122A6A6  Accord       2014  32138  32930  Fuller, Jacob           Fri, Mar 22, 2014       D25-22-02 
 JC131F11A61219598  CR-V         2014  28864  30995  Hall, Josephine         Mon, Mar 25, 2014       D25-22-03 
 JA1X3SU246123B7CX  Accord       2014  24949  25089  Fuller, Jacob           Sun, Mar 24, 2014       D25-22-02 
 JE141F114612195A2  Crosstour    2014  34686  37640  Mcdonald, Eduardo       Sun, Mar 24, 2014       D25-22-05 
 JE144F31461283C44  Crosstour    2014  35388  38640  Wallace, Harry          Thu, Mar 21, 2014       D25-22-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD137FU1A22782491  CR-Z        2002  15558  25705  Fuller, Jacob           Mon, Mar 25, 2014       D25-22-02 
 JH155FU102125C163  Odyssey     2002  28830  47825  Fuller, Jacob           Mon, Mar 25, 2014       D25-22-02 
 JC131F1132245C165  CR-V        2002  18732  30995  Sullivan, Hazel         Sat, Mar 23, 2014       D25-22-06 
 JH153FU122X86X277  Odyssey     2002  27630  45825  Mcdonald, Eduardo       Sat, Mar 23, 2014       D25-22-05 
 JH151F1143325C169  Odyssey     2003  29790  44825  Shelton, Alicia         Sat, Mar 23, 2014       D25-22-01 
 JB123H1573176X281  Civic       2003  18456  27600  Fuller, Jacob           Wed, Mar 20, 2014       D25-22-02 
 JH152SU152X6X7923  Odyssey     2002  18360  30375  Hall, Josephine         Sat, Mar 23, 2014       D25-22-03 
 JG148F1142516X285  Insight     2002  14769  24390  Hall, Josephine         Sun, Mar 24, 2014       D25-22-03 
 JC133FU1A3X618A37  CR-V        2003  31172  33995  Wallace, Harry          Sat, Mar 23, 2014       D25-22-04 
 JH155FU1345118A39  Odyssey     2004  34920  47825  Hall, Josephine         Sat, Mar 23, 2014       D25-22-03 
 JC131F11A4175C181  CR-V        2004  22802  30995  Hall, Josephine         Wed, Mar 20, 2014       D25-22-03 
 JG148F114352824B3  Insight     2003  16344  24390  Sullivan, Hazel         Sun, Mar 24, 2014       D25-22-06 
 JG148F11153P29B55  Insight     2005  20484  24390  Mcdonald, Eduardo       Mon, Mar 25, 2014       D25-22-05 
 JH152SU173465C187  Odyssey     2003  19728  30375  Shelton, Alicia         Sun, Mar 24, 2014       D25-22-01 
 JH151F11744718A49  Odyssey     2004  33397  44825  Mcdonald, Eduardo       Sat, Mar 23, 2014       D25-22-05 
 JC131F110343713B1  CR-V        2003  20690  30995  Fuller, Jacob           Fri, Mar 22, 2014       D25-22-02 
 JH152SU1422129B63  Odyssey     2002  18360  30375  Mcdonald, Eduardo       Sat, Mar 23, 2014       D25-22-05 
 JA113SU384X8713B5  Accord      2004  17729  23480  Hall, Josephine         Sat, Mar 23, 2014       D25-22-03 
 JH153FU1734729B67  Odyssey     2003  30448  45825  Fuller, Jacob           Mon, Mar 25, 2014       D25-22-02 
