Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Tue, Mar 19, 2014 thru Mon, Mar 25, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S1436124CCX4  Civic        2014  21799  23055  Martinez, Katherine     Mon, Mar 25, 2014       D33-29-04 
 JH155FU1A612199A6  Odyssey      2014  46045  47825  Martinez, Katherine     Fri, Mar 22, 2014       D33-29-04 
 JG148F114612X8898  Insight      2014  22508  24390  Wells, Clayton          Sat, Mar 23, 2014       D33-29-01 
 JB125G1666127224X  Civic        2014  27052  28505  Shelton, Adam           Sat, Mar 23, 2014       D33-29-05 
 JA1X1S1226124CC12  Accord       2014  23864  24089  Wells, Clayton          Thu, Mar 21, 2014       D33-29-01 
 JH152SU1161261134  Odyssey      2014  28929  30375  Martinez, Katherine     Sat, Mar 23, 2014       D33-29-04 
 JB121S129612199B6  Civic        2014  15619  16455  Morgan, Milton          Thu, Mar 21, 2014       D33-29-03 
 JD139F314612199B8  CR-Z         2014  23944  25705  Shelton, Adam           Wed, Mar 20, 2014       D33-29-05 
 JA111S134612X891X  Accord       2014  20574  22480  Martinez, Katherine     Tue, Mar 19, 2014       D33-29-04 
 JB129S1496124CX52  Civic        2014  22996  23055  Shelton, Adam           Thu, Mar 21, 2014       D33-29-05 
 JH153FU1261219A24  Odyssey      2014  43687  45825  Mitchell, John          Thu, Mar 21, 2014       D33-29-02 
 JB127S13161283496  Civic        2014  15623  16655  Martinez, Katherine     Wed, Mar 20, 2014       D33-29-04 
 JG148F11A61261278  Insight      2014  22761  24390  Shelton, Adam           Sun, Mar 24, 2014       D33-29-05 
 JB126GU62612X892X  Civic        2014  28241  29305  Mitchell, John          Thu, Mar 21, 2014       D33-29-02 
 JH15AS11A6123BC52  Odyssey      2014  27398  29375  Wells, Clayton          Tue, Mar 19, 2014       D33-29-01 
 JD136F11061272394  CR-Z         2014  24068  24705  Shelton, Adam           Fri, Mar 22, 2014       D33-29-05 
 JA115SU3961261286  Accord       2014  23478  25480  Shelton, Adam           Sat, Mar 23, 2014       D33-29-05 
 JH153FU1061261288  Odyssey      2014  45089  45825  Martinez, Katherine     Wed, Mar 20, 2014       D33-29-04 
 JA1X1S123612723AX  Accord       2014  21990  24089  Wells, Clayton          Mon, Mar 25, 2014       D33-29-01 
 JH153FU14612723A2  Odyssey      2014  43921  45825  Shelton, Adam           Mon, Mar 25, 2014       D33-29-05 
 JD136F119612723A4  CR-Z         2014  22788  24705  Wells, Clayton          Mon, Mar 25, 2014       D33-29-01 
 JB127S130612X8936  Civic        2014  15799  16655  Martinez, Katherine     Tue, Mar 19, 2014       D33-29-04 
 JB121S1286124CX78  Civic        2014  15793  16455  Morgan, Milton          Thu, Mar 21, 2014       D33-29-03 
 JH155FU176125X19X  Odyssey      2014  44096  47825  Martinez, Katherine     Thu, Mar 21, 2014       D33-29-04 
 JB127S1356125X192  Civic        2014  16765  16655  Shelton, Adam           Sat, Mar 23, 2014       D33-29-05 
 JB127S1346124CX84  Civic        2014  16852  16655  Morgan, Milton          Tue, Mar 19, 2014       D33-29-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE145F419317716C3  Crosstour   2003  30985  46640  Mitchell, John          Wed, Mar 20, 2014       D33-29-02 
 JC133FU152296X5B5  CR-V        2002  20532  33995  Mitchell, John          Sun, Mar 24, 2014       D33-29-02 
 JG148F11535P29177  Insight     2003  15897  24390  Shelton, Adam           Sun, Mar 24, 2014       D33-29-05 
 JG148F1113486X5B9  Insight     2003  15897  24390  Mitchell, John          Sun, Mar 24, 2014       D33-29-02 
 JH153FU1521P4B3A1  Odyssey     2002  27630  45825  Wells, Clayton          Tue, Mar 19, 2014       D33-29-01 
 JK169F4174155C4B3  Ridgeline   2004  43617  58750  Shelton, Adam           Mon, Mar 25, 2014       D33-29-05 
 JJ163F3182386X5C5  Pilot       2002  38875  42970  Martinez, Katherine     Sat, Mar 23, 2014       D33-29-04 
 JE141F11522182717  Crosstour   2002  23476  37640  Morgan, Milton          Tue, Mar 19, 2014       D33-29-03 
 JJ163F316338716X9  Pilot       2003  28570  42970  Wells, Clayton          Tue, Mar 19, 2014       D33-29-01 
 JH153FU14Y2529191  Odyssey     2000  19608  45825  Shelton, Adam           Mon, Mar 25, 2014       D33-29-05 
 JG148F11A41P71613  Insight     2004  22683  24390  Shelton, Adam           Thu, Mar 21, 2014       D33-29-05 
 JG148F1124X929195  Insight     2004  18397  24390  Shelton, Adam           Sat, Mar 23, 2014       D33-29-05 
 JD136F115337X7C77  CR-Z        2003  16551  24705  Mitchell, John          Thu, Mar 21, 2014       D33-29-02 
 JG148F11223671619  Insight     2002  15261  24390  Mitchell, John          Thu, Mar 21, 2014       D33-29-02 
