Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Tue, Apr  9, 2014 thru Mon, Apr 15, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F3176157142X  Odyssey      2014  43687  45825  Murphy, Kelly           Mon, Apr 15, 2014       D15-14-07 
 JA114FU336153AXB2  Accord       2014  31521  33930  Murphy, Kelly           Wed, Apr 10, 2014       D15-14-07 
 JH153FU186153AXB4  Odyssey      2014  41118  45825  Hall, Willie            Sat, Apr 13, 2014       D15-14-08 
 JC132FU126155C2X6  CR-V         2014  30592  31995  Murphy, Kelly           Mon, Apr 15, 2014       D15-14-07 
 JA1X2F12761582538  Accord       2014  32742  33030  Bowman, Joan            Fri, Apr 12, 2014       D15-14-03 
 JG149FU1061529CBX  Insight      2014  24002  25190  Murphy, Kelly           Mon, Apr 15, 2014       D15-14-07 
 JA1X3SU2761582542  Accord       2014  24689  25089  Hall, Willie            Tue, Apr  9, 2014       D15-14-08 
 JB122SU2061582544  Civic        2014  16067  17255  Murphy, Kelly           Sat, Apr 13, 2014       D15-14-07 
 JD136F11961529CB6  CR-Z         2014  23300  24705  Gardner, Joan           Thu, Apr 11, 2014       D15-14-09 
 JB127S1316154B1X8  Civic        2014  16062  16655  Murphy, Kelly           Mon, Apr 15, 2014       D15-14-07 
 JA1X1S128615X7AAX  Accord       2014  23114  24089  Hall, Willie            Thu, Apr 11, 2014       D15-14-08 
 JA119S4326155C222  Accord       2014  29142  31480  Murphy, Kelly           Wed, Apr 10, 2014       D15-14-07 
 JH156S3186156X334  Odyssey      2014  28147  30375  Hall, Willie            Mon, Apr 15, 2014       D15-14-08 
 JA1X6FU2261571446  Accord       2014  33052  36030  Woods, Tommy            Thu, Apr 11, 2014       D15-14-02 
 JA113SU336153AXX8  Accord       2014  23161  23480  Bowman, Joan            Mon, Apr 15, 2014       D15-14-03 
 JB127S1346156X47X  Civic        2014  15799  16655  Murphy, Kelly           Tue, Apr  9, 2014       D15-14-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU111X36XC93  Odyssey     2001  25108  47825  Gardner, Joan           Sun, Apr 14, 2014       D15-14-09 
 JB128SU312173A965  Civic       2002  10961  17455  Elliott, Jacqueline     Wed, Apr 10, 2014       D15-14-01 
 JH15AS112331X7637  Odyssey     2003  19624  29375  Murphy, Kelly           Wed, Apr 10, 2014       D15-14-07 
 JA113SU32126X7639  Accord      2001  12327  23480  Hall, Willie            Wed, Apr 10, 2014       D15-14-08 
 JH152SU194X2821C1  Odyssey     2004  22790  30375  Gardner, Joan           Sat, Apr 13, 2014       D15-14-09 
 JH157F31811129863  Odyssey     2001  22912  45825  Gardner, Joan           Wed, Apr 10, 2014       D15-14-09 
 JB127S1332485CB95  Civic       2002  10128  16655  Bowman, Joan            Mon, Apr 15, 2014       D15-14-03 
 JA1X6FU262153A977  Accord      2002  22478  36030  Woods, Tommy            Fri, Apr 12, 2014       D15-14-02 
 JE143FU193266XCA9  Crosstour   2003  27037  40640  Elliott, Jacqueline     Mon, Apr 15, 2014       D15-14-01 
 JB129S14033771XC1  Civic       2003  15466  23055  Elliott, Jacqueline     Wed, Apr 10, 2014       D15-14-01 
 JB127S1373X4821X3  Civic       2003  11255  16655  Hall, Willie            Wed, Apr 10, 2014       D15-14-08 
 JC133FU1112PX7655  CR-V        2001  17847  33995  Hall, Willie            Mon, Apr 15, 2014       D15-14-08 
 JK167FU154263A987  Ridgeline   2004  36306  49750  Ramos, Maxine           Sat, Apr 13, 2014       D15-14-05 
 JK165F11111829879  Ridgeline   2001  23375  46750  Elliott, Jacqueline     Wed, Apr 10, 2014       D15-14-01 
 JC131F11142671XX1  CR-V        2004  23245  30995  Gardner, Joan           Thu, Apr 11, 2014       D15-14-09 
