Dealer Name: Walker Honda
Address:     1240 Harrison Ave
             Port Kiln, SC
Dealer ID:   10
Owner:       Walker, Shelly
Date:        Tue, Apr 16, 2014 thru Mon, Apr 22, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB124HU51616X7816  Civic        2014  28274  28400  Wright, Emma            Sat, Apr 20, 2014       D10-07-04 
 JC131F11A61629A38  CR-V         2014  30300  30995  Alvarez, David          Wed, Apr 17, 2014       D10-07-06 
 JH155FU1A6167129X  Odyssey      2014  45314  47825  Alvarez, David          Thu, Apr 18, 2014       D10-07-06 
 JH152SU146166X182  Odyssey      2014  27991  30375  Marshall, Allan         Thu, Apr 18, 2014       D10-07-01 
 JH155FU1661629A44  Odyssey      2014  43121  47825  Alvarez, David          Sat, Apr 20, 2014       D10-07-06 
 JG148F1186166X186  Insight      2014  22634  24390  Ross, Darren            Sat, Apr 20, 2014       D10-07-05 
 JB129S145616X7828  Civic        2014  21319  23055  Wright, Emma            Sat, Apr 20, 2014       D10-07-04 
 JA119S437616712AX  Accord       2014  31246  31480  Gardner, Salvador       Wed, Apr 17, 2014       D10-07-03 
 JB121S125616712A2  Civic        2014  16140  16455  Wright, Emma            Tue, Apr 16, 2014       D10-07-04 
 JB127S13261618944  Civic        2014  16326  16655  Wright, Emma            Wed, Apr 17, 2014       D10-07-04 
 JC131F11861618946  CR-V         2014  30778  30995  Gardner, Salvador       Sat, Apr 20, 2014       D10-07-03 
 JC131F119616712A8  CR-V         2014  28386  30995  Ross, Darren            Mon, Apr 22, 2014       D10-07-05 
 JB121S1226165CX9X  Civic        2014  16226  16455  Fields, Roland          Tue, Apr 16, 2014       D10-07-02 
 JA1X7S326616823C2  Accord       2014  24039  25089  Fields, Roland          Thu, Apr 18, 2014       D10-07-02 
 JG148F116616823C4  Insight      2014  23899  24390  Gardner, Salvador       Mon, Apr 22, 2014       D10-07-03 
 JA111S13661618956  Accord       2014  22444  22480  Wright, Emma            Sat, Apr 20, 2014       D10-07-04 
 JB121S1276164BC88  Civic        2014  16226  16455  Ross, Darren            Mon, Apr 22, 2014       D10-07-05 
 JD136F11A6161896X  CR-Z         2014  24580  24705  Gardner, Salvador       Fri, Apr 19, 2014       D10-07-03 
 JB128SU326163AB82  Civic        2014  17620  17455  Ross, Darren            Thu, Apr 18, 2014       D10-07-05 
 JC132FU146164BC94  CR-V         2014  29112  31995  Marshall, Allan         Sun, Apr 21, 2014       D10-07-01 
 JD138FU196165CXA6  CR-Z         2014  26030  27705  Fields, Roland          Sun, Apr 21, 2014       D10-07-02 
 JB129S143616X7858  Civic        2014  22996  23055  Gardner, Salvador       Thu, Apr 18, 2014       D10-07-03 
 JB127S1376164BCAX  Civic        2014  16765  16655  Marshall, Allan         Thu, Apr 18, 2014       D10-07-01 
 JB129S14761629A82  Civic        2014  21918  23055  Wright, Emma            Mon, Apr 22, 2014       D10-07-04 
 JD136F11A6166X1C4  CR-Z         2014  23044  24705  Fields, Roland          Mon, Apr 22, 2014       D10-07-02 
 JB129S14461629A86  Civic        2014  22637  23055  Gardner, Salvador       Thu, Apr 18, 2014       D10-07-03 
 JH154SU1A61629A88  Odyssey      2014  32110  32375  Alvarez, David          Sat, Apr 20, 2014       D10-07-06 
 JD138FU166165CXCX  CR-Z         2014  27317  27705  Ross, Darren            Wed, Apr 17, 2014       D10-07-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F118413X7483  CR-V        2004  23245  30995  Alvarez, David          Tue, Apr 16, 2014       D10-07-06 
 JC131F1153175C9X5  CR-V        2003  20690  30995  Alvarez, David          Sat, Apr 20, 2014       D10-07-06 
 JC135F41814P296A7  CR-V        2001  19997  39995  Gardner, Salvador       Wed, Apr 17, 2014       D10-07-03 
 JD136F1133144B8C9  CR-Z        2003  16551  24705  Ross, Darren            Fri, Apr 19, 2014       D10-07-05 
 JE141F1163333A7C1  Crosstour   2003  25063  37640  Gardner, Salvador       Fri, Apr 19, 2014       D10-07-03 
 JH151F1192193A7C3  Odyssey     2002  27030  44825  Ross, Darren            Sun, Apr 21, 2014       D10-07-05 
 JH151F11A5285C915  Odyssey     2005  37037  44825  Fields, Roland          Tue, Apr 16, 2014       D10-07-02 
 JH151F1134454B8X7  Odyssey     2004  32760  44825  Marshall, Allan         Sat, Apr 20, 2014       D10-07-01 
 JE143FU193424B8X9  Crosstour   2003  27037  40640  Fields, Roland          Mon, Apr 22, 2014       D10-07-02 
 JH153FU133X36XA31  Odyssey     2003  30448  45825  Marshall, Allan         Thu, Apr 18, 2014       D10-07-01 
 JB121S12541682C53  Civic       2004  12573  16455  Alvarez, David          Wed, Apr 17, 2014       D10-07-06 
 JH15AS1191273A7X5  Odyssey     2001  14687  29375  Alvarez, David          Thu, Apr 18, 2014       D10-07-06 
 JJ162FU12YX471B47  Pilot       2000  16555  44970  Fields, Roland          Fri, Apr 19, 2014       D10-07-02 
 JC131F1182263A7X9  CR-V        2002  19356  30995  Ross, Darren            Wed, Apr 17, 2014       D10-07-05 
 JB129S141338X7511  Civic       2003  15043  23055  Alvarez, David          Wed, Apr 17, 2014       D10-07-06 
 JD136F1111X75CA63  CR-Z        2001  12970  24705  Gardner, Salvador       Wed, Apr 17, 2014       D10-07-03 
 JA117S3335X94B955  Accord      2005  19747  23480  Alvarez, David          Sat, Apr 20, 2014       D10-07-06 
