Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Tue, Apr 16, 2014 thru Mon, Apr 22, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU12616824A8  Odyssey      2014  30446  32375  Carroll, Judith         Sat, Apr 20, 2014       D12-11-02 
 JA1X1S1246165C18X  Accord       2014  22615  24089  Carroll, Judith         Sat, Apr 20, 2014       D12-11-02 
 JH151F1146163AC62  Odyssey      2014  43438  44825  Graves, Edwin           Wed, Apr 17, 2014       D12-11-01 
 JB121S1226166X294  Civic        2014  15619  16455  Carroll, Judith         Mon, Apr 22, 2014       D12-11-02 
 JH159F4146165C186  Odyssey      2014  55704  56825  Graves, Edwin           Sun, Apr 21, 2014       D12-11-01 
 JB127S13061618A48  Civic        2014  16589  16655  Carroll, Judith         Mon, Apr 22, 2014       D12-11-02 
 JB121S120616713BX  Civic        2014  15445  16455  Carroll, Judith         Sun, Apr 21, 2014       D12-11-02 
 JB121S12161618A52  Civic        2014  16140  16455  Carroll, Judith         Mon, Apr 22, 2014       D12-11-02 
 JA1X5SU236163AC74  Accord       2014  26029  27089  Graves, Edwin           Wed, Apr 17, 2014       D12-11-01 
 JH15AS11861629B66  Odyssey      2014  28912  29375  Graves, Edwin           Sun, Apr 21, 2014       D12-11-01 
 JK166FU186163AC78  Ridgeline    2014  44514  47750  Carroll, Judith         Fri, Apr 19, 2014       D12-11-02 
 JB121S1226164BX9X  Civic        2014  16313  16455  Graves, Edwin           Mon, Apr 22, 2014       D12-11-01 
 JB121S1266163AC82  Civic        2014  16400  16455  Carroll, Judith         Tue, Apr 16, 2014       D12-11-02 
 JB129S1406165C1A4  Civic        2014  22158  23055  Graves, Edwin           Tue, Apr 16, 2014       D12-11-01 
 JA1X1S12A6163AC86  Accord       2014  22240  24089  Carroll, Judith         Sun, Apr 21, 2014       D12-11-02 
 JD139F31761618A68  CR-Z         2014  25673  25705  Graves, Edwin           Mon, Apr 22, 2014       D12-11-01 
 JJ162FU1561629B8X  Pilot        2014  41283  44970  Carroll, Judith         Sun, Apr 21, 2014       D12-11-02 
