Dealer Name: Kaplan Honda
Address:     1605 Nebraska Blvd
             East Valley, FL
Dealer ID:   38
Owner:       Kaplan, Edward
Date:        Tue, Apr 23, 2014 thru Mon, Apr 29, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA113SU336173B144  Accord       2014  22917  23480  Rice, Ruth              Wed, Apr 24, 2014       D38-34-06 
 JH153FU17617X8B16  Odyssey      2014  44388  45825  Murphy, Roger           Tue, Apr 23, 2014       D38-34-01 
 JA113SU3161761478  Accord       2014  22307  23480  Murphy, Roger           Mon, Apr 29, 2014       D38-34-01 
 JA1X1S1246177259X  Accord       2014  22115  24089  Alvarez, Darrell        Sat, Apr 27, 2014       D38-34-04 
 JF146S11661761482  Fit          2014  15655  16025  Murphy, Roger           Mon, Apr 29, 2014       D38-34-01 
 JC133FU15617X8B24  CR-V         2014  31754  33995  Alvarez, Darrell        Thu, Apr 25, 2014       D38-34-04 
 JB127S13061761486  Civic        2014  15799  16655  Alvarez, Bill           Fri, Apr 26, 2014       D38-34-02 
 JA1X3SU2461719C38  Accord       2014  24169  25089  Alvarez, Bill           Thu, Apr 25, 2014       D38-34-02 
 JA113SU306175X38X  Accord       2014  21820  23480  Murphy, Roger           Sat, Apr 27, 2014       D38-34-01 
 JG148F115617725A2  Insight      2014  23266  24390  Rice, Ruth              Sun, Apr 28, 2014       D38-34-06 
 JF146S114617725A4  Fit          2014  16078  16025  Alvarez, Darrell        Wed, Apr 24, 2014       D38-34-04 
 JB129S1456174C276  Civic        2014  23236  23055  Rice, Ruth              Tue, Apr 23, 2014       D38-34-06 
 JH154SU1561761498  Odyssey      2014  32110  32375  Alvarez, Darrell        Tue, Apr 23, 2014       D38-34-04 
 JG149FU12617836CX  Insight      2014  23481  25190  Rice, Ruth              Fri, Apr 26, 2014       D38-34-06 
 JH15AS1166174C282  Odyssey      2014  29064  29375  Rice, Ruth              Sat, Apr 27, 2014       D38-34-06 
 JA111S133617X8B44  Accord       2014  22444  22480  Henry, Courtney         Sun, Apr 28, 2014       D38-34-05 
 JB121S1206175X396  Civic        2014  15966  16455  Alvarez, Darrell        Thu, Apr 25, 2014       D38-34-04 
 JK166FU16617X8B48  Ridgeline    2014  45974  47750  Murphy, Roger           Tue, Apr 23, 2014       D38-34-01 
 JH157F3146174C29X  Odyssey      2014  42286  45825  Murphy, Roger           Fri, Apr 26, 2014       D38-34-01 
 JA1X3SU26617836X2  Accord       2014  24559  25089  Alvarez, Darrell        Sat, Apr 27, 2014       D38-34-04 
 JB121S12661719C64  Civic        2014  16747  16455  Murphy, Roger           Thu, Apr 25, 2014       D38-34-01 
 JB129S140617614B6  Civic        2014  23116  23055  Lee, Jason              Mon, Apr 29, 2014       D38-34-03 
 JB129S142617X8B58  Civic        2014  22517  23055  Rice, Ruth              Mon, Apr 29, 2014       D38-34-06 
 JD136F1186172AX8X  CR-Z         2014  24452  24705  Alvarez, Bill           Sun, Apr 28, 2014       D38-34-02 
 JK166FU10617X8B62  Ridgeline    2014  44514  47750  Alvarez, Bill           Fri, Apr 26, 2014       D38-34-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F31114P4C717  Odyssey     2001  24058  45825  Alvarez, Bill           Thu, Apr 25, 2014       D38-34-02 
 JB127S1362X83B6X9  Civic       2002  10128  16655  Alvarez, Darrell        Wed, Apr 24, 2014       D38-34-04 
 JC132FU11YX961A71  CR-V        2000  12708  31995  Henry, Courtney         Sat, Apr 27, 2014       D38-34-05 
 JB127S13A4315X963  Civic       2004  12720  16655  Murphy, Roger           Tue, Apr 23, 2014       D38-34-01 
 JE142FU161464C855  Crosstour   2001  20286  38640  Henry, Courtney         Wed, Apr 24, 2014       D38-34-05 
 JH152SU133X93B747  Odyssey     2003  20282  30375  Rice, Ruth              Wed, Apr 24, 2014       D38-34-06 
 JH151F1132195X969  Odyssey     2002  27030  44825  Murphy, Roger           Sun, Apr 28, 2014       D38-34-01 
 JB121S1253252A641  Civic       2003  11123  16455  Alvarez, Darrell        Wed, Apr 24, 2014       D38-34-04 
 JE141F11A6X919533  Crosstour    2014  35082  37640  Alvarez, Darrell        Fri, Apr 26, 2014       D38-34-04 
 JC132FU1341419535  CR-V        2004  23979  31995  Alvarez, Bill           Sun, Apr 28, 2014       D38-34-02 
 JC133FU153122A647  CR-V        2003  22044  33995  Murphy, Roger           Wed, Apr 24, 2014       D38-34-01 
 JC131F11434P19539  CR-V        2003  20124  30995  Lee, Jason              Wed, Apr 24, 2014       D38-34-03 
 JJ162FU1833961A91  Pilot       2003  29068  44970  Rice, Ruth              Sun, Apr 28, 2014       D38-34-06 
 JD137FU1944461A93  CR-Z        2004  19362  25705  Lee, Jason              Wed, Apr 24, 2014       D38-34-03 
 JC135F41733883CB5  CR-V        2003  26612  39995  Lee, Jason              Fri, Apr 26, 2014       D38-34-03 
