Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Tue, May 14, 2014 thru Mon, May 20, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB122SU2562P83B98  Civic        2014  17065  17255  Thompson, Gail          Fri, May 17, 2014       D22-20-03 
 JD136F11362PX832X  CR-Z         2014  24708  24705  Thompson, Gail          Mon, May 20, 2014       D22-20-03 
 JJ161FU1762P61982  Pilot        2014  40579  42970  Nichols, Colleen        Mon, May 20, 2014       D22-20-04 
 JB121S12462P2A544  Civic        2014  16834  16455  Young, Carlos           Fri, May 17, 2014       D22-20-05 
 JA1X2F12662P61986  Accord       2014  32912  33030  Romero, Gladys          Tue, May 14, 2014       D22-20-08 
 JD139F31A62PX8328  CR-Z         2014  24875  25705  Romero, Gladys          Fri, May 17, 2014       D22-20-08 
 JA1X1S12562P72AAX  Accord       2014  23364  24089  Thompson, Gail          Sat, May 18, 2014       D22-20-03 
 JB127S13962P19442  Civic        2014  16852  16655  Romero, Gladys          Mon, May 20, 2014       D22-20-08 
 JA1X2F12562P61994  Accord       2014  31554  33030  Tucker, Ann             Tue, May 14, 2014       D22-20-02 
 JA115SU3662P61996  Accord       2014  25456  25480  Watson, Lori            Fri, May 17, 2014       D22-20-01 
 JH156S31162P4C778  Odyssey      2014  29711  30375  Soto, Roger             Tue, May 14, 2014       D22-20-06 
 JB121S12162P72ABX  Civic        2014  15966  16455  Morrison, Irene         Mon, May 20, 2014       D22-20-07 
 JE141F11262PX8342  Crosstour    2014  36420  37640  Soto, Roger             Mon, May 20, 2014       D22-20-06 
 JB127S13362P5X894  Civic        2014  15536  16655  Soto, Roger             Wed, May 15, 2014       D22-20-06 
 JB128SU3362P2A566  Civic        2014  17804  17455  Thompson, Gail          Fri, May 17, 2014       D22-20-03 
 JB127S13462P3B678  Civic        2014  16238  16655  Nichols, Colleen        Mon, May 20, 2014       D22-20-04 
 JK167FU1162PX835X  Ridgeline    2014  46598  49750  Watson, Lori            Mon, May 20, 2014       D22-20-01 
 JA1X9S42462P19462  Accord       2014  32459  33089  Thompson, Gail          Sat, May 18, 2014       D22-20-03 
 JE141F11362P83BX4  Crosstour    2014  35456  37640  Romero, Gladys          Wed, May 15, 2014       D22-20-08 
 JG148F11062P72AC6  Insight      2014  23013  24390  Nichols, Colleen        Sat, May 18, 2014       D22-20-04 
 JA111S13662P5X8A8  Accord       2014  21509  22480  Tucker, Ann             Tue, May 14, 2014       D22-20-02 
 JG148F11762P4C7AX  Insight      2014  24151  24390  Thompson, Gail          Sat, May 18, 2014       D22-20-03 
 JH153FU1262P19472  Odyssey      2014  42519  45825  Nichols, Colleen        Mon, May 20, 2014       D22-20-04 
 JB121S12362P5X8B4  Civic        2014  15706  16455  Soto, Roger             Thu, May 16, 2014       D22-20-06 
 JB121S12162P619C6  Civic        2014  16487  16455  Young, Carlos           Mon, May 20, 2014       D22-20-05 
 JB127S13362P2A588  Civic        2014  15799  16655  Romero, Gladys          Fri, May 17, 2014       D22-20-08 
 JA115SU3A62P4C7BX  Accord       2014  24797  25480  Romero, Gladys          Fri, May 17, 2014       D22-20-08 
 JB127S13062P72A12  Civic        2014  16677  16655  Thompson, Gail          Mon, May 20, 2014       D22-20-03 
