Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Tue, May 14, 2014 thru Mon, May 20, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA119S43662P5XX12  Accord       2014  29951  31480  Shelton, Adam           Mon, May 20, 2014       D33-29-05 
 JB121S12062P3BBC4  Civic        2014  16574  16455  Martinez, Katherine     Wed, May 15, 2014       D33-29-04 
 JB127S13562P3BBC6  Civic        2014  16326  16655  Wells, Clayton          Sat, May 18, 2014       D33-29-01 
 JB121S12262P4CCX8  Civic        2014  15619  16455  Mitchell, John          Tue, May 14, 2014       D33-29-02 
 JB121S12462P4CC1X  Civic        2014  16487  16455  Shelton, Adam           Mon, May 20, 2014       D33-29-05 
 JG148F11162P2AAC2  Insight      2014  22508  24390  Shelton, Adam           Mon, May 20, 2014       D33-29-05 
 JH153FU1362P2AAC4  Odyssey      2014  43687  45825  Martinez, Katherine     Thu, May 16, 2014       D33-29-04 
 JD138FU1062P2AAC6  CR-Z         2014  27317  27705  Mitchell, John          Sun, May 19, 2014       D33-29-02 
 JB121S12662P4CC18  Civic        2014  16226  16455  Martinez, Katherine     Sat, May 18, 2014       D33-29-04 
 JC131F11562P3BC4X  CR-V         2014  30619  30995  Morgan, Milton          Wed, May 15, 2014       D33-29-03 
 JH159F41862P61272  Odyssey      2014  51086  56825  Mitchell, John          Thu, May 16, 2014       D33-29-02 
 JH154SU1662P3BC44  Odyssey      2014  29448  32375  Mitchell, John          Sun, May 19, 2014       D33-29-02 
 JA1X3SU2162P5X166  Accord       2014  24819  25089  Mitchell, John          Mon, May 20, 2014       D33-29-02 
 JC132FU1662P3BC48  CR-V         2014  30098  31995  Shelton, Adam           Sun, May 19, 2014       D33-29-05 
 JG148F11162P19A3X  Insight      2014  24404  24390  Shelton, Adam           Sun, May 19, 2014       D33-29-05 
 JJ163F31862P4CX62  Pilot        2014  40360  42970  Wells, Clayton          Thu, May 16, 2014       D33-29-01 
 JB121S12662P61284  Civic        2014  15272  16455  Shelton, Adam           Mon, May 20, 2014       D33-29-05 
 JG148F11A62P19A36  Insight      2014  24531  24390  Martinez, Katherine     Wed, May 15, 2014       D33-29-04 
 JB121S12962P5X178  Civic        2014  16487  16455  Mitchell, John          Mon, May 20, 2014       D33-29-02 
 JA113SU3962P3BC6X  Accord       2014  22307  23480  Martinez, Katherine     Tue, May 14, 2014       D33-29-04 
 JB127S13A62P3BC62  Civic        2014  16940  16655  Morgan, Milton          Wed, May 15, 2014       D33-29-03 
 JJ16AF11462P723A4  Pilot        2014  37939  41970  Mitchell, John          Tue, May 14, 2014       D33-29-02 
 JA116FU3362P834B6  Accord       2014  32594  35930  Shelton, Adam           Tue, May 14, 2014       D33-29-05 
 JB121S12A62P3BC68  Civic        2014  15619  16455  Martinez, Katherine     Sat, May 18, 2014       D33-29-04 
 JE141F11062P3BC7X  Crosstour    2014  34300  37640  Shelton, Adam           Fri, May 17, 2014       D33-29-05 
 JB127S13462P5X192  Civic        2014  15887  16655  Shelton, Adam           Sun, May 19, 2014       D33-29-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU142234B391  CR-V        2002  19332  31995  Morgan, Milton          Sat, May 18, 2014       D33-29-03 
 JG148F115336716C3  Insight     2003  16344  24390  Mitchell, John          Wed, May 15, 2014       D33-29-02 
 JC131F1135436X5B5  CR-V        2005  25834  30995  Wells, Clayton          Fri, May 17, 2014       D33-29-01 
 JB121S1211X8X7C57  Civic       2001  8638   16455  Shelton, Adam           Mon, May 20, 2014       D33-29-05 
 JH159F4132294B399  Odyssey     2002  34230  56825  Wells, Clayton          Tue, May 14, 2014       D33-29-01 
 JB127S1376X44B3A1  Civic        2014  16090  16655  Shelton, Adam           Thu, May 16, 2014       D33-29-05 
 JH153FU11347X7C63  Odyssey     2003  29616  45825  Martinez, Katherine     Wed, May 15, 2014       D33-29-04 
 JB127S13A4X6716X5  Civic       2004  12720  16655  Shelton, Adam           Thu, May 16, 2014       D33-29-05 
 JH155FU1A438716X7  Odyssey     2004  35599  47825  Martinez, Katherine     Sat, May 18, 2014       D33-29-04 
 JB121S1212423A299  Civic       2002  10341  16455  Shelton, Adam           Sat, May 18, 2014       D33-29-05 
 JH153FU1332P71611  Odyssey     2003  30448  45825  Martinez, Katherine     Tue, May 14, 2014       D33-29-04 
 JG149FU151135C4C3  Insight     2001  13224  25190  Mitchell, John          Thu, May 16, 2014       D33-29-02 
 JE144F31AY446X5X5  Crosstour   2000  15366  38640  Martinez, Katherine     Sat, May 18, 2014       D33-29-04 
 JC131F117338X7C77  CR-V        2003  20690  30995  Martinez, Katherine     Sun, May 19, 2014       D33-29-04 
