Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Tue, Jun 18, 2014 thru Mon, Jun 24, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1286256X288  Civic        2014  16660  16455  Graves, Edwin           Sun, Jun 23, 2014       D12-11-01 
 JH153FU156256X29X  Odyssey      2014  42753  45825  Carroll, Judith         Thu, Jun 20, 2014       D12-11-02 
 JH154SU15625824B2  Odyssey      2014  30613  32375  Graves, Edwin           Mon, Jun 24, 2014       D12-11-01 
 JD136F1126253AC64  CR-Z         2014  23812  24705  Carroll, Judith         Fri, Jun 21, 2014       D12-11-02 
 JB127S13A6253AC66  Civic        2014  16589  16655  Carroll, Judith         Mon, Jun 24, 2014       D12-11-02 
 JH154SU1A625713A8  Odyssey      2014  31944  32375  Graves, Edwin           Fri, Jun 21, 2014       D12-11-01 
 JB127S1316254BX8X  Civic        2014  15623  16655  Carroll, Judith         Sat, Jun 22, 2014       D12-11-02 
 JB121S12962529B62  Civic        2014  16487  16455  Graves, Edwin           Mon, Jun 24, 2014       D12-11-01 
 JA1X9S4226256X2A4  Accord       2014  32119  33089  Carroll, Judith         Sat, Jun 22, 2014       D12-11-02 
 JH153FU10625X7946  Odyssey      2014  44856  45825  Graves, Edwin           Tue, Jun 18, 2014       D12-11-01 
 JC134F310625713B8  CR-V         2014  29605  31995  Graves, Edwin           Sun, Jun 23, 2014       D12-11-01 
 JA1X1S125625824XX  Accord       2014  21990  24089  Carroll, Judith         Wed, Jun 19, 2014       D12-11-02 
 JH151F11962518A62  Odyssey      2014  44353  44825  Carroll, Judith         Wed, Jun 19, 2014       D12-11-02 
 JB13ASU4762518A64  Civic        2014  23764  23855  Carroll, Judith         Wed, Jun 19, 2014       D12-11-02 
 JB121S127625X7956  Civic        2014  15966  16455  Carroll, Judith         Mon, Jun 24, 2014       D12-11-02 
 JA1X1S127625X7958  Accord       2014  23489  24089  Carroll, Judith         Tue, Jun 18, 2014       D12-11-02 
 JH151F1166255C1BX  Odyssey      2014  42981  44825  Graves, Edwin           Sat, Jun 22, 2014       D12-11-01 
 JC132FU14625X7962  CR-V         2014  29276  31995  Carroll, Judith         Mon, Jun 24, 2014       D12-11-02 
 JB127S13262518A74  Civic        2014  16677  16655  Carroll, Judith         Wed, Jun 19, 2014       D12-11-02 
 JA1X1S1276255C1B6  Accord       2014  23614  24089  Carroll, Judith         Fri, Jun 21, 2014       D12-11-02 
 JA1X1S1276253AC98  Accord       2014  22240  24089  Graves, Edwin           Sat, Jun 22, 2014       D12-11-01 
 JB127S1356254BXBX  Civic        2014  16326  16655  Carroll, Judith         Wed, Jun 19, 2014       D12-11-02 
 JA1X1S1246253ACA2  Accord       2014  23739  24089  Graves, Edwin           Thu, Jun 20, 2014       D12-11-01 
 JH153FU146256X2X4  Odyssey      2014  42987  45825  Graves, Edwin           Sat, Jun 22, 2014       D12-11-01 
 JC133FU196255C1C6  CR-V         2014  33673  33995  Graves, Edwin           Tue, Jun 18, 2014       D12-11-01 
 JB121S12762582428  Civic        2014  15619  16455  Graves, Edwin           Sat, Jun 22, 2014       D12-11-01 
 JE144F3146253ACBX  Crosstour    2014  35783  38640  Carroll, Judith         Sun, Jun 23, 2014       D12-11-02 
