Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Tue, Jun 18, 2014 thru Mon, Jun 24, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13662561982  Civic        2014  16238  16655  Young, Carlos           Mon, Jun 24, 2014       D22-20-05 
 JB127S1326252A544  Civic        2014  15799  16655  Thompson, Gail          Wed, Jun 19, 2014       D22-20-03 
 JA115SU3A625X8326  Accord       2014  23610  25480  Romero, Gladys          Mon, Jun 24, 2014       D22-20-08 
 JA1X1S121625X8328  Accord       2014  22864  24089  Thompson, Gail          Sat, Jun 22, 2014       D22-20-03 
 JA1X5SU236256199X  Accord       2014  25749  27089  Soto, Roger             Tue, Jun 18, 2014       D22-20-06 
 JH153FU1A62583BB2  Odyssey      2014  42753  45825  Tucker, Ann             Wed, Jun 19, 2014       D22-20-02 
 JE141F1176254C774  Crosstour    2014  37191  37640  Thompson, Gail          Sat, Jun 22, 2014       D22-20-03 
 JH152SU126254C776  Odyssey      2014  29398  30375  Thompson, Gail          Tue, Jun 18, 2014       D22-20-03 
 JG148F11262583BB8  Insight      2014  22508  24390  Watson, Lori            Sat, Jun 22, 2014       D22-20-01 
 JB127S1366254C78X  Civic        2014  16150  16655  Soto, Roger             Thu, Jun 20, 2014       D22-20-06 
 JB125G1606255X892  Civic        2014  28081  28505  Morrison, Irene         Sat, Jun 22, 2014       D22-20-07 
 JH154SU1062519454  Odyssey      2014  31611  32375  Nichols, Colleen        Tue, Jun 18, 2014       D22-20-04 
 JH155FU146252A566  Odyssey      2014  42878  47825  Watson, Lori            Sun, Jun 23, 2014       D22-20-01 
 JB121S1246252A568  Civic        2014  16487  16455  Nichols, Colleen        Mon, Jun 24, 2014       D22-20-04 
 JC134F319625X835X  CR-V         2014  31579  31995  Romero, Gladys          Mon, Jun 24, 2014       D22-20-08 
 JB127S1376252A572  Civic        2014  16238  16655  Thompson, Gail          Sat, Jun 22, 2014       D22-20-03 
 JC131F1156254C794  CR-V         2014  28864  30995  Nichols, Colleen        Mon, Jun 24, 2014       D22-20-04 
 JB121S12462583BX6  Civic        2014  15619  16455  Nichols, Colleen        Sun, Jun 23, 2014       D22-20-04 
 JB125G164625619B8  Civic        2014  26464  28505  Tucker, Ann             Sat, Jun 22, 2014       D22-20-02 
 JA1X1S127625619CX  Accord       2014  24114  24089  Morrison, Irene         Sun, Jun 23, 2014       D22-20-07 
 JA1X2F1266253B692  Accord       2014  30876  33030  Tucker, Ann             Fri, Jun 21, 2014       D22-20-02 
 JB121S1226252A584  Civic        2014  15445  16455  Thompson, Gail          Tue, Jun 18, 2014       D22-20-03 
 JB121S1246255X8B6  Civic        2014  16053  16455  Nichols, Colleen        Sun, Jun 23, 2014       D22-20-04 
 JA111S1366255X8B8  Accord       2014  20691  22480  Thompson, Gail          Sun, Jun 23, 2014       D22-20-03 
 JJ164F4196254C7BX  Pilot        2014  48834  53970  Tucker, Ann             Wed, Jun 19, 2014       D22-20-02 
 JB121S12362583B22  Civic        2014  16313  16455  Tucker, Ann             Sun, Jun 23, 2014       D22-20-02 
 JB121S1256252A594  Civic        2014  16747  16455  Nichols, Colleen        Fri, Jun 21, 2014       D22-20-04 
 JG148F11962583B26  Insight      2014  24151  24390  Soto, Roger             Thu, Jun 20, 2014       D22-20-06 
 JE142FU18625X8378  Crosstour    2014  37958  38640  Thompson, Gail          Tue, Jun 18, 2014       D22-20-03 
 JE141F1196252A5AX  Crosstour    2014  34686  37640  Morrison, Irene         Tue, Jun 18, 2014       D22-20-07 
 JE144F31362519492  Crosstour    2014  36772  38640  Young, Carlos           Tue, Jun 18, 2014       D22-20-05 
