Dealer Name: Adams Honda
Address:     4008 Lee Road
             Louderdale, FL
Dealer ID:   32
Owner:       Adams, Jon
Date:        Tue, Jun 18, 2014 thru Mon, Jun 24, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H154625611B4  Civic        2014  25365  27600  Anderson, Brad          Tue, Jun 18, 2014       D32-28-03 
 JE141F1156253BB86  Crosstour    2014  34878  37640  Bryant, Raul            Wed, Jun 19, 2014       D32-28-04 
 JH155FU126253BB88  Odyssey      2014  43365  47825  Hicks, Andre            Fri, Jun 21, 2014       D32-28-01 
 JB129S1406258331X  Civic        2014  22397  23055  Hicks, Andre            Wed, Jun 19, 2014       D32-28-01 
 JB127S13562583312  Civic        2014  15799  16655  Bryant, Raul            Fri, Jun 21, 2014       D32-28-04 
 JA1X1S1206253BB94  Accord       2014  22115  24089  Bryant, Raul            Fri, Jun 21, 2014       D32-28-04 
 JG148F1186254CCA6  Insight      2014  24025  24390  Spencer, Sean           Fri, Jun 21, 2014       D32-28-02 
 JB127S139625722X8  Civic        2014  15536  16655  Anderson, Brad          Mon, Jun 24, 2014       D32-28-03 
 JH153FU1A6251998X  Odyssey      2014  44856  45825  Freeman, Arthur         Wed, Jun 19, 2014       D32-28-05 
 JB123H15562519982  Civic        2014  26505  27600  Anderson, Brad          Wed, Jun 19, 2014       D32-28-03 
 JA1X2F12562572214  Accord       2014  31894  33030  Bryant, Raul            Sat, Jun 22, 2014       D32-28-04 
 JB125G16662519986  Civic        2014  25876  28505  Hicks, Andre            Sun, Jun 23, 2014       D32-28-01 
 JG148F1166252AA98  Insight      2014  22887  24390  Bryant, Raul            Sun, Jun 23, 2014       D32-28-04 
 JH152SU196254CCCX  Odyssey      2014  27834  30375  Bryant, Raul            Tue, Jun 18, 2014       D32-28-04 
 JG148F1136252AAA2  Insight      2014  24404  24390  Spencer, Sean           Sun, Jun 23, 2014       D32-28-02 
 JB127S1316255XXX4  Civic        2014  16940  16655  Freeman, Arthur         Sun, Jun 23, 2014       D32-28-05 
 JG148F11262561116  Insight      2014  23519  24390  Spencer, Sean           Mon, Jun 24, 2014       D32-28-02 
 JB121S12862519998  Civic        2014  16660  16455  Freeman, Arthur         Sat, Jun 22, 2014       D32-28-05 
 JA115SU366254CCXX  Accord       2014  23610  25480  Freeman, Arthur         Sat, Jun 22, 2014       D32-28-05 
 JB121S1246253BBC2  Civic        2014  16140  16455  Bryant, Raul            Fri, Jun 21, 2014       D32-28-04 
