Dealer Name: Adams Honda
Address:     4008 Lee Road
             Louderdale, FL
Dealer ID:   32
Owner:       Adams, Jon
Date:        Tue, Jul 16, 2014 thru Mon, Jul 22, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13A6294CC9X  Civic        2014  16677  16655  Bryant, Raul            Wed, Jul 17, 2014       D32-28-04 
 JD136F1136295XXA2  CR-Z         2014  23556  24705  Bryant, Raul            Thu, Jul 18, 2014       D32-28-04 
 JH157F3166293BB84  Odyssey      2014  41351  45825  Hicks, Andre            Wed, Jul 17, 2014       D32-28-01 
 JA112F13A6294CC96  Accord       2014  32645  32930  Anderson, Brad          Wed, Jul 17, 2014       D32-28-03 
 JB127S1386295XXA8  Civic        2014  15799  16655  Freeman, Arthur         Thu, Jul 18, 2014       D32-28-05 
 JA1X5SU246295XXBX  Accord       2014  26869  27089  Bryant, Raul            Sun, Jul 21, 2014       D32-28-04 
 JA117S332629X8862  Accord       2014  21576  23480  Anderson, Brad          Mon, Jul 22, 2014       D32-28-03 
 JH155FU166295XXB4  Odyssey      2014  46776  47825  Freeman, Arthur         Tue, Jul 16, 2014       D32-28-05 
 JH159F4156292AA86  Odyssey      2014  55127  56825  Freeman, Arthur         Fri, Jul 19, 2014       D32-28-05 
 JA1X1S126629X8868  Accord       2014  22864  24089  Freeman, Arthur         Fri, Jul 19, 2014       D32-28-05 
 JE141F1136293BBAX  Crosstour    2014  34686  37640  Anderson, Brad          Sun, Jul 21, 2014       D32-28-03 
 JB127S132629X8872  Civic        2014  16238  16655  Hicks, Andre            Tue, Jul 16, 2014       D32-28-01 
 JC131F11262972214  CR-V         2014  30300  30995  Bryant, Raul            Tue, Jul 16, 2014       D32-28-04 
 JJ16AF1126295XXC6  Pilot        2014  41155  41970  Freeman, Arthur         Tue, Jul 16, 2014       D32-28-05 
 JB121S1226295XXC8  Civic        2014  15706  16455  Freeman, Arthur         Tue, Jul 16, 2014       D32-28-05 
 JB125G1666295XXXX  Civic        2014  26464  28505  Bryant, Raul            Tue, Jul 16, 2014       D32-28-04 
 JG149FU11629X8882  Insight      2014  24524  25190  Bryant, Raul            Wed, Jul 17, 2014       D32-28-04 
 JC134F31362919994  CR-V         2014  30427  31995  Hicks, Andre            Sat, Jul 20, 2014       D32-28-01 
 JB127S132629X8886  Civic        2014  15536  16655  Hicks, Andre            Sat, Jul 20, 2014       D32-28-01 
 JJ161FU1962972228  Pilot        2014  39483  42970  Anderson, Brad          Sat, Jul 20, 2014       D32-28-03 
 JC131F1176296112X  CR-V         2014  29343  30995  Spencer, Sean           Thu, Jul 18, 2014       D32-28-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD137FU16YX529XC1  CR-Z        2000  10192  25705  Bryant, Raul            Sun, Jul 21, 2014       D32-28-04 
 JH151F119YX43A1X3  Odyssey     2000  17840  44825  Bryant, Raul            Wed, Jul 17, 2014       D32-28-04 
 JB127S13631P29XC5  Civic       2003  11255  16655  Bryant, Raul            Thu, Jul 18, 2014       D32-28-04 
 JG148F1184373A1X7  Insight     2004  18046  24390  Bryant, Raul            Tue, Jul 16, 2014       D32-28-04 
 JJ161FU103X53A1X9  Pilot       2003  27007  42970  Hicks, Andre            Wed, Jul 17, 2014       D32-28-01 
 JG148F11835171681  Insight     2003  16344  24390  Bryant, Raul            Sat, Jul 20, 2014       D32-28-04 
 JA111S1356X45C463  Accord       2014  21362  22480  Spencer, Sean           Tue, Jul 16, 2014       D32-28-02 
 JJ16AF1133143A245  Pilot       2003  26385  41970  Freeman, Arthur         Sun, Jul 21, 2014       D32-28-05 
 JH151F1153X118X27  Odyssey     2003  29790  44825  Bryant, Raul            Sun, Jul 21, 2014       D32-28-04 
 JB127S13221P82799  Civic       2002  10465  16655  Bryant, Raul            Mon, Jul 22, 2014       D32-28-04 
 JB123H1565236X581  Civic       2005  23085  27600  Bryant, Raul            Thu, Jul 18, 2014       D32-28-04 
 JC131F11233618X33  CR-V        2003  20690  30995  Hicks, Andre            Mon, Jul 22, 2014       D32-28-01 
 JE142FU1633518X35  Crosstour   2003  25721  38640  Spencer, Sean           Wed, Jul 17, 2014       D32-28-02 
 JB129S1473X25C477  Civic       2003  15466  23055  Bryant, Raul            Thu, Jul 18, 2014       D32-28-04 
 JH159F41A547X7C29  Odyssey     2005  46757  56825  Anderson, Brad          Tue, Jul 16, 2014       D32-28-03 
 JC132FU104X4827B1  CR-V        2004  23522  31995  Spencer, Sean           Fri, Jul 19, 2014       D32-28-02 
 JB121S12A2153A263  Civic       2002  10341  16455  Hicks, Andre            Wed, Jul 17, 2014       D32-28-01 
 JC135F410338716A5  CR-V        2003  25884  39995  Hicks, Andre            Tue, Jul 16, 2014       D32-28-01 
 JB127S13A336716A7  Civic       2003  11255  16655  Freeman, Arthur         Wed, Jul 17, 2014       D32-28-05 
 JB128SU34341827B9  Civic       2003  11781  17455  Anderson, Brad          Wed, Jul 17, 2014       D32-28-03 
 JH154SU10134716B1  Odyssey     2001  16187  32375  Hicks, Andre            Thu, Jul 18, 2014       D32-28-01 
 JJ163F3134144B383  Pilot       2004  31424  42970  Bryant, Raul            Fri, Jul 19, 2014       D32-28-04 
 JH159F4191525C495  Odyssey     2001  51426  56825  Hicks, Andre            Sat, Jul 20, 2014       D32-28-01 
 JH15AS1125X85C497  Odyssey     2005  24220  29375  Bryant, Raul            Tue, Jul 16, 2014       D32-28-04 
 JH151F1143X75C499  Odyssey     2003  28161  44825  Spencer, Sean           Wed, Jul 17, 2014       D32-28-02 
