Dealer Name: Kaplan Honda
Address:     1605 Nebraska Blvd
             East Valley, FL
Dealer ID:   38
Owner:       Kaplan, Edward
Date:        Tue, Jul 16, 2014 thru Mon, Jul 22, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12362961474  Civic        2014  16747  16455  Murphy, Roger           Mon, Jul 22, 2014       D38-34-01 
 JB127S13462972586  Civic        2014  16677  16655  Lee, Jason              Tue, Jul 16, 2014       D38-34-03 
 JG148F11162983698  Insight      2014  23013  24390  Alvarez, Darrell        Wed, Jul 17, 2014       D38-34-04 
 JC131F1106297259X  CR-V         2014  30619  30995  Lee, Jason              Fri, Jul 19, 2014       D38-34-03 
 JB121S1286294C262  Civic        2014  16660  16455  Rice, Ruth              Mon, Jul 22, 2014       D38-34-06 
 JG148F1136293B154  Insight      2014  23266  24390  Henry, Courtney         Tue, Jul 16, 2014       D38-34-05 
 JD139F3106293B156  CR-Z         2014  25540  25705  Alvarez, Bill           Sun, Jul 21, 2014       D38-34-02 
 JH156S311629X8B28  Odyssey      2014  28616  30375  Alvarez, Darrell        Wed, Jul 17, 2014       D38-34-04 
 JA1X1S1296292AX5X  Accord       2014  23364  24089  Henry, Courtney         Sun, Jul 21, 2014       D38-34-05 
 JB129S140629836B2  Civic        2014  22757  23055  Rice, Ruth              Sat, Jul 20, 2014       D38-34-06 
 JG148F1126294C274  Insight      2014  22761  24390  Alvarez, Darrell        Mon, Jul 22, 2014       D38-34-04 
 JC131F1106295X386  CR-V         2014  29024  30995  Henry, Courtney         Mon, Jul 22, 2014       D38-34-05 
 JC135F41962961498  CR-V         2014  35987  39995  Alvarez, Bill           Sat, Jul 20, 2014       D38-34-02 
 JG148F11762919C5X  Insight      2014  23519  24390  Henry, Courtney         Tue, Jul 16, 2014       D38-34-05 
 JA1X3SU25629836C2  Accord       2014  23649  25089  Lee, Jason              Tue, Jul 16, 2014       D38-34-03 
 JG148F11162919C54  Insight      2014  23393  24390  Murphy, Roger           Sun, Jul 21, 2014       D38-34-01 
 JA118F3316292AX66  Accord       2014  32391  33930  Lee, Jason              Wed, Jul 17, 2014       D38-34-03 
 JB121S1246295X398  Civic        2014  15879  16455  Alvarez, Bill           Thu, Jul 18, 2014       D38-34-02 
 JB127S13262919C6X  Civic        2014  16238  16655  Rice, Ruth              Wed, Jul 17, 2014       D38-34-06 
 JH151F11A629614B2  Odyssey      2014  42067  44825  Henry, Courtney         Fri, Jul 19, 2014       D38-34-05 
 JD138FU18629X8B54  CR-Z         2014  26745  27705  Rice, Ruth              Thu, Jul 18, 2014       D38-34-06 
 JH151F11A6292AX76  Odyssey      2014  43896  44825  Murphy, Roger           Mon, Jul 22, 2014       D38-34-01 
 JB121S125629X8B58  Civic        2014  16140  16455  Murphy, Roger           Fri, Jul 19, 2014       D38-34-01 
 JB121S1216293B19X  Civic        2014  15879  16455  Alvarez, Darrell        Wed, Jul 17, 2014       D38-34-04 
 JD139F3166294C2A2  CR-Z         2014  24077  25705  Lee, Jason              Sat, Jul 20, 2014       D38-34-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12721683B57  Civic       2002  10341  16455  Henry, Courtney         Tue, Jul 16, 2014       D38-34-05 
 JJ163F3101474C719  Pilot       2001  22559  42970  Alvarez, Bill           Sun, Jul 21, 2014       D38-34-02 
 JH153FU163X1X8411  Odyssey     2003  28783  45825  Henry, Courtney         Sun, Jul 21, 2014       D38-34-05 
 JD138FU10Y113B743  CR-Z        2000  11816  27705  Lee, Jason              Thu, Jul 18, 2014       D38-34-03 
 JB121S1242X44C855  Civic       2002  10341  16455  Henry, Courtney         Mon, Jul 22, 2014       D38-34-05 
 JH153FU1431183C97  Odyssey     2003  28783  45825  Henry, Courtney         Wed, Jul 17, 2014       D38-34-05 
 JH153FU19316X8419  Odyssey     2003  30448  45825  Lee, Jason              Sun, Jul 21, 2014       D38-34-03 
 JH159F41A43661A81  Odyssey     2004  41400  56825  Alvarez, Darrell        Tue, Jul 16, 2014       D38-34-04 
 JE142FU1A3293B753  Crosstour   2003  25017  38640  Henry, Courtney         Fri, Jul 19, 2014       D38-34-05 
 JB129S14331572B95  Civic       2003  15466  23055  Lee, Jason              Thu, Jul 18, 2014       D38-34-03 
 JH153FU171325X977  Odyssey     2001  24058  45825  Alvarez, Darrell        Fri, Jul 19, 2014       D38-34-04 
 JB129S1423154C869  Civic       2003  15466  23055  Murphy, Roger           Mon, Jul 22, 2014       D38-34-01 
 JC134F319Y2672BA1  CR-V        2000  13661  31995  Lee, Jason              Tue, Jul 16, 2014       D38-34-03 
 JE141F11932P61A93  Crosstour   2003  25063  37640  Alvarez, Darrell        Thu, Jul 18, 2014       D38-34-04 
 JB127S1333X13B765  Civic       2003  11255  16655  Henry, Courtney         Wed, Jul 17, 2014       D38-34-05 
