Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Tue, Jul 23, 2014 thru Mon, Jul 29, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12A63PX7496  Civic        2014  16053  16455  Miller, Julian          Thu, Jul 25, 2014       D04-04-04 
 JA1X5SU2A63PX7498  Accord       2014  26869  27089  Lucas, Carl             Fri, Jul 26, 2014       D04-04-01 
 JB125G16363P6XA3X  Civic        2014  28081  28505  Pena, Elaine            Sat, Jul 27, 2014       D04-04-05 
 JB121S12063P82C52  Civic        2014  15879  16455  Wilson, Chad            Sun, Jul 28, 2014       D04-04-08 
 JB121S12463P82C54  Civic        2014  16834  16455  Wilson, Chad            Tue, Jul 23, 2014       D04-04-08 
 JE143FU1263P5C926  Crosstour    2014  40086  40640  Wilson, Chad            Mon, Jul 29, 2014       D04-04-08 
 JF146S11063P4B818  Fit          2014  15571  16025  Richards, Angela        Sun, Jul 28, 2014       D04-04-06 
 JH153FU1663P4B95X  Odyssey      2014  44388  45825  Richards, Angela        Wed, Jul 24, 2014       D04-04-06 
 JB122SU2863P71C82  Civic        2014  17338  17255  Dixon, Patsy            Tue, Jul 23, 2014       D04-04-07 
 JA1X2F12563P4B954  Accord       2014  30367  33030  Lucas, Carl             Sun, Jul 28, 2014       D04-04-01 
 JG148F11163P82X96  Insight      2014  23140  24390  Russell, Jerry          Sun, Jul 28, 2014       D04-04-03 
 JH157F31463P3A848  Odyssey      2014  42286  45825  Campbell, Jeanne        Thu, Jul 25, 2014       D04-04-02 
 JA1X1S12263P3A85X  Accord       2014  23489  24089  Richards, Angela        Sat, Jul 27, 2014       D04-04-06 
 JH153FU1863P29742  Odyssey      2014  41818  45825  Wilson, Chad            Wed, Jul 24, 2014       D04-04-08 
 JA111S13963P3A854  Accord       2014  21042  22480  Miller, Julian          Thu, Jul 25, 2014       D04-04-04 
 JH153FU1063P6XB86  Odyssey      2014  42052  45825  Russell, Jerry          Sat, Jul 27, 2014       D04-04-03 
 JA111S13663PX7528  Accord       2014  20691  22480  Pena, Elaine            Tue, Jul 23, 2014       D04-04-05 
 JK165F11363PX753X  Ridgeline    2014  45267  46750  Pena, Elaine            Sun, Jul 28, 2014       D04-04-05 
 JH152SU1163P5CA82  Odyssey      2014  30024  30375  Richards, Angela        Sun, Jul 28, 2014       D04-04-06 
 JC132FU1163P4B974  CR-V         2014  30098  31995  Dixon, Patsy            Mon, Jul 29, 2014       D04-04-07 
 JB127S13863P71CA6  Civic        2014  16062  16655  Lucas, Carl             Sat, Jul 27, 2014       D04-04-01 
 JF146S11463P5CA88  Fit          2014  15655  16025  Lucas, Carl             Sat, Jul 27, 2014       D04-04-01 
 JG148F11A63P5CA9X  Insight      2014  23393  24390  Lucas, Carl             Fri, Jul 26, 2014       D04-04-01 
 JH155FU1163P6XBA2  Odyssey      2014  44096  47825  Pena, Elaine            Sun, Jul 28, 2014       D04-04-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH158S41762P18537  Odyssey      2014  38462  41375  Richards, Angela        Fri, Jul 26, 2014       D04-04-06 
 JJ161FU152514B869  Pilot       2002  26780  42970  Campbell, Jeanne        Wed, Jul 24, 2014       D04-04-02 
 JH153FU13242X7431  Odyssey     2002  28551  45825  Russell, Jerry          Tue, Jul 23, 2014       D04-04-03 
 JB127S1374456XA93  Civic       2004  12720  16655  Russell, Jerry          Sat, Jul 27, 2014       D04-04-03 
 JD137FU1A31471BA5  CR-Z        2003  17209  25705  Richards, Angela        Sun, Jul 28, 2014       D04-04-06 
 JH155FU1321171BA7  Odyssey     2002  28830  47825  Lucas, Carl             Tue, Jul 23, 2014       D04-04-01 
 JC131F111Y225C989  CR-V        2000  13231  30995  Russell, Jerry          Sat, Jul 27, 2014       D04-04-03 
 JE141F11244P29661  Crosstour   2004  27586  37640  Dixon, Patsy            Wed, Jul 24, 2014       D04-04-07 
 JE141F11A2X9X7443  Crosstour   2002  23476  37640  Miller, Julian          Thu, Jul 25, 2014       D04-04-04 
 JB127S1353453A775  Civic       2003  15394  16655  Russell, Jerry          Wed, Jul 24, 2014       D04-04-03 
 JB127S1314246XAA7  Civic       2004  12720  16655  Richards, Angela        Sat, Jul 27, 2014       D04-04-06 
 JH155FU104266XAA9  Odyssey     2004  34920  47825  Dixon, Patsy            Wed, Jul 24, 2014       D04-04-07 
 JA113SU3732271BC1  Accord      2003  15745  23480  Wilson, Chad            Mon, Jul 29, 2014       D04-04-08 
 JE145F4162164B893  Crosstour   2002  29056  46640  Russell, Jerry          Sun, Jul 28, 2014       D04-04-03 
 JB127S13512518565  Civic       2001  8743   16655  Lucas, Carl             Sun, Jul 28, 2014       D04-04-01 
 JH153FU173X55C9A7  Odyssey     2003  29616  45825  Dixon, Patsy            Sat, Jul 27, 2014       D04-04-07 
 JH153FU132164B899  Odyssey     2002  27630  45825  Pena, Elaine            Mon, Jul 29, 2014       D04-04-05 
 JB127S137214X7461  Civic       2002  10465  16655  Dixon, Patsy            Tue, Jul 23, 2014       D04-04-07 
 JH157F31442318573  Odyssey     2004  34131  45825  Wilson, Chad            Mon, Jul 29, 2014       D04-04-08 
