Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Tue, Aug 13, 2014 thru Mon, Aug 19, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14163329786  Civic        2014  22517  23055  Wagner, Ramon           Fri, Aug 16, 2014       D06-06-01 
 JG148F1136334B9A8  Insight      2014  24025  24390  Hall, Francis           Wed, Aug 14, 2014       D06-06-06 
 JC131F1116332979X  CR-V         2014  28546  30995  Hall, Francis           Wed, Aug 14, 2014       D06-06-06 
 JG148F1196335CAC2  Insight      2014  23519  24390  Torres, Rose            Tue, Aug 13, 2014       D06-06-02 
 JH152SU1763382X24  Odyssey      2014  28616  30375  Porter, Ronnie          Mon, Aug 19, 2014       D06-06-07 
 JD138FU186335CAC6  CR-Z         2014  26745  27705  Day, Veronica           Thu, Aug 15, 2014       D06-06-05 
 JA111S13A6335CAC8  Accord       2014  21743  22480  Wagner, Ramon           Fri, Aug 16, 2014       D06-06-01 
 JH156S31863382X3X  Odyssey      2014  29242  30375  Wagner, Ramon           Sat, Aug 17, 2014       D06-06-01 
 JA116FU3A63371C22  Accord       2014  35356  35930  Fuller, Terri           Mon, Aug 19, 2014       D06-06-08 
 JA111S13A633X7584  Accord       2014  20925  22480  Wagner, Ramon           Thu, Aug 15, 2014       D06-06-01 
 JB127S136633297A6  Civic        2014  15623  16655  Rivera, Greg            Mon, Aug 19, 2014       D06-06-03 
 JA117S33163371C28  Accord       2014  23282  23480  Wagner, Ramon           Thu, Aug 15, 2014       D06-06-01 
 JH154SU136336XB2X  Odyssey      2014  31112  32375  Day, Veronica           Tue, Aug 13, 2014       D06-06-05 
 JH151F11063382X42  Odyssey      2014  40923  44825  Rivera, Greg            Thu, Aug 15, 2014       D06-06-03 
 JE142FU17633186A4  Crosstour    2014  37563  38640  Wagner, Ramon           Thu, Aug 15, 2014       D06-06-01 
 JB127S1336335CA16  Civic        2014  16501  16655  Wagner, Ramon           Wed, Aug 14, 2014       D06-06-01 
 JB127S132633X7598  Civic        2014  15887  16655  Day, Veronica           Mon, Aug 19, 2014       D06-06-05 
 JC133FU196334B91X  CR-V         2014  33499  33995  Fuller, Terri           Fri, Aug 16, 2014       D06-06-08 
 JK166FU116336XB32  Ridgeline    2014  44514  47750  Hall, Francis           Sat, Aug 17, 2014       D06-06-06 
 JB121S1216336XB34  Civic        2014  15966  16455  Day, Veronica           Tue, Aug 13, 2014       D06-06-05 
 JG148F11863371C46  Insight      2014  23393  24390  Rivera, Greg            Thu, Aug 15, 2014       D06-06-03 
 JB121S1296336XB38  Civic        2014  15879  16455  Torres, Rose            Wed, Aug 14, 2014       D06-06-02 
 JE141F11763371X8X  Crosstour    2014  35456  37640  Wagner, Ramon           Tue, Aug 13, 2014       D06-06-01 
 JB121S1226333A942  Civic        2014  15879  16455  Day, Veronica           Sat, Aug 17, 2014       D06-06-05 
 JB129S1436333A944  Civic        2014  21319  23055  Rivera, Greg            Sat, Aug 17, 2014       D06-06-03 
 JA1X1S12163371X86  Accord       2014  24114  24089  Hall, Francis           Wed, Aug 14, 2014       D06-06-06 
 JB127S1346333A948  Civic        2014  16238  16655  Hall, Francis           Mon, Aug 19, 2014       D06-06-06 
 JA1X5SU2663371X9X  Accord       2014  26309  27089  Day, Veronica           Tue, Aug 13, 2014       D06-06-05 
 JH151F11763318732  Odyssey      2014  42524  44825  Rivera, Greg            Sun, Aug 18, 2014       D06-06-03 
 JH151F112633X7624  Odyssey      2014  40695  44825  Fuller, Terri           Fri, Aug 16, 2014       D06-06-08 
 JB129S14563371X96  Civic        2014  21439  23055  Wagner, Ramon           Sat, Aug 17, 2014       D06-06-01 
 JA111S134633X7628  Accord       2014  22444  22480  Rivera, Greg            Fri, Aug 16, 2014       D06-06-03 
 JB125G1656334BA7X  Civic        2014  27199  28505  Porter, Ronnie          Mon, Aug 19, 2014       D06-06-07 
 JH151F111633X7632  Odyssey      2014  42295  44825  Hall, Francis           Sat, Aug 17, 2014       D06-06-06 
 JA1X2F1266334BA74  Accord       2014  31554  33030  Wagner, Ramon           Sun, Aug 18, 2014       D06-06-01 
 JA1X1S12263371XA6  Accord       2014  23864  24089  Hall, Francis           Wed, Aug 14, 2014       D06-06-06 
 JD136F1166333A968  CR-Z         2014  23684  24705  Torres, Rose            Tue, Aug 13, 2014       D06-06-02 
 JB127S1306335CB9X  Civic        2014  15536  16655  Hall, Francis           Thu, Aug 15, 2014       D06-06-06 
 JG148F1126334BA82  Insight      2014  23140  24390  Hall, Francis           Fri, Aug 16, 2014       D06-06-06 
 JB122SU23633X7644  Civic        2014  16702  17255  Fuller, Terri           Mon, Aug 19, 2014       D06-06-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
