Dealer Name: Quality Honda
Address:     1624 Tupelo Road
             Norbert, FL
Dealer ID:   16
Owner:       Simpson, Homer
Date:        Tue, Aug 13, 2014 thru Mon, Aug 19, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S139633X7B12  Civic        2014  16150  16655  Freeman, Vickie         Tue, Aug 13, 2014       D16-15-05 
 JB129S1406334B254  Civic        2014  22158  23055  Daniels, Rhonda         Fri, Aug 16, 2014       D16-15-06 
 JA113SU316333A146  Accord       2014  23282  23480  Freeman, Vickie         Tue, Aug 13, 2014       D16-15-05 
 JB129S1416333A148  Civic        2014  22877  23055  Cooper, Joanne          Sat, Aug 17, 2014       D16-15-01 
 JH155FU13633X7B2X  Odyssey      2014  46288  47825  Murray, Gladys          Tue, Aug 13, 2014       D16-15-07 
 JJ161FU1563329X42  Pilot        2014  38824  42970  Cooper, Joanne          Tue, Aug 13, 2014       D16-15-01 
 JA1X1S12663329X44  Accord       2014  24114  24089  Murray, Gladys          Thu, Aug 15, 2014       D16-15-07 
 JB127S1376335C376  Civic        2014  16062  16655  Gonzales, Harold        Tue, Aug 13, 2014       D16-15-03 
 JH156S31463318C38  Odyssey      2014  29398  30375  Hunter, Yolanda         Mon, Aug 19, 2014       D16-15-02 
 JA1X1S1206334B27X  Accord       2014  23364  24089  Horton, Jon             Tue, Aug 13, 2014       D16-15-09 
 JA111S13A6335C382  Accord       2014  21042  22480  Daniels, Rhonda         Sat, Aug 17, 2014       D16-15-06 
 JA112F13863318C44  Accord       2014  32645  32930  Cooper, Joanne          Fri, Aug 16, 2014       D16-15-01 
 JH15AS118633826B6  Odyssey      2014  26642  29375  Murray, Gladys          Fri, Aug 16, 2014       D16-15-07 
 JC131F117633X7B38  CR-V         2014  30140  30995  Murray, Gladys          Wed, Aug 14, 2014       D16-15-07 
 JD136F1186333A17X  CR-Z         2014  22660  24705  Daniels, Rhonda         Sun, Aug 18, 2014       D16-15-06 
 JF146S1156333A172  Fit          2014  16248  16025  Daniels, Rhonda         Mon, Aug 19, 2014       D16-15-06 
 JH152SU1763329X64  Odyssey      2014  29085  30375  Horton, Jon             Mon, Aug 19, 2014       D16-15-09 
 JC131F11A6336X4A6  CR-V         2014  29502  30995  Horton, Jon             Fri, Aug 16, 2014       D16-15-09 
 JH155FU15633826C8  Odyssey      2014  47019  47825  Horton, Jon             Fri, Aug 16, 2014       D16-15-09 
 JB125G1646334B29X  Civic        2014  27787  28505  Rose, Ida               Sun, Aug 18, 2014       D16-15-08 
 JA111S1306335C3A2  Accord       2014  21042  22480  Rose, Ida               Tue, Aug 13, 2014       D16-15-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS1103486XCC3  Odyssey     2003  19624  29375  Murray, Gladys          Tue, Aug 13, 2014       D16-15-07 
 JA118F33031729885  Accord      2003  22622  33930  Murray, Gladys          Tue, Aug 13, 2014       D16-15-07 
 JC131F11021682117  CR-V        2002  19356  30995  Hunter, Yolanda         Mon, Aug 19, 2014       D16-15-02 
 JH157F310225X7669  Odyssey     2002  26708  45825  Crawford, Glen          Thu, Aug 15, 2014       D16-15-04 
 JH156S3192X429891  Odyssey     2002  18972  30375  Rose, Ida               Sun, Aug 18, 2014       D16-15-08 
 JH152SU153154BAB3  Odyssey     2003  20282  30375  Murray, Gladys          Fri, Aug 16, 2014       D16-15-07 
 JB121S1262123A9A5  Civic       2002  10341  16455  Daniels, Rhonda         Tue, Aug 13, 2014       D16-15-06 
 JB121S12514429897  Civic       2001  8638   16455  Murray, Gladys          Tue, Aug 13, 2014       D16-15-07 
 JA1X2F1291515CBC9  Accord      2001  17340  33030  Horton, Jon             Fri, Aug 16, 2014       D16-15-09 
 JH159F415139X7681  Odyssey     2001  29833  56825  Rose, Ida               Fri, Aug 16, 2014       D16-15-08 
 JH15AS11451518793  Odyssey     2005  24220  29375  Murray, Gladys          Sat, Aug 17, 2014       D16-15-07 
 JH157F319Y2271X25  Odyssey     2000  16872  45825  Hunter, Yolanda         Wed, Aug 14, 2014       D16-15-02 
 JB121S12151718797  Civic       2005  14057  16455  Cooper, Joanne          Sun, Aug 18, 2014       D16-15-01 
 JB129S1433293A9B9  Civic       2003  15466  23055  Rose, Ida               Sun, Aug 18, 2014       D16-15-08 
 JF146S118228X7691  Fit         2002  9750   16025  Murray, Gladys          Mon, Aug 19, 2014       D16-15-07 
 JH15AS114239298B3  Odyssey     2002  17760  29375  Freeman, Vickie         Mon, Aug 19, 2014       D16-15-05 
 JG148F1194116XC25  Insight     2004  18046  24390  Murray, Gladys          Fri, Aug 16, 2014       D16-15-07 
