Dealer Name: Kronnen Honda
Address:     4641 Johnstown Drive
             Norbert, FL
Dealer ID:   18
Owner:       Kronnen, Winston
Date:        Tue, Aug 13, 2014 thru Mon, Aug 19, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU18633X7C12  Odyssey      2014  41818  45825  Curtis, Jimmie          Wed, Aug 14, 2014       D18-17-06 
 JJ16AF11863318X24  Pilot        2014  38154  41970  Scott, Jack             Tue, Aug 13, 2014       D18-17-08 
 JB126GU606336X576  Civic        2014  27788  29305  Curtis, Jimmie          Mon, Aug 19, 2014       D18-17-06 
 JA111S13363371688  Accord       2014  21860  22480  Richards, Jessica       Sat, Aug 17, 2014       D18-17-02 
 JH158S4156336X58X  Odyssey      2014  39315  41375  Rice, Derrick           Thu, Aug 15, 2014       D18-17-09 
 JH153FU1363371692  Odyssey      2014  44388  45825  Watkins, Tiffany        Thu, Aug 15, 2014       D18-17-04 
 JD137FU1763371694  CR-Z         2014  23944  25705  Richards, Jessica       Tue, Aug 13, 2014       D18-17-02 
 JB127S13563371696  Civic        2014  15623  16655  Peterson, Judy          Thu, Aug 15, 2014       D18-17-01 
 JE141F11863371698  Crosstour    2014  36998  37640  Curtis, Jimmie          Tue, Aug 13, 2014       D18-17-06 
 JE141F1166332915X  Crosstour    2014  35264  37640  Curtis, Jimmie          Thu, Aug 15, 2014       D18-17-06 
 JB127S138633X7C32  Civic        2014  17028  16655  Curtis, Jimmie          Mon, Aug 19, 2014       D18-17-06 
 JB127S131633X7C34  Civic        2014  16765  16655  Curtis, Jimmie          Sat, Aug 17, 2014       D18-17-06 
 JJ161FU11633716A6  Pilot        2014  41676  42970  Watkins, Tiffany        Sat, Aug 17, 2014       D18-17-04 
 JC131F1196335C488  CR-V         2014  30459  30995  Larson, Pauline         Sat, Aug 17, 2014       D18-17-03 
 JB121S1206334B38X  Civic        2014  15966  16455  Richards, Jessica       Tue, Aug 13, 2014       D18-17-02 
 JE141F1136336X5A2  Crosstour    2014  36034  37640  Carroll, Danny          Thu, Aug 15, 2014       D18-17-05 
 JE141F118633827C4  Crosstour    2014  36227  37640  Watkins, Tiffany        Sun, Aug 18, 2014       D18-17-04 
 JB127S138633X7C46  Civic        2014  16765  16655  Larson, Pauline         Sat, Aug 17, 2014       D18-17-03 
 JC131F111633716B8  CR-V         2014  30938  30995  Richards, Jessica       Sat, Aug 17, 2014       D18-17-02 
 JE144F314633716CX  Crosstour    2014  37167  38640  Watkins, Tiffany        Sun, Aug 18, 2014       D18-17-04 
 JC131F1106333A282  CR-V         2014  28864  30995  Rice, Derrick           Fri, Aug 16, 2014       D18-17-09 
 JH157F31463318X64  Odyssey      2014  43687  45825  Larson, Pauline         Sun, Aug 18, 2014       D18-17-03 
 JC131F11263329176  CR-V         2014  28546  30995  Watkins, Tiffany        Fri, Aug 16, 2014       D18-17-04 
 JB121S126633827X8  Civic        2014  16574  16455  Scott, Jack             Thu, Aug 15, 2014       D18-17-08 
 JA1X1S1246335C4BX  Accord       2014  21990  24089  Rice, Derrick           Sat, Aug 17, 2014       D18-17-09 
 JB127S1336334B3A2  Civic        2014  15711  16655  Richards, Jessica       Sun, Aug 18, 2014       D18-17-02 
 JA111S1346334B3A4  Accord       2014  21860  22480  Watkins, Tiffany        Mon, Aug 19, 2014       D18-17-04 
 JB123H15763382716  Civic        2014  26505  27600  Watkins, Tiffany        Tue, Aug 13, 2014       D18-17-04 
 JB127S133633716X8  Civic        2014  15536  16655  Rice, Derrick           Sat, Aug 17, 2014       D18-17-09 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU1623529965  Odyssey     2002  18972  30375  Watkins, Tiffany        Tue, Aug 13, 2014       D18-17-04 
 JH151F1142215CC97  Odyssey     2002  27030  44825  Watkins, Tiffany        Thu, Aug 15, 2014       D18-17-04 
 JB127S1315X46XXA9  Civic       2005  14219  16655  Scott, Jack             Sun, Aug 18, 2014       D18-17-08 
 JD137FU122334BB91  CR-Z        2002  15558  25705  Peterson, Judy          Wed, Aug 14, 2014       D18-17-01 
 JD136F1123323AA83  CR-Z        2003  16551  24705  Bennett, Tiffany        Wed, Aug 14, 2014       D18-17-07 
 JH15AS119Y4818865  Odyssey     2000  12534  29375  Watkins, Tiffany        Sat, Aug 17, 2014       D18-17-04 
 JJ16AF114218X7757  Pilot       2002  25317  41970  Rice, Derrick           Wed, Aug 14, 2014       D18-17-09 
 JE143FU163423AA89  Crosstour   2003  26297  40640  Rice, Derrick           Fri, Aug 16, 2014       D18-17-09 
 JE145F4163373AA91  Crosstour   2003  30985  46640  Carroll, Danny          Wed, Aug 14, 2014       D18-17-05 
 JJ16AF1132135CCB3  Pilot       2002  26160  41970  Watkins, Tiffany        Mon, Aug 19, 2014       D18-17-04 
 JB129S1443425CCB5  Civic       2003  15466  23055  Rice, Derrick           Tue, Aug 13, 2014       D18-17-09 
 JC131F11321P711X7  CR-V        2002  19356  30995  Watkins, Tiffany        Sun, Aug 18, 2014       D18-17-04 
 JH151F1132113AA99  Odyssey     2002  27931  44825  Larson, Pauline         Sun, Aug 18, 2014       D18-17-03 
 JH15AS1174183AAA1  Odyssey     2004  22056  29375  Scott, Jack             Fri, Aug 16, 2014       D18-17-08 
 JJ163F3143496XXX3  Pilot       2003  27007  42970  Bennett, Tiffany        Mon, Aug 19, 2014       D18-17-07 
 JJ162FU1124P82225  Pilot       2002  40449  44970  Watkins, Tiffany        Fri, Aug 16, 2014       D18-17-04 
 JE141F1143515CCC7  Crosstour   2003  24377  37640  Scott, Jack             Wed, Aug 14, 2014       D18-17-08 
 JG149FU105193AAA9  Insight     2005  20872  25190  Scott, Jack             Mon, Aug 19, 2014       D18-17-08 
 JH159F414318X7781  Odyssey     2003  37686  56825  Larson, Pauline         Thu, Aug 15, 2014       D18-17-03 
 JH153FU142284BBC3  Odyssey     2002  28551  45825  Bennett, Tiffany        Tue, Aug 13, 2014       D18-17-07 
 JA117S3353X14BBC5  Accord      2003  15745  23480  Curtis, Jimmie          Tue, Aug 13, 2014       D18-17-06 
