Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Tue, Aug 20, 2014 thru Mon, Aug 26, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA119S4316343B654  Accord       2014  30599  31480  Nichols, Colleen        Wed, Aug 21, 2014       D22-20-04 
 JB129S14463472A96  Civic        2014  22877  23055  Nichols, Colleen        Tue, Aug 20, 2014       D22-20-04 
 JB127S13363483BA8  Civic        2014  16238  16655  Nichols, Colleen        Tue, Aug 20, 2014       D22-20-04 
 JB127S1316342A55X  Civic        2014  16413  16655  Watson, Lori            Wed, Aug 21, 2014       D22-20-01 
 JH151F11863483BB2  Odyssey      2014  43210  44825  Nichols, Colleen        Thu, Aug 22, 2014       D22-20-04 
 JB121S1216343B664  Civic        2014  16834  16455  Watson, Lori            Mon, Aug 26, 2014       D22-20-01 
 JH156S3166344C776  Odyssey      2014  29554  30375  Thompson, Gail          Thu, Aug 22, 2014       D22-20-03 
 JG148F1106342A558  Insight      2014  23899  24390  Romero, Gladys          Thu, Aug 22, 2014       D22-20-08 
 JC133FU11634619AX  CR-V         2014  31928  33995  Nichols, Colleen        Mon, Aug 26, 2014       D22-20-04 
 JH153FU1563419452  Odyssey      2014  42519  45825  Morrison, Irene         Thu, Aug 22, 2014       D22-20-07 
 JB127S131634619A4  Civic        2014  15975  16655  Tucker, Ann             Fri, Aug 23, 2014       D22-20-02 
 JH154SU17634X8346  Odyssey      2014  30945  32375  Tucker, Ann             Mon, Aug 26, 2014       D22-20-02 
 JA1X1S12463483BC8  Accord       2014  22864  24089  Nichols, Colleen        Sat, Aug 24, 2014       D22-20-04 
 JD136F11463483BXX  CR-Z         2014  23556  24705  Morrison, Irene         Tue, Aug 20, 2014       D22-20-07 
 JB129S1426345X8A2  Civic        2014  22397  23055  Tucker, Ann             Mon, Aug 26, 2014       D22-20-02 
 JA1X2F124634619B4  Accord       2014  31215  33030  Nichols, Colleen        Wed, Aug 21, 2014       D22-20-04 
 JB121S12963419466  Civic        2014  16313  16455  Tucker, Ann             Sun, Aug 25, 2014       D22-20-02 
