Dealer Name: Kaplan Honda
Address:     1605 Nebraska Blvd
             East Valley, FL
Dealer ID:   38
Owner:       Kaplan, Edward
Date:        Tue, Aug 20, 2014 thru Mon, Aug 26, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1336345X37X  Civic        2014  15799  16655  Murphy, Roger           Thu, Aug 22, 2014       D38-34-01 
 JB121S1236345X372  Civic        2014  15272  16455  Henry, Courtney         Thu, Aug 22, 2014       D38-34-05 
 JC133FU166343B154  CR-V         2014  32801  33995  Murphy, Roger           Mon, Aug 26, 2014       D38-34-01 
 JB127S13A634X8B26  Civic        2014  16589  16655  Alvarez, Darrell        Mon, Aug 26, 2014       D38-34-04 
 JH15AS11A6342AX48  Odyssey      2014  29064  29375  Lee, Jason              Fri, Aug 23, 2014       D38-34-03 
 JH155FU116342AX5X  Odyssey      2014  44583  47825  Rice, Ruth              Fri, Aug 23, 2014       D38-34-06 
 JD138FU1A6343B162  CR-Z         2014  26173  27705  Alvarez, Bill           Sun, Aug 25, 2014       D38-34-02 
 JA1X3SU2563419C44  Accord       2014  24429  25089  Alvarez, Darrell        Fri, Aug 23, 2014       D38-34-04 
 JG148F11663461496  Insight      2014  23772  24390  Alvarez, Darrell        Sun, Aug 25, 2014       D38-34-04 
 JB121S1276345X388  Civic        2014  15359  16455  Alvarez, Darrell        Fri, Aug 23, 2014       D38-34-04 
 JC131F110634614AX  CR-V         2014  30619  30995  Rice, Ruth              Tue, Aug 20, 2014       D38-34-06 
 JB121S1296345X392  Civic        2014  16660  16455  Alvarez, Bill           Fri, Aug 23, 2014       D38-34-02 
 JB129S148634X8B44  Civic        2014  22637  23055  Alvarez, Bill           Mon, Aug 26, 2014       D38-34-02 
 JB123H15A634836C6  Civic        2014  26505  27600  Lee, Jason              Fri, Aug 23, 2014       D38-34-03 
 JA1X5SU2263419C58  Accord       2014  26729  27089  Henry, Courtney         Wed, Aug 21, 2014       D38-34-05 
 JC133FU166344C29X  CR-V         2014  33673  33995  Lee, Jason              Sun, Aug 25, 2014       D38-34-03 
 JH151F1186342AX72  Odyssey      2014  42752  44825  Alvarez, Darrell        Sat, Aug 24, 2014       D38-34-04 
 JB123H15A6343B184  Civic        2014  26220  27600  Alvarez, Bill           Sun, Aug 25, 2014       D38-34-02 
 JB121S125634725C6  Civic        2014  15706  16455  Murphy, Roger           Mon, Aug 26, 2014       D38-34-01 
 JH155FU166344C298  Odyssey      2014  45070  47825  Lee, Jason              Fri, Aug 23, 2014       D38-34-03 
 JH153FU18634X8B6X  Odyssey      2014  43687  45825  Alvarez, Bill           Sun, Aug 25, 2014       D38-34-02 
 JA1X3SU21634X8B62  Accord       2014  24689  25089  Henry, Courtney         Sun, Aug 25, 2014       D38-34-05 
 JH155FU176344C2A4  Odyssey      2014  46776  47825  Alvarez, Bill           Mon, Aug 26, 2014       D38-34-02 
 JB127S130634X8B66  Civic        2014  15887  16655  Alvarez, Darrell        Fri, Aug 23, 2014       D38-34-04 
 JB121S1206344C2A8  Civic        2014  16574  16455  Alvarez, Darrell        Thu, Aug 22, 2014       D38-34-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11531419523  Insight     2003  16344  24390  Alvarez, Darrell        Sun, Aug 25, 2014       D38-34-04 
 JD136F11313219525  CR-Z        2001  12352  24705  Alvarez, Bill           Sun, Aug 25, 2014       D38-34-02 
 JC131F11733683C97  CR-V        2003  20124  30995  Lee, Jason              Fri, Aug 23, 2014       D38-34-03 
 JJ16AF1134X95X969  Pilot       2004  30704  41970  Henry, Courtney         Wed, Aug 21, 2014       D38-34-05 
 JB127S1313525X971  Civic       2003  11255  16655  Alvarez, Bill           Fri, Aug 23, 2014       D38-34-02 
 JJ162FU1522883CA3  Pilot       2002  27117  44970  Lee, Jason              Tue, Aug 20, 2014       D38-34-03 
 JH156S31245172B95  Odyssey     2004  22356  30375  Rice, Ruth              Tue, Aug 20, 2014       D38-34-06 
 JK166FU152X183CA7  Ridgeline   2002  28785  47750  Murphy, Roger           Sun, Aug 25, 2014       D38-34-01 
 JG148F11621P72B99  Insight     2002  14769  24390  Murphy, Roger           Fri, Aug 23, 2014       D38-34-01 
 JH153FU14336X8431  Odyssey     2003  30448  45825  Murphy, Roger           Tue, Aug 20, 2014       D38-34-01 
 JH157F3164463B763  Odyssey     2004  34131  45825  Alvarez, Bill           Mon, Aug 26, 2014       D38-34-02 
 JB129S14161361A95  Civic        2014  21762  23055  Lee, Jason              Tue, Aug 20, 2014       D38-34-03 
 JG149FU13521X8437  Insight     2005  21132  25190  Alvarez, Darrell        Fri, Aug 23, 2014       D38-34-04 
 JH155FU1641683CB9  Odyssey     2004  34920  47825  Lee, Jason              Thu, Aug 22, 2014       D38-34-03 
 JB123H1553233B771  Civic       2003  18456  27600  Lee, Jason              Tue, Aug 20, 2014       D38-34-03 
