Dealer Name: Walker Honda
Address:     1240 Harrison Ave
             Port Kiln, SC
Dealer ID:   10
Owner:       Walker, Shelly
Date:        Tue, Sep 10, 2014 thru Mon, Sep 16, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S1306374BC54  Accord       2014  20925  22480  Gardner, Salvador       Sun, Sep 15, 2014       D10-07-03 
 JB129S1456376X176  Civic        2014  21679  23055  Fields, Roland          Sun, Sep 15, 2014       D10-07-02 
 JH153FU1463729A38  Odyssey      2014  44856  45825  Marshall, Allan         Sun, Sep 15, 2014       D10-07-01 
 JA111S135637X782X  Accord       2014  21860  22480  Alvarez, David          Fri, Sep 13, 2014       D10-07-06 
 JA1X1S12A6376X182  Accord       2014  23864  24089  Wright, Emma            Sat, Sep 14, 2014       D10-07-04 
 JB124HU556374BC64  Civic        2014  26663  28400  Marshall, Allan         Sun, Sep 15, 2014       D10-07-01 
 JH151F11063729A46  Odyssey      2014  41381  44825  Gardner, Salvador       Tue, Sep 10, 2014       D10-07-03 
 JC133FU1263718938  CR-V         2014  31231  33995  Alvarez, David          Thu, Sep 12, 2014       D10-07-06 
 JJ163F31A637712AX  Pilot        2014  39483  42970  Fields, Roland          Mon, Sep 16, 2014       D10-07-02 
 JB122SU25637712A2  Civic        2014  17156  17255  Wright, Emma            Tue, Sep 10, 2014       D10-07-04 
 JB121S12A6376X194  Civic        2014  15359  16455  Gardner, Salvador       Tue, Sep 10, 2014       D10-07-03 
 JB124HU536376X196  Civic        2014  28274  28400  Ross, Darren            Fri, Sep 13, 2014       D10-07-05 
 JB127S132637X7838  Civic        2014  16852  16655  Gardner, Salvador       Thu, Sep 12, 2014       D10-07-03 
 JC131F1136371895X  CR-V         2014  28864  30995  Marshall, Allan         Sat, Sep 14, 2014       D10-07-01 
 JB129S1416375CX92  Civic        2014  21200  23055  Ross, Darren            Mon, Sep 16, 2014       D10-07-05 
 JE145F4186376X1A4  Crosstour    2014  42786  46640  Fields, Roland          Wed, Sep 11, 2014       D10-07-02 
 JK167FU196376X1A6  Ridgeline    2014  46598  49750  Fields, Roland          Tue, Sep 10, 2014       D10-07-02 
 JG148F1136376X1A8  Insight      2014  23772  24390  Ross, Darren            Sun, Sep 15, 2014       D10-07-05 
 JB123H151637712CX  Civic        2014  25365  27600  Gardner, Salvador       Tue, Sep 10, 2014       D10-07-03 
 JH153FU1463729A72  Odyssey      2014  42987  45825  Gardner, Salvador       Mon, Sep 16, 2014       D10-07-03 
 JB127S1376375CXA4  Civic        2014  16326  16655  Fields, Roland          Sun, Sep 15, 2014       D10-07-02 
 JB123H15263718966  Civic        2014  25222  27600  Gardner, Salvador       Sun, Sep 15, 2014       D10-07-03 
 JH152SU19637X7858  Odyssey      2014  27834  30375  Fields, Roland          Thu, Sep 12, 2014       D10-07-02 
 JA115SU376378231X  Accord       2014  25456  25480  Wright, Emma            Fri, Sep 13, 2014       D10-07-04 
 JB126GU62637X7862  Civic        2014  28543  29305  Marshall, Allan         Thu, Sep 12, 2014       D10-07-01 
 JB123H1546376X1C4  Civic        2014  26362  27600  Ross, Darren            Wed, Sep 11, 2014       D10-07-05 
 JJ16AF113637712X6  Pilot        2014  38154  41970  Alvarez, David          Thu, Sep 12, 2014       D10-07-06 
 JB129S1486376X1C8  Civic        2014  21439  23055  Ross, Darren            Sun, Sep 15, 2014       D10-07-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ161FU1111471B21  Pilot       2001  22559  42970  Wright, Emma            Mon, Sep 16, 2014       D10-07-04 
 JH158S4164X2296A3  Odyssey     2004  29687  41375  Wright, Emma            Sat, Sep 14, 2014       D10-07-04 
 JJ161FU133115C9X5  Pilot       2003  39295  42970  Ross, Darren            Wed, Sep 11, 2014       D10-07-05 
 JH153FU1425271B27  Odyssey     2002  41445  45825  Ross, Darren            Sun, Sep 15, 2014       D10-07-05 
 JD136F1192494B8C9  CR-Z        2002  15456  24705  Marshall, Allan         Sun, Sep 15, 2014       D10-07-01 
 JH153FU103486XA21  Odyssey     2003  30448  45825  Wright, Emma            Mon, Sep 16, 2014       D10-07-04 
 JA1X1S1286X24B8X3  Accord       2014  22818  24089  Wright, Emma            Sat, Sep 14, 2014       D10-07-04 
 JJ162FU103334B8X5  Pilot       2003  29886  44970  Ross, Darren            Wed, Sep 11, 2014       D10-07-05 
 JH159F417225296B7  Odyssey     2002  34230  56825  Gardner, Salvador       Thu, Sep 12, 2014       D10-07-03 
 JH154SU113X53A7C9  Odyssey     2003  21598  32375  Gardner, Salvador       Sat, Sep 14, 2014       D10-07-03 
 JJ161FU144465C921  Pilot       2004  31424  42970  Wright, Emma            Fri, Sep 13, 2014       D10-07-04 
