Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Tue, Sep 17, 2014 thru Mon, Sep 23, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X9S42563882B92  Accord       2014  31949  33089  Jennings, Terry         Mon, Sep 23, 2014       D01-01-02 
 JA117S330638X7314  Accord       2014  21942  23480  King, Michelle          Tue, Sep 17, 2014       D01-01-03 
 JH153FU1163829536  Odyssey      2014  43454  45825  Russell, Connie         Wed, Sep 18, 2014       D01-01-01 
 JA1X4FU246384B758  Accord       2014  31437  34030  Ryan, Margie            Thu, Sep 19, 2014       D01-01-06 
 JB121S1236381843X  Civic        2014  15359  16455  Jennings, Terry         Mon, Sep 23, 2014       D01-01-02 
 JC131F11363829542  CR-V         2014  28705  30995  Russell, Connie         Thu, Sep 19, 2014       D01-01-01 
 JH155FU166385C874  Odyssey      2014  45314  47825  Jennings, Terry         Wed, Sep 18, 2014       D01-01-02 
 JA1X1S12A638X7326  Accord       2014  23614  24089  King, Michelle          Fri, Sep 20, 2014       D01-01-03 
 JB127S1306385C878  Civic        2014  16062  16655  Russell, Connie         Wed, Sep 18, 2014       D01-01-01 
 JC131F1156382955X  CR-V         2014  30459  30995  Russell, Connie         Wed, Sep 18, 2014       D01-01-01 
 JB127S13463829552  Civic        2014  16589  16655  King, Michelle          Sat, Sep 21, 2014       D01-01-03 
 JB127S13A6384B774  Civic        2014  15623  16655  Wood, Lloyd             Sun, Sep 22, 2014       D01-01-04 
 JA1X1S12063818446  Accord       2014  23114  24089  Harper, Freddie         Tue, Sep 17, 2014       D01-01-05 
 JH153FU1663871AA8  Odyssey      2014  44388  45825  Harper, Freddie         Fri, Sep 20, 2014       D01-01-05 
 JD138FU176384B78X  CR-Z         2014  26745  27705  King, Michelle          Sun, Sep 22, 2014       D01-01-03 
 JB127S1396384B782  Civic        2014  15799  16655  King, Michelle          Tue, Sep 17, 2014       D01-01-03 
 JB127S1346386X9A4  Civic        2014  15536  16655  Ryan, Margie            Mon, Sep 23, 2014       D01-01-06 
 JE141F1156384B786  Crosstour    2014  34300  37640  King, Michelle          Sat, Sep 21, 2014       D01-01-03 
 JC131F1136386X9A8  CR-V         2014  28067  30995  King, Michelle          Thu, Sep 19, 2014       D01-01-03 
 JH158S41763871ACX  Odyssey      2014  40372  41375  Harper, Freddie         Fri, Sep 20, 2014       D01-01-05 
 JA111S1306386X9B2  Accord       2014  22094  22480  Jennings, Terry         Wed, Sep 18, 2014       D01-01-02 
 JH152SU1A638X7354  Odyssey      2014  29711  30375  Wood, Lloyd             Thu, Sep 19, 2014       D01-01-04 
 JB127S1326383A686  Civic        2014  15975  16655  King, Michelle          Wed, Sep 18, 2014       D01-01-03 
 JH159F41363871AC8  Odyssey      2014  53972  56825  Harper, Freddie         Sat, Sep 21, 2014       D01-01-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1162495C863  CR-Z        2002  14958  24705  Jennings, Terry         Sat, Sep 21, 2014       D01-01-02 
 JJ163F3163X771A85  Pilot       2003  27788  42970  Ryan, Margie            Sun, Sep 22, 2014       D01-01-06 
 JH155FU184444B757  Odyssey     2004  35599  47825  Ryan, Margie            Sat, Sep 21, 2014       D01-01-06 
 JD136F1162415C869  CR-Z        2002  15456  24705  Russell, Connie         Tue, Sep 17, 2014       D01-01-01 
 JA117S33041682BA1  Accord      2004  17729  23480  Jennings, Terry         Tue, Sep 17, 2014       D01-01-02 
 JG149FU163X84B763  Insight     2003  16871  25190  Ryan, Margie            Sat, Sep 21, 2014       D01-01-06 
 JA111S1392295C875  Accord      2002  14077  22480  Harper, Freddie         Mon, Sep 23, 2014       D01-01-05 
 JH155FU152X65C877  Odyssey     2002  28830  47825  Harper, Freddie         Sun, Sep 22, 2014       D01-01-05 
 JB121S1221334B769  Civic       2001  8638   16455  Wood, Lloyd             Wed, Sep 18, 2014       D01-01-04 
 JH153FU1234229551  Odyssey     2003  29616  45825  Russell, Connie         Sun, Sep 22, 2014       D01-01-01 
 JH157F31AY356X993  Odyssey     2000  16872  45825  Russell, Connie         Sat, Sep 21, 2014       D01-01-01 
 JH15AS1172X682BB5  Odyssey     2002  17760  29375  Wood, Lloyd             Tue, Sep 17, 2014       D01-01-04 
 JH156S31235P4B777  Odyssey     2003  27896  30375  King, Michelle          Sun, Sep 22, 2014       D01-01-03 
 JC131F11153618449  CR-V        2005  25516  30995  Wood, Lloyd             Sun, Sep 22, 2014       D01-01-04 
 JH152SU182356X9A1  Odyssey     2002  18972  30375  Russell, Connie         Thu, Sep 19, 2014       D01-01-01 
 JC131F1103X129563  CR-V        2003  20124  30995  Harper, Freddie         Sat, Sep 21, 2014       D01-01-05 
 JH154SU1031P71AB5  Odyssey     2003  21598  32375  Ryan, Margie            Sun, Sep 22, 2014       D01-01-06 
