Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Tue, Sep 17, 2014 thru Mon, Sep 23, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU1A6384B8X6  Odyssey      2014  45801  47825  Dixon, Patsy            Fri, Sep 20, 2014       D04-04-07 
 JK167FU116386XA28  Ridgeline    2014  47611  49750  Wilson, Chad            Fri, Sep 20, 2014       D04-04-08 
 JE143FU19638X74AX  Crosstour    2014  36970  40640  Campbell, Jeanne        Thu, Sep 19, 2014       D04-04-02 
 JD138FU166386XA32  CR-Z         2014  25744  27705  Lucas, Carl             Thu, Sep 19, 2014       D04-04-01 
 JB127S13A6383A7X4  Civic        2014  16501  16655  Russell, Jerry          Fri, Sep 20, 2014       D04-04-03 
 JA1X5SU25638296C6  Accord       2014  26449  27089  Richards, Angela        Sat, Sep 21, 2014       D04-04-06 
 JA115SU356386XA38  Accord       2014  24533  25480  Miller, Julian          Sun, Sep 22, 2014       D04-04-04 
 JB129S1456381862X  Civic        2014  21679  23055  Lucas, Carl             Fri, Sep 20, 2014       D04-04-01 
 JB127S13663829732  Civic        2014  16501  16655  Lucas, Carl             Wed, Sep 18, 2014       D04-04-01 
 JA111S1326383A844  Accord       2014  22211  22480  Dixon, Patsy            Wed, Sep 18, 2014       D04-04-07 
 JB121S1246384B956  Civic        2014  15966  16455  Wilson, Chad            Tue, Sep 17, 2014       D04-04-08 
 JB121S12663829738  Civic        2014  15706  16455  Richards, Angela        Wed, Sep 18, 2014       D04-04-06 
 JH15AS1156386XB8X  Odyssey      2014  28307  29375  Richards, Angela        Mon, Sep 23, 2014       D04-04-06 
 JH151F11463882XA2  Odyssey      2014  42524  44825  Pena, Elaine            Mon, Sep 23, 2014       D04-04-05 
 JG148F1156383A854  Insight      2014  22381  24390  Pena, Elaine            Wed, Sep 18, 2014       D04-04-05 
 JB121S1206386XB86  Civic        2014  15532  16455  Dixon, Patsy            Tue, Sep 17, 2014       D04-04-07 
 JA115SU32638X7528  Accord       2014  24665  25480  Lucas, Carl             Sat, Sep 21, 2014       D04-04-01 
 JK166FU1963871CAX  Ridgeline    2014  44028  47750  Wilson, Chad            Thu, Sep 19, 2014       D04-04-08 
 JE141F11463818642  Crosstour    2014  34686  37640  Lucas, Carl             Wed, Sep 18, 2014       D04-04-01 
 JB129S14563818644  Civic        2014  23236  23055  Pena, Elaine            Wed, Sep 18, 2014       D04-04-05 
 JB127S1346383A866  Civic        2014  15975  16655  Wilson, Chad            Wed, Sep 18, 2014       D04-04-08 
 JB121S1276385CA88  Civic        2014  15879  16455  Russell, Jerry          Fri, Sep 20, 2014       D04-04-03 
 JC131F110638X754X  CR-V         2014  28067  30995  Campbell, Jeanne        Thu, Sep 19, 2014       D04-04-02 
 JG148F11563818652  Insight      2014  23393  24390  Dixon, Patsy            Thu, Sep 19, 2014       D04-04-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13A13971B97  Civic       2001  8743   16655  Russell, Jerry          Wed, Sep 18, 2014       D04-04-03 
 JE141F113Y1429649  Crosstour   2000  16088  37640  Campbell, Jeanne        Tue, Sep 17, 2014       D04-04-02 
 JC132FU111X53A761  CR-V        2001  16797  31995  Richards, Angela        Tue, Sep 17, 2014       D04-04-06 
 JH155FU1432282CB3  Odyssey     2003  31764  47825  Campbell, Jeanne        Fri, Sep 20, 2014       D04-04-02 
 JH158S41114PX7435  Odyssey     2001  20687  41375  Pena, Elaine            Tue, Sep 17, 2014       D04-04-05 
 JH153FU1AY2418547  Odyssey     2000  18240  45825  Dixon, Patsy            Tue, Sep 17, 2014       D04-04-07 
 JC133FU1463682CB9  CR-V         2014  31783  33995  Russell, Jerry          Wed, Sep 18, 2014       D04-04-03 
 JB129S14A3456XAA1  Civic       2003  15466  23055  Campbell, Jeanne        Tue, Sep 17, 2014       D04-04-02 
 JC134F3144523A773  CR-V        2004  23979  31995  Miller, Julian          Sun, Sep 22, 2014       D04-04-04 
 JB127S1311224B885  Civic       2001  8327   16655  Russell, Jerry          Thu, Sep 19, 2014       D04-04-03 
 JC132FU11YX65C997  CR-V        2000  13661  31995  Wilson, Chad            Sat, Sep 21, 2014       D04-04-08 
 JC131F1162324B889  CR-V        2002  19356  30995  Dixon, Patsy            Thu, Sep 19, 2014       D04-04-07 
 JD136F11132129671  CR-Z        2003  16099  24705  Dixon, Patsy            Sun, Sep 22, 2014       D04-04-07 
 JH152SU1A3283A783  Odyssey     2003  19728  30375  Wilson, Chad            Thu, Sep 19, 2014       D04-04-08 
 JH151F11231882CX5  Odyssey     2003  29790  44825  Russell, Jerry          Thu, Sep 19, 2014       D04-04-03 
 JB121S121248X7457  Civic       2002  10341  16455  Campbell, Jeanne        Sat, Sep 21, 2014       D04-04-02 
 JC131F11A31618569  CR-V        2003  20124  30995  Russell, Jerry          Wed, Sep 18, 2014       D04-04-03 
 JG148F1173525C9B1  Insight     2003  16344  24390  Richards, Angela        Mon, Sep 23, 2014       D04-04-06 
 JB123H15435182C13  Civic       2003  18456  27600  Campbell, Jeanne        Tue, Sep 17, 2014       D04-04-02 
