Dealer Name: Moosebury Honda
Address:     7343 Washington St
             East Valley, FL
Dealer ID:   37
Owner:       Moosebury, Hank
Date:        Tue, Sep 17, 2014 thru Mon, Sep 23, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU11638613CX  Odyssey      2014  41351  45825  Pearson, Albert         Tue, Sep 17, 2014       D37-33-05 
 JB129S148638724X2  Civic        2014  22517  23055  Castro, Jenny           Thu, Sep 19, 2014       D37-33-01 
 JB127S13263883514  Civic        2014  15711  16655  Pearson, Albert         Wed, Sep 18, 2014       D37-33-05 
 JA111S13363883516  Accord       2014  20925  22480  Pearson, Albert         Thu, Sep 19, 2014       D37-33-05 
 JA119S43163883518  Accord       2014  30275  31480  Crawford, Katrina       Sat, Sep 21, 2014       D37-33-04 
 JH151F1176384C1BX  Odyssey      2014  40466  44825  Gonzales, Maureen       Sun, Sep 22, 2014       D37-33-03 
 JG148F115638613X2  Insight      2014  22255  24390  Hudson, Roger           Thu, Sep 19, 2014       D37-33-02 
 JH155FU116385X2C4  Odyssey      2014  46776  47825  Craig, Terri            Mon, Sep 23, 2014       D37-33-06 
 JA111S132638613X6  Accord       2014  22561  22480  Pearson, Albert         Sun, Sep 22, 2014       D37-33-05 
 JH153FU1863883528  Odyssey      2014  42519  45825  Pearson, Albert         Mon, Sep 23, 2014       D37-33-05 
 JE143FU176385X2XX  Crosstour    2014  39878  40640  Pearson, Albert         Tue, Sep 17, 2014       D37-33-05 
 JH154SU19638X8A82  Odyssey      2014  32110  32375  Crawford, Katrina       Sun, Sep 22, 2014       D37-33-04 
 JB127S13863883534  Civic        2014  16940  16655  Hudson, Roger           Fri, Sep 20, 2014       D37-33-02 
 JA111S1326384C1C6  Accord       2014  22327  22480  Hudson, Roger           Fri, Sep 20, 2014       D37-33-02 
 JA112F13A6383BXB8  Accord       2014  30785  32930  Crawford, Katrina       Thu, Sep 19, 2014       D37-33-04 
 JC131F114638X8A9X  CR-V         2014  28386  30995  Hudson, Roger           Sun, Sep 22, 2014       D37-33-02 
 JB127S13A6383BXC2  Civic        2014  15711  16655  Pearson, Albert         Fri, Sep 20, 2014       D37-33-05 
 JH155FU166385X214  Odyssey      2014  43121  47825  Castro, Jenny           Sun, Sep 22, 2014       D37-33-01 
 JB121S1266383BXC6  Civic        2014  16574  16455  Craig, Terri            Thu, Sep 19, 2014       D37-33-06 
 JA115SU3263861328  Accord       2014  24797  25480  Craig, Terri            Sun, Sep 22, 2014       D37-33-06 
 JB129S1466383BXXX  Civic        2014  23236  23055  Pearson, Albert         Mon, Sep 23, 2014       D37-33-05 
 JB129S148638X8AA2  Civic        2014  22517  23055  Gonzales, Maureen       Sat, Sep 21, 2014       D37-33-03 
 JJ16AF1176383BXX4  Pilot        2014  39440  41970  Castro, Jenny           Wed, Sep 18, 2014       D37-33-01 
 JA1X9S4286383BXX6  Accord       2014  32969  33089  Craig, Terri            Thu, Sep 19, 2014       D37-33-06 
 JA115SU3A638X8AA8  Accord       2014  25456  25480  Pearson, Albert         Sun, Sep 22, 2014       D37-33-05 
 JA1X1S1246382AX3X  Accord       2014  23989  24089  Pearson, Albert         Sun, Sep 22, 2014       D37-33-05 
 JA117S33763883692  Accord       2014  22307  23480  Pearson, Albert         Fri, Sep 20, 2014       D37-33-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD137FU1744383B23  CR-Z        2004  18993  25705  Hudson, Roger           Mon, Sep 23, 2014       D37-33-02 
 JH152SU1213983B25  Odyssey     2001  15187  30375  Crawford, Katrina       Thu, Sep 19, 2014       D37-33-04 
 JA111S13431P19487  Accord      2003  15087  22480  Pearson, Albert         Fri, Sep 20, 2014       D37-33-05 
 JC134F3113X55X8C9  CR-V        2003  21348  31995  Hudson, Roger           Sun, Sep 22, 2014       D37-33-02 
 JE145F41723919491  Crosstour   2002  29056  46640  Gonzales, Maureen       Mon, Sep 23, 2014       D37-33-03 
 JB121S1226X45X8X3  Civic        2014  15909  16455  Craig, Terri            Thu, Sep 19, 2014       D37-33-06 
 JD136F11542761915  CR-Z        2004  18628  24705  Castro, Jenny           Tue, Sep 17, 2014       D37-33-01 
 JG148F118215X8387  Insight     2002  14769  24390  Hudson, Roger           Thu, Sep 19, 2014       D37-33-02 
 JE143FU133143B6B9  Crosstour   2003  26297  40640  Hudson, Roger           Mon, Sep 23, 2014       D37-33-02 
 JC131F11A3X12A5B1  CR-V        2003  20124  30995  Craig, Terri            Fri, Sep 20, 2014       D37-33-06 
 JH153FU1553861923  Odyssey     2005  37847  45825  Crawford, Katrina       Sat, Sep 21, 2014       D37-33-04 
 JG148F1142X44C7X5  Insight     2002  15261  24390  Pearson, Albert         Tue, Sep 17, 2014       D37-33-05 
 JB123H1562X43B6C7  Civic       2002  17251  27600  Castro, Jenny           Wed, Sep 18, 2014       D37-33-01 
 JH154SU154514C7X9  Odyssey     2004  23333  32375  Gonzales, Maureen       Wed, Sep 18, 2014       D37-33-03 
 JE143FU165243B6X1  Crosstour   2005  33232  40640  Craig, Terri            Tue, Sep 17, 2014       D37-33-06 
 JH155FU113292A5C3  Odyssey     2003  31764  47825  Castro, Jenny           Wed, Sep 18, 2014       D37-33-01 
 JA115SU394455X825  Accord      2004  19197  25480  Pearson, Albert         Tue, Sep 17, 2014       D37-33-05 
