Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Tue, Sep 24, 2014 thru Mon, Sep 30, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU19639X7A84  Odyssey      2014  45314  47825  Hall, Willie            Fri, Sep 27, 2014       D15-14-08 
 JA1X4FU256396X316  Accord       2014  33358  34030  Gonzales, Natalie       Wed, Sep 25, 2014       D15-14-04 
 JC133FU18639X7A88  CR-V         2014  32626  33995  Ramos, Maxine           Thu, Sep 26, 2014       D15-14-05 
 JB121S1266395C21X  Civic        2014  16574  16455  Gardner, Joan           Thu, Sep 26, 2014       D15-14-09 
 JH155FU106396X322  Odyssey      2014  45557  47825  Hall, Willie            Sun, Sep 29, 2014       D15-14-08 
 JC131F11863971434  CR-V         2014  28227  30995  Ramos, Maxine           Thu, Sep 26, 2014       D15-14-05 
 JD136F11663971436  CR-Z         2014  24580  24705  Bowman, Joan            Sat, Sep 28, 2014       D15-14-03 
 JJ162FU106395C218  Pilot        2014  44264  44970  Gardner, Joan           Sat, Sep 28, 2014       D15-14-09 
 JB121S1296395C22X  Civic        2014  16574  16455  Elliott, Jacqueline     Sun, Sep 29, 2014       D15-14-01 
 JH153FU1763918BB2  Odyssey      2014  41818  45825  Gardner, Joan           Wed, Sep 25, 2014       D15-14-09 
 JJ161FU126395C224  Pilot        2014  39263  42970  Elliott, Jacqueline     Sat, Sep 28, 2014       D15-14-01 
 JA111S13263929CC6  Accord       2014  21392  22480  Gonzales, Natalie       Sat, Sep 28, 2014       D15-14-04 
 JB127S1336393AXX8  Civic        2014  16589  16655  Hall, Willie            Wed, Sep 25, 2014       D15-14-08 
 JD136F1106396X47X  CR-Z         2014  24580  24705  Elliott, Jacqueline     Sun, Sep 29, 2014       D15-14-01 
 JC131F1176395C362  CR-V         2014  28546  30995  Gardner, Joan           Sat, Sep 28, 2014       D15-14-09 
 JB129S14263929X34  Civic        2014  21080  23055  Woods, Tommy            Fri, Sep 27, 2014       D15-14-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU145X55CB87  Odyssey     2005  38492  47825  Woods, Tommy            Sat, Sep 28, 2014       D15-14-02 
 JC134F3166X65CB89  CR-V         2014  29973  31995  Bowman, Joan            Fri, Sep 27, 2014       D15-14-03 
 JH153FU1922629861  Odyssey     2002  28551  45825  Murphy, Kelly           Sat, Sep 28, 2014       D15-14-07 
 JE141F11733P4BA83  Crosstour   2003  24377  37640  Murphy, Kelly           Mon, Sep 30, 2014       D15-14-07 
 JE141F1183474BA85  Crosstour   2003  25063  37640  Hall, Willie            Mon, Sep 30, 2014       D15-14-08 
 JH156S3182114BA87  Odyssey     2002  18972  30375  Murphy, Kelly           Tue, Sep 24, 2014       D15-14-07 
 JB127S1312416XCA9  Civic       2002  10465  16655  Ramos, Maxine           Thu, Sep 26, 2014       D15-14-05 
 JA1X1S1203X229871  Accord      2003  16146  24089  Ramos, Maxine           Thu, Sep 26, 2014       D15-14-05 
 JH157F3134373A983  Odyssey     2004  34131  45825  Elliott, Jacqueline     Mon, Sep 30, 2014       D15-14-01 
 JH15AS11344429875  Odyssey     2004  21636  29375  Murphy, Kelly           Mon, Sep 30, 2014       D15-14-07 
 JH154SU1222371XC7  Odyssey     2002  19560  32375  Ramos, Maxine           Thu, Sep 26, 2014       D15-14-05 
 JC131F1152196XCB9  CR-V        2002  19356  30995  Murphy, Kelly           Thu, Sep 26, 2014       D15-14-07 
 JH156S31A1226XCC1  Odyssey     2001  14428  30375  Gonzales, Natalie       Fri, Sep 27, 2014       D15-14-04 
 JB127S13033782113  Civic       2003  10947  16655  Gardner, Joan           Sun, Sep 29, 2014       D15-14-09 
 JE144F31424P18775  Crosstour   2002  23319  38640  Ramos, Maxine           Mon, Sep 30, 2014       D15-14-05 
