Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Tue, Nov 12, 2014 thru Mon, Nov 18, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12A6463A7X2  Civic        2014  16487  16455  Dixon, Patsy            Sat, Nov 16, 2014       D04-04-07 
 JD136F1146465C924  CR-Z         2014  24452  24705  Lucas, Carl             Tue, Nov 12, 2014       D04-04-01 
 JB122SU26646185B6  Civic        2014  16339  17255  Pena, Elaine            Wed, Nov 13, 2014       D04-04-05 
 JB127S1316463A7X8  Civic        2014  15975  16655  Campbell, Jeanne        Wed, Nov 13, 2014       D04-04-02 
 JD136F111646X751X  CR-Z         2014  23556  24705  Pena, Elaine            Tue, Nov 12, 2014       D04-04-05 
 JA111S13864671C82  Accord       2014  22561  22480  Dixon, Patsy            Thu, Nov 14, 2014       D04-04-07 
 JC132FU1564629734  CR-V         2014  31250  31995  Dixon, Patsy            Fri, Nov 15, 2014       D04-04-07 
 JH157F3116466XB76  Odyssey      2014  43220  45825  Russell, Jerry          Mon, Nov 18, 2014       D04-04-03 
 JB121S12864682X98  Civic        2014  16053  16455  Dixon, Patsy            Tue, Nov 12, 2014       D04-04-07 
 JC132FU196465CA7X  CR-V         2014  31414  31995  Dixon, Patsy            Wed, Nov 13, 2014       D04-04-07 
 JH155FU186464B962  Odyssey      2014  45801  47825  Dixon, Patsy            Wed, Nov 13, 2014       D04-04-07 
 JA111S13764682XA4  Accord       2014  21977  22480  Dixon, Patsy            Sat, Nov 16, 2014       D04-04-07 
 JC133FU106463A856  CR-V         2014  32277  33995  Pena, Elaine            Mon, Nov 18, 2014       D04-04-05 
 JA1X1S1256463A858  Accord       2014  22615  24089  Richards, Angela        Thu, Nov 14, 2014       D04-04-06 
 JB121S12A646X753X  Civic        2014  16660  16455  Wilson, Chad            Fri, Nov 15, 2014       D04-04-08 
 JJ162FU136466XB92  Pilot        2014  44264  44970  Pena, Elaine            Fri, Nov 15, 2014       D04-04-05 
 JC132FU1464618644  CR-V         2014  30427  31995  Dixon, Patsy            Thu, Nov 14, 2014       D04-04-07 
 JA1X2F12364629756  Accord       2014  30028  33030  Richards, Angela        Mon, Nov 18, 2014       D04-04-06 
 JD137FU186466XB98  CR-Z         2014  24210  25705  Miller, Julian          Fri, Nov 15, 2014       D04-04-04 
 JD136F11A64671CBX  CR-Z         2014  23044  24705  Russell, Jerry          Sat, Nov 16, 2014       D04-04-03 
 JA111S1316465CA92  Accord       2014  22561  22480  Lucas, Carl             Tue, Nov 12, 2014       D04-04-01 
 JB127S13664618654  Civic        2014  16677  16655  Richards, Angela        Sun, Nov 17, 2014       D04-04-06 
 JA118F33664682XC6  Accord       2014  33785  33930  Lucas, Carl             Fri, Nov 15, 2014       D04-04-01 
 JB121S12264618658  Civic        2014  16574  16455  Pena, Elaine            Sat, Nov 16, 2014       D04-04-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13A33518543  Civic       2003  11255  16655  Richards, Angela        Wed, Nov 13, 2014       D04-04-06 
 JB121S12831518545  Civic       2003  11123  16455  Pena, Elaine            Sat, Nov 16, 2014       D04-04-05 
 JH15AS1192483A767  Odyssey     2002  18352  29375  Dixon, Patsy            Mon, Nov 18, 2014       D04-04-07 
 JD136F11353518549  CR-Z        2005  20740  24705  Pena, Elaine            Sun, Nov 17, 2014       D04-04-05 
 JG148F11733871BB1  Insight     2003  16344  24390  Pena, Elaine            Thu, Nov 14, 2014       D04-04-05 
 JH153FU191116XAA3  Odyssey     2001  22912  45825  Campbell, Jeanne        Wed, Nov 13, 2014       D04-04-02 
 JB127S1376X75C995  Civic        2014  16090  16655  Richards, Angela        Tue, Nov 12, 2014       D04-04-06 
 JE143FU191274B887  Crosstour   2001  20320  40640  Dixon, Patsy            Tue, Nov 12, 2014       D04-04-07 
 JJ16AF1163X871BB9  Pilot       2003  26385  41970  Russell, Jerry          Tue, Nov 12, 2014       D04-04-03 
 JG148F11912382CX1  Insight     2001  12195  24390  Richards, Angela        Sun, Nov 17, 2014       D04-04-06 
 JC131F11151P5C9A3  CR-V        2005  25516  30995  Richards, Angela        Sat, Nov 16, 2014       D04-04-06 
 JB129S142551X7455  Civic       2005  19164  23055  Dixon, Patsy            Wed, Nov 13, 2014       D04-04-07 
 JB121S12931929677  Civic       2003  11123  16455  Lucas, Carl             Mon, Nov 18, 2014       D04-04-01 
 JH155FU1055129679  Odyssey     2005  39467  47825  Russell, Jerry          Fri, Nov 15, 2014       D04-04-03 
 JB127S13354971BX1  Civic       2005  14219  16655  Pena, Elaine            Tue, Nov 12, 2014       D04-04-05 
 JH151F1102123A793  Odyssey     2002  27931  44825  Wilson, Chad            Tue, Nov 12, 2014       D04-04-08 
 JD136F1112X23A795  CR-Z        2002  14958  24705  Russell, Jerry          Thu, Nov 14, 2014       D04-04-03 
 JD139F31A21671BX7  CR-Z        2002  15558  25705  Dixon, Patsy            Sun, Nov 17, 2014       D04-04-07 
 JJ164F4162433A799  Pilot       2002  33600  53970  Pena, Elaine            Mon, Nov 18, 2014       D04-04-05 
