Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Tue, Nov 12, 2014 thru Mon, Nov 18, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11264618984  Insight      2014  24151  24390  Lambert, Donna          Thu, Nov 14, 2014       D11-10-04 
 JB121S12864618986  Civic        2014  15879  16455  Day, Jennifer           Sun, Nov 17, 2014       D11-10-06 
 JA111S1346463ABA8  Accord       2014  21743  22480  Lambert, Donna          Fri, Nov 15, 2014       D11-10-04 
 JB123H155646X788X  Civic        2014  25222  27600  Fields, Joan            Wed, Nov 13, 2014       D11-10-03 
 JA114FU3964618992  Accord       2014  32391  33930  Burke, Derrick          Thu, Nov 14, 2014       D11-10-01 
 JB127S13064682334  Civic        2014  16062  16655  Fields, Joan            Tue, Nov 12, 2014       D11-10-03 
 JB126GU6764682336  Civic        2014  27939  29305  Bishop, Joann           Thu, Nov 14, 2014       D11-10-05 
 JA111S13164629AA8  Accord       2014  21275  22480  Bishop, Joann           Fri, Nov 15, 2014       D11-10-05 
 JA118F3306465CX1X  Accord       2014  33088  33930  Day, Jennifer           Sat, Nov 16, 2014       D11-10-06 
 JB127S1396466X122  Civic        2014  15799  16655  Fields, Joan            Thu, Nov 14, 2014       D11-10-03 
 JA111S13764629AB4  Accord       2014  21392  22480  Burke, Derrick          Wed, Nov 13, 2014       D11-10-01 
 JB127S1396463ABC6  Civic        2014  15975  16655  Burke, Derrick          Fri, Nov 15, 2014       D11-10-01 
 JB127S133646189A8  Civic        2014  15711  16655  Bishop, Joann           Mon, Nov 18, 2014       D11-10-05 
 JH153FU1A646189BX  Odyssey      2014  42987  45825  Burke, Derrick          Sun, Nov 17, 2014       D11-10-01 
 JB129S141646189B2  Civic        2014  22517  23055  Bishop, Joann           Mon, Nov 18, 2014       D11-10-05 
 JB124HU58646189B4  Civic        2014  27688  28400  Day, Jennifer           Fri, Nov 15, 2014       D11-10-06 
 JA111S131646X78A6  Accord       2014  21275  22480  Burke, Derrick          Sat, Nov 16, 2014       D11-10-01 
 JJ163F31064671248  Pilot        2014  42553  42970  Lambert, Donna          Sun, Nov 17, 2014       D11-10-04 
 JG148F1136468249X  Insight      2014  23772  24390  Day, Jennifer           Fri, Nov 15, 2014       D11-10-06 
 JB121S1256466X272  Civic        2014  16226  16455  Bishop, Joann           Tue, Nov 12, 2014       D11-10-05 
 JD136F1186463AC44  CR-Z         2014  24708  24705  Mason, Felicia          Tue, Nov 12, 2014       D11-10-02 
 JB121S1226466X276  Civic        2014  16487  16455  Burke, Derrick          Mon, Nov 18, 2014       D11-10-01 
 JB127S13864682498  Civic        2014  16940  16655  Lambert, Donna          Wed, Nov 13, 2014       D11-10-04 
 JJ162FU196464BX6X  Pilot        2014  42888  44970  Bishop, Joann           Mon, Nov 18, 2014       D11-10-05 
 JE141F11864618A32  Crosstour    2014  34878  37640  Lambert, Donna          Sat, Nov 16, 2014       D11-10-04 
 JA111S13A6465C174  Accord       2014  21509  22480  Fields, Joan            Sun, Nov 17, 2014       D11-10-03 
 JB122SU29646X7926  Civic        2014  16793  17255  Fields, Joan            Mon, Nov 18, 2014       D11-10-03 
 JE143FU116465C178  Crosstour    2014  38839  40640  Burke, Derrick          Mon, Nov 18, 2014       D11-10-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F1183476XB79  Insight     2003  15897  24390  Fields, Joan            Tue, Nov 12, 2014       D11-10-03 
 JH154SU1144129741  Odyssey     2004  23796  32375  Burke, Derrick          Mon, Nov 18, 2014       D11-10-01 
 JH155FU1A3183A853  Odyssey     2003  30027  47825  Bishop, Joann           Sun, Nov 17, 2014       D11-10-05 
 JG148F11945P3A855  Insight     2004  18397  24390  Day, Jennifer           Fri, Nov 15, 2014       D11-10-06 
 JD137FU1722818637  CR-Z        2002  15558  25705  Fields, Joan            Wed, Nov 13, 2014       D11-10-03 
 JH156S3154X26XB89  Odyssey     2004  27789  30375  Fields, Joan            Mon, Nov 18, 2014       D11-10-03 
 JK166FU162476XB91  Ridgeline   2002  28785  47750  Bishop, Joann           Tue, Nov 12, 2014       D11-10-05 
 JH152SU196284B973  Odyssey      2014  28507  30375  Bishop, Joann           Tue, Nov 12, 2014       D11-10-05 
 JH155FU17315X7535  Odyssey     2003  30896  47825  Burke, Derrick          Sun, Nov 17, 2014       D11-10-01 
 JH153FU101X44B977  Odyssey     2001  22912  45825  Lambert, Donna          Sun, Nov 17, 2014       D11-10-04 
 JJ162FU16342X7539  Pilot       2003  29068  44970  Mason, Felicia          Fri, Nov 15, 2014       D11-10-02 
 JC133FU172326XBA1  CR-V        2002  20532  33995  Day, Jennifer           Thu, Nov 14, 2014       D11-10-06 
 JB127S1341375CA93  Civic       2001  8327   16655  Burke, Derrick          Wed, Nov 13, 2014       D11-10-01 
 JH153FU1431182XC5  Odyssey     2003  29616  45825  Fields, Joan            Thu, Nov 14, 2014       D11-10-03 
 JJ161FU1434471CB7  Pilot       2003  28570  42970  Day, Jennifer           Sat, Nov 16, 2014       D11-10-06 
 JA119S4343X529769  Accord      2003  21009  31480  Lambert, Donna          Fri, Nov 15, 2014       D11-10-04 
 JG148F1154124B991  Insight     2004  18397  24390  Burke, Derrick          Tue, Nov 12, 2014       D11-10-01 
 JD138FU1134529773  CR-Z        2003  18019  27705  Bishop, Joann           Tue, Nov 12, 2014       D11-10-05 
 JH153FU133X1X7555  Odyssey     2003  29616  45825  Burke, Derrick          Wed, Nov 13, 2014       D11-10-01 
