Dealer Name: Shelly Walker Honda
Address:     8797 Dixon Drive
             New Whales, SC
Dealer ID:   20
Owner:       Walker, Sally
Date:        Tue, Nov 19, 2014 thru Mon, Nov 25, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F1186474B3C4  Odyssey      2014  43896  44825  Clark, Veronica         Sun, Nov 24, 2014       D20-01-02 
 JB127S1346476X516  Civic        2014  16062  16655  Smith, Teresa           Thu, Nov 21, 2014       D20-01-04 
 JG148F11164718X98  Insight      2014  23646  24390  Simpson, Suzanne        Sat, Nov 23, 2014       D20-01-03 
 JH154SU14647X7C9X  Odyssey      2014  30280  32375  Simpson, Suzanne        Sun, Nov 24, 2014       D20-01-03 
 JB127S13A6475C412  Civic        2014  16238  16655  James, Alma             Fri, Nov 22, 2014       D20-01-07 
 JA1X1S12064718XA4  Accord       2014  22615  24089  Foster, Leah            Thu, Nov 21, 2014       D20-01-05 
 JA113SU376475C416  Accord       2014  22063  23480  James, Alma             Tue, Nov 19, 2014       D20-01-07 
 JA111S130647291B8  Accord       2014  22444  22480  Lawson, Tyler           Wed, Nov 20, 2014       D20-01-08 
 JJ161FU136474B31X  Pilot        2014  41457  42970  Smith, Teresa           Tue, Nov 19, 2014       D20-01-04 
 JA118F33164718XB2  Accord       2014  31172  33930  Lawson, Tyler           Sat, Nov 23, 2014       D20-01-08 
 JB126GU6064718XB4  Civic        2014  26731  29305  Foster, Leah            Fri, Nov 22, 2014       D20-01-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU19345X77A5  CR-V        2003  21348  31995  Kelley, Edna            Sun, Nov 24, 2014       D20-01-06 
 JE141F1116315CC27  Crosstour    2014  35082  37640  Simpson, Suzanne        Fri, Nov 22, 2014       D20-01-03 
 JG148F1171X571149  Insight     2001  12804  24390  Kelley, Edna            Mon, Nov 25, 2014       D20-01-06 
 JB127S1364X66X171  Civic       2004  12720  16655  James, Alma             Wed, Nov 20, 2014       D20-01-07 
 JH153FU11315X7813  Odyssey     2003  41647  45825  Hoffman, Marilyn        Tue, Nov 19, 2014       D20-01-01 
 JK167FU141244BC55  Ridgeline   2001  26118  49750  James, Alma             Wed, Nov 20, 2014       D20-01-07 
 JH152SU1651429A37  Odyssey     2005  25020  30375  Hoffman, Marilyn        Fri, Nov 22, 2014       D20-01-01 
 JG148F11122P6X179  Insight     2002  15261  24390  Smith, Teresa           Fri, Nov 22, 2014       D20-01-04 
 JA115SU3543P3AB51  Accord      2004  19197  25480  Kelley, Edna            Mon, Nov 25, 2014       D20-01-06 
 JH155FU1214971293  Odyssey     2001  25108  47825  Lawson, Tyler           Tue, Nov 19, 2014       D20-01-08 
