Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Tue, Dec 10, 2014 thru Mon, Dec 16, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13565P82536  Civic        2014  15799  16655  Woods, Tommy            Fri, Dec 13, 2014       D15-14-02 
 JD138FU1465P29CA8  CR-Z         2014  26030  27705  Hall, Willie            Mon, Dec 16, 2014       D15-14-08 
 JB127S13365P7143X  Civic        2014  15623  16655  Elliott, Jacqueline     Sun, Dec 15, 2014       D15-14-01 
 JC132FU1165P18BA2  CR-V         2014  31579  31995  Gardner, Joan           Tue, Dec 10, 2014       D15-14-09 
 JB121S12365P18BA4  Civic        2014  16226  16455  Hall, Willie            Fri, Dec 13, 2014       D15-14-08 
 JA1X3SU2665P18BA6  Accord       2014  24429  25089  Murphy, Kelly           Thu, Dec 12, 2014       D15-14-07 
 JC134F31865P18BA8  CR-V         2014  29441  31995  Murphy, Kelly           Mon, Dec 16, 2014       D15-14-07 
 JC133FU1865P3AXXX  CR-V         2014  33848  33995  Elliott, Jacqueline     Wed, Dec 11, 2014       D15-14-01 
 JH155FU1A65P71442  Odyssey      2014  43365  47825  Ramos, Maxine           Mon, Dec 16, 2014       D15-14-05 
 JC133FU1865P29CC4  CR-V         2014  33150  33995  Bowman, Joan            Tue, Dec 10, 2014       D15-14-03 
 JC135F41265P18BB6  CR-V         2014  38032  39995  Hall, Willie            Fri, Dec 13, 2014       D15-14-08 
 JB127S13665PX7AA8  Civic        2014  15448  16655  Woods, Tommy            Sat, Dec 14, 2014       D15-14-02 
 JB121S12A65P7158X  Civic        2014  16140  16455  Shelton, Monica         Tue, Dec 10, 2014       D15-14-06 
 JC134F31065P29X32  CR-V         2014  29112  31995  Elliott, Jacqueline     Tue, Dec 10, 2014       D15-14-01 
 JH153FU1065P71584  Odyssey      2014  44388  45825  Hall, Willie            Mon, Dec 16, 2014       D15-14-08 
 JH151F11965PX7B16  Odyssey      2014  42295  44825  Shelton, Monica         Thu, Dec 12, 2014       D15-14-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU133296XC99  Odyssey     2003  29616  45825  Bowman, Joan            Fri, Dec 13, 2014       D15-14-03 
 JG148F11AYX618751  Insight     2000  10390  24390  Murphy, Kelly           Wed, Dec 11, 2014       D15-14-07 
 JD137FU193X75CB93  CR-Z        2003  17209  25705  Shelton, Monica         Sat, Dec 14, 2014       D15-14-06 
 JB127S1371184BA85  Civic       2001  8743   16655  Hall, Willie            Sat, Dec 14, 2014       D15-14-08 
 JH153FU10Y4P6XCA7  Odyssey     2000  16872  45825  Elliott, Jacqueline     Sun, Dec 15, 2014       D15-14-01 
 JH153FU12642821C9  Odyssey      2014  42489  45825  Woods, Tommy            Tue, Dec 10, 2014       D15-14-02 
 JH153FU103194BA91  Odyssey     2003  28783  45825  Ramos, Maxine           Wed, Dec 11, 2014       D15-14-05 
 JH159F4113X23A983  Odyssey     2003  37686  56825  Shelton, Monica         Mon, Dec 16, 2014       D15-14-06 
 JD136F11222P71XC5  CR-Z        2002  14958  24705  Shelton, Monica         Sat, Dec 14, 2014       D15-14-06 
 JH155FU17151X7657  Odyssey     2001  25108  47825  Bowman, Joan            Thu, Dec 12, 2014       D15-14-03 
 JH153FU1833671XC9  Odyssey     2003  29616  45825  Gonzales, Natalie       Sun, Dec 15, 2014       D15-14-04 
 JH155FU103X56XCC1  Odyssey     2003  30896  47825  Gonzales, Natalie       Thu, Dec 12, 2014       D15-14-04 
 JC131F1181476XCC3  CR-V        2001  15497  30995  Gonzales, Natalie       Fri, Dec 13, 2014       D15-14-04 
 JG148F11344929885  Insight     2004  18046  24390  Gardner, Joan           Fri, Dec 13, 2014       D15-14-09 
 JD136F1102144BAA7  CR-Z        2002  15456  24705  Murphy, Kelly           Thu, Dec 12, 2014       D15-14-07 
