Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Tue, Dec 10, 2014 thru Mon, Dec 16, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12865P2A836  Civic        2014  16574  16455  Gregory, Brad           Fri, Dec 13, 2014       D28-20-05 
 JH154SU1265P72X88  Odyssey      2014  29781  32375  Simpson, Charlene       Sat, Dec 14, 2014       D28-20-01 
 JA1X2F12165P831AX  Accord       2014  30706  33030  Gregory, Brad           Wed, Dec 11, 2014       D28-20-05 
 JC131F11065P61C82  CR-V         2014  30938  30995  Sullivan, Jorge         Thu, Dec 12, 2014       D28-20-02 
 JG148F11A65P19734  Insight      2014  24151  24390  Sullivan, Jorge         Sat, Dec 14, 2014       D28-20-02 
 JE141F11565P61C86  Crosstour    2014  35456  37640  Sullivan, Jorge         Fri, Dec 13, 2014       D28-20-02 
 JA113SU3565P5XB78  Accord       2014  21698  23480  Young, Bryan            Tue, Dec 10, 2014       D28-20-04 
 JA1X1S12865P3B96X  Accord       2014  23364  24089  Sullivan, Jorge         Tue, Dec 10, 2014       D28-20-02 
 JE143FU1765P831B2  Crosstour    2014  39047  40640  Sullivan, Jorge         Mon, Dec 16, 2014       D28-20-02 
 JH151F11165P831B4  Odyssey      2014  40466  44825  Young, Bryan            Tue, Dec 10, 2014       D28-20-04 
 JB127S13065P3B966  Civic        2014  16150  16655  Sullivan, Jorge         Tue, Dec 10, 2014       D28-20-02 
 JC131F11765P72XA8  CR-V         2014  29662  30995  Stephens, Christy       Thu, Dec 12, 2014       D28-20-06 
 JH155FU1165P61CAX  Odyssey      2014  43121  47825  Gregory, Brad           Sat, Dec 14, 2014       D28-20-05 
 JB127S13465P19752  Civic        2014  16238  16655  Young, Bryan            Sat, Dec 14, 2014       D28-20-04 
 JD139F31965P19754  CR-Z         2014  23545  25705  Sullivan, Jorge         Sat, Dec 14, 2014       D28-20-02 
 JB121S12665P2A866  Civic        2014  16660  16455  White, Ana              Tue, Dec 10, 2014       D28-20-03 
 JH152SU1165P61CA8  Odyssey      2014  30180  30375  Sullivan, Jorge         Thu, Dec 12, 2014       D28-20-02 
 JG149FU1465P3B98X  Insight      2014  23220  25190  White, Ana              Fri, Dec 13, 2014       D28-20-03 
 JA1X5SU2465P3B982  Accord       2014  25469  27089  White, Ana              Thu, Dec 12, 2014       D28-20-03 
 JB121S12A65P19764  Civic        2014  15272  16455  Stephens, Christy       Tue, Dec 10, 2014       D28-20-06 
 JC133FU1165P72XC6  CR-V         2014  32801  33995  Sullivan, Jorge         Sat, Dec 14, 2014       D28-20-02 
 JB127S13A65P831X8  Civic        2014  15623  16655  Young, Bryan            Tue, Dec 10, 2014       D28-20-04 
 JB127S13A65P4CAAX  Civic        2014  16413  16655  Sullivan, Jorge         Sat, Dec 14, 2014       D28-20-02 
 JG149FU1765P4CAA2  Insight      2014  25046  25190  Gregory, Brad           Tue, Dec 10, 2014       D28-20-05 
 JH153FU1165P83114  Odyssey      2014  44388  45825  Gregory, Brad           Sun, Dec 15, 2014       D28-20-05 
 JB127S13A65P83116  Civic        2014  16062  16655  White, Ana              Mon, Dec 16, 2014       D28-20-03 
 JB121S12565P2A888  Civic        2014  15966  16455  Young, Bryan            Tue, Dec 10, 2014       D28-20-04 
 JC131F11365P1978X  CR-V         2014  29662  30995  Gregory, Brad           Thu, Dec 12, 2014       D28-20-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH156S3153X54B187  Odyssey     2003  20282  30375  Stephens, Christy       Thu, Dec 12, 2014       D28-20-06 
 JA111S13834129C69  Accord      2003  15087  22480  Stephens, Christy       Tue, Dec 10, 2014       D28-20-06 
 JB127S1325164B191  Civic       2005  14219  16655  Young, Bryan            Sat, Dec 14, 2014       D28-20-04 
 JG148F1183195C2A3  Insight     2003  16344  24390  Gregory, Brad           Fri, Dec 13, 2014       D28-20-05 
 JH152SU123295C2A5  Odyssey     2003  20282  30375  Young, Bryan            Fri, Dec 13, 2014       D28-20-04 
 JD139F31133818B67  CR-Z        2003  17209  25705  Stephens, Christy       Mon, Dec 16, 2014       D28-20-06 
 JE145F41832218B69  Crosstour   2003  30985  46640  Stephens, Christy       Sat, Dec 14, 2014       D28-20-06 
 JJ16AF110Y28X7A61  Pilot       2000  16698  41970  Young, Bryan            Thu, Dec 12, 2014       D28-20-04 
 JB129S1415383AX93  Civic       2005  19403  23055  Young, Bryan            Wed, Dec 11, 2014       D28-20-04 
 JH152SU1222618B75  Odyssey     2002  18360  30375  Young, Bryan            Mon, Dec 16, 2014       D28-20-04 
 JE143FU1322629C87  Crosstour   2002  24519  40640  Stephens, Christy       Thu, Dec 12, 2014       D28-20-06 
 JH155FU136X729C89  Odyssey      2014  43810  47825  Young, Bryan            Fri, Dec 13, 2014       D28-20-04 
 JC131F1134174B1B1  CR-V        2004  23245  30995  White, Ana              Thu, Dec 12, 2014       D28-20-03 
 JB123H1522456X3X3  Civic       2002  17251  27600  Sullivan, Jorge         Fri, Dec 13, 2014       D28-20-02 
 JH151F11334182525  Odyssey     2003  28161  44825  Simpson, Charlene       Wed, Dec 11, 2014       D28-20-01 
 JJ162FU1934629C97  Pilot       2003  29068  44970  Stephens, Christy       Thu, Dec 12, 2014       D28-20-06 
 JH153FU163246X3X9  Odyssey     2003  30448  45825  Simpson, Charlene       Wed, Dec 11, 2014       D28-20-01 
 JB123H15332682531  Civic       2003  18456  27600  Sullivan, Jorge         Mon, Dec 16, 2014       D28-20-02 
 JB127S1302214B1C3  Civic       2002  10465  16655  Stephens, Christy       Sun, Dec 15, 2014       D28-20-06 
 JB129S14333982535  Civic       2003  15466  23055  Young, Bryan            Wed, Dec 11, 2014       D28-20-04 
 JC131F11A3X818B97  CR-V        2003  20690  30995  Sullivan, Jorge         Mon, Dec 16, 2014       D28-20-02 
 JJ16AF1133225C2X9  Pilot       2003  27912  41970  White, Ana              Sun, Dec 15, 2014       D28-20-03 
 JC131F11051671431  CR-V        2005  25834  30995  Stephens, Christy       Tue, Dec 10, 2014       D28-20-06 
 JC132FU1132471433  CR-V        2003  20764  31995  Young, Bryan            Fri, Dec 13, 2014       D28-20-04 
 JA111S13141529CB5  Accord      2004  16995  22480  White, Ana              Thu, Dec 12, 2014       D28-20-03 
 JH155FU17Y126X327  Odyssey     2000  20468  47825  Young, Bryan            Mon, Dec 16, 2014       D28-20-04 
 JE141F11631518BA9  Crosstour   2003  24377  37640  Simpson, Charlene       Tue, Dec 10, 2014       D28-20-01 
