Dealer Name: Glenn Honda
Address:     2717 US Route 31
             West Junction, AL
Dealer ID:   9
Owner:       Glenn, Adam
Date:        Tue, Dec 17, 2014 thru Mon, Dec 23, 2014  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S1206515CCB6  Accord       2014  22739  24089  Armstrong, Daryl        Sat, Dec 21, 2014       D09-09-03 
 JC132FU1A6515CCB8  CR-V         2014  31250  31995  Armstrong, Daryl        Fri, Dec 20, 2014       D09-09-03 
 JA111S1366516XXXX  Accord       2014  21860  22480  Armstrong, Daryl        Sat, Dec 21, 2014       D09-09-03 
 JG148F1176516XXX2  Insight      2014  22634  24390  Spencer, Javier         Fri, Dec 20, 2014       D09-09-05 
 JE142FU1165129994  Crosstour    2014  35783  38640  Hicks, Yvonne           Sun, Dec 22, 2014       D09-09-04 
 JA112F13A6515CCC6  Accord       2014  31123  32930  Hernandez, Randy        Sat, Dec 21, 2014       D09-09-01 
 JA1X1S12265182228  Accord       2014  23989  24089  Spencer, Javier         Tue, Dec 17, 2014       D09-09-05 
 JB121S12A6515CCXX  Civic        2014  16053  16455  Spencer, Javier         Mon, Dec 23, 2014       D09-09-05 
 JB122SU2A6515CCX2  Civic        2014  16067  17255  Spencer, Javier         Thu, Dec 19, 2014       D09-09-05 
 JH155FU1265118894  Odyssey      2014  46045  47825  Hicks, Yvonne           Thu, Dec 19, 2014       D09-09-04 
 JA111S13365182236  Accord       2014  21860  22480  Hicks, Yvonne           Sat, Dec 21, 2014       D09-09-04 
 JB127S139651X7788  Civic        2014  15623  16655  Hernandez, Randy        Mon, Dec 23, 2014       D09-09-01 
 JA111S1386518224X  Accord       2014  22327  22480  Hernandez, Randy        Thu, Dec 19, 2014       D09-09-01 
 JB127S13565171132  Civic        2014  15799  16655  Hicks, Yvonne           Mon, Dec 23, 2014       D09-09-04 
 JH151F11165171134  Odyssey      2014  41609  44825  Spencer, Javier         Sun, Dec 22, 2014       D09-09-05 
 JB121S12A6513AAC6  Civic        2014  16747  16455  Armstrong, Daryl        Sat, Dec 21, 2014       D09-09-03 
 JE142FU1A651X7798  Crosstour    2014  36772  38640  Spencer, Javier         Tue, Dec 17, 2014       D09-09-05 
 JC132FU116514BB1X  CR-V         2014  29112  31995  Hicks, Yvonne           Wed, Dec 18, 2014       D09-09-04 
 JA111S1316513AAX2  Accord       2014  22327  22480  Hernandez, Randy        Fri, Dec 20, 2014       D09-09-01 
 JH152SU1265171144  Odyssey      2014  29398  30375  Spencer, Javier         Sun, Dec 22, 2014       D09-09-05 
 JE141F11A651299C6  Crosstour    2014  35649  37640  Spencer, Javier         Tue, Dec 17, 2014       D09-09-05 
 JC132FU166513AAX8  CR-V         2014  29112  31995  Spencer, Javier         Mon, Dec 23, 2014       D09-09-05 
 JC133FU136513AB4X  CR-V         2014  31579  33995  Armstrong, Daryl        Sat, Dec 21, 2014       D09-09-03 
 JB127S1336515CX62  Civic        2014  16413  16655  Hicks, Yvonne           Sat, Dec 21, 2014       D09-09-04 
 JH153FU196513AB44  Odyssey      2014  43921  45825  Hart, Kim               Sun, Dec 22, 2014       D09-09-02 
 JB121S12965171286  Civic        2014  15272  16455  Armstrong, Daryl        Thu, Dec 19, 2014       D09-09-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
