Dealer Name: Quality Honda
Address:     1624 Tupelo Road
             Norbert, FL
Dealer ID:   16
Owner:       Simpson, Homer
Date:        Wed, Jan 22, 2015 thru Tue, Jan 28, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S1247X43A1C4  Accord       2015  23701  24089  Hunter, Yolanda         Wed, Jan 22, 2015       D16-15-02 
 JB121S1207X4X7B96  Civic        2015  16964  16455  Gonzales, Harold        Mon, Jan 27, 2015       D16-15-03 
 JA113SU357X4X7B98  Accord       2015  22390  23480  Horton, Jon             Mon, Jan 27, 2015       D16-15-09 
 JD136F1137X429XCX  CR-Z         2015  24538  24705  Rose, Ida               Tue, Jan 28, 2015       D16-15-08 
 JA112F1387X43A1X2  Accord       2015  29968  32930  Gonzales, Harold        Fri, Jan 24, 2015       D16-15-03 
 JB127S1337X46X434  Civic        2015  16090  16655  Murray, Gladys          Thu, Jan 23, 2015       D16-15-07 
 JB128SU3A7X44B216  Civic        2015  17186  17455  Rose, Ida               Thu, Jan 23, 2015       D16-15-08 
 JA117S3347X482658  Accord       2015  23005  23480  Daniels, Rhonda         Fri, Jan 24, 2015       D16-15-06 
 JA1X1S12A7X418X2X  Accord       2015  23953  24089  Murray, Gladys          Fri, Jan 24, 2015       D16-15-07 
 JA1X3SU227X46X572  Accord       2015  23199  25089  Crawford, Glen          Fri, Jan 24, 2015       D16-15-04 
 JB127S1327X471684  Civic        2015  15824  16655  Daniels, Rhonda         Mon, Jan 27, 2015       D16-15-06 
 JB127S1337X429136  Civic        2015  15646  16655  Hunter, Yolanda         Fri, Jan 24, 2015       D16-15-02 
 JB129S1497X43A248  Civic        2015  22487  23055  Gonzales, Harold        Thu, Jan 23, 2015       D16-15-03 
 JA1X1S1237X42914X  Accord       2015  23196  24089  Crawford, Glen          Sat, Jan 25, 2015       D16-15-04 
 JB127S1347X43A252  Civic        2015  16624  16655  Cooper, Joanne          Wed, Jan 22, 2015       D16-15-01 
 JD138FU137X44B364  CR-Z         2015  25370  27705  Murray, Gladys          Thu, Jan 23, 2015       D16-15-07 
 JB121S1287X471696  Civic        2015  15822  16455  Gonzales, Harold        Tue, Jan 28, 2015       D16-15-03 
 JE141F1177X45C478  Crosstour    2015  34888  37640  Hunter, Yolanda         Fri, Jan 24, 2015       D16-15-02 
 JB125G1647X4X7C3X  Civic        2015  28741  28505  Freeman, Vickie         Fri, Jan 24, 2015       D16-15-05 
 JB127S1337X44B372  Civic        2015  17068  16655  Daniels, Rhonda         Fri, Jan 24, 2015       D16-15-06 
