Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Wed, Mar 12, 2015 thru Tue, Mar 18, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG149FU147114B958  Insight      2015  23157  25190  Wilson, Chad            Sun, Mar 16, 2015       D04-04-08 
 JA115SU3A7113A85X  Accord       2015  23545  25480  Pena, Elaine            Sun, Mar 16, 2015       D04-04-05 
 JB121S12A71182XA2  Civic        2015  15997  16455  Dixon, Patsy            Sat, Mar 15, 2015       D04-04-07 
 JB129S1437116XB84  Civic        2015  23091  23055  Richards, Angela        Thu, Mar 13, 2015       D04-04-06 
 JE141F11471129746  Crosstour    2015  35276  37640  Lucas, Carl             Tue, Mar 18, 2015       D04-04-01 
 JB127S1347113A858  Civic        2015  16446  16655  Campbell, Jeanne        Thu, Mar 13, 2015       D04-04-02 
 JB127S1357115CA8X  Civic        2015  16979  16655  Russell, Jerry          Tue, Mar 18, 2015       D04-04-03 
 JC133FU10711X7532  CR-V         2015  32486  33995  Pena, Elaine            Wed, Mar 12, 2015       D04-04-05 
 JB125G1637115CA84  Civic        2015  28741  28505  Miller, Julian          Tue, Mar 18, 2015       D04-04-04 
 JB121S12071118646  Civic        2015  15909  16455  Pena, Elaine            Mon, Mar 17, 2015       D04-04-05 
 JB121S1267115CA88  Civic        2015  16613  16455  Pena, Elaine            Mon, Mar 17, 2015       D04-04-05 
 JA12AF4327114B98X  Accord       2015  39180  41930  Russell, Jerry          Tue, Mar 18, 2015       D04-04-03 
 JA111S1317116XBA2  Accord       2015  21598  22480  Russell, Jerry          Fri, Mar 14, 2015       D04-04-03 
 JH156S31671171CB4  Odyssey      2015  28822  30375  Russell, Jerry          Sun, Mar 16, 2015       D04-04-03 
 JB129S14771129766  Civic        2015  21762  23055  Dixon, Patsy            Mon, Mar 17, 2015       D04-04-07 
 JB121S12771118658  Civic        2015  15646  16455  Wilson, Chad            Sun, Mar 16, 2015       D04-04-08 
 JC131F1107111866X  CR-V         2015  28426  30995  Campbell, Jeanne        Mon, Mar 17, 2015       D04-04-02 
 JB127S1387114B992  Civic        2015  16446  16655  Dixon, Patsy            Sun, Mar 16, 2015       D04-04-07 
 JB129S14A71118664  Civic        2015  23212  23055  Lucas, Carl             Sun, Mar 16, 2015       D04-04-01 
 JB127S13371129776  Civic        2015  17246  16655  Campbell, Jeanne        Mon, Mar 17, 2015       D04-04-02 
 JH15AS1107114B998  Odyssey      2015  27907  29375  Campbell, Jeanne        Thu, Mar 13, 2015       D04-04-02 
 JA117S3347111867X  Accord       2015  22882  23480  Lucas, Carl             Tue, Mar 18, 2015       D04-04-01 
 JA1X3SU2071118672  Accord       2015  24247  25089  Pena, Elaine            Thu, Mar 13, 2015       D04-04-05 
 JE141F11571171CX4  Crosstour    2015  36632  37640  Richards, Angela        Sat, Mar 15, 2015       D04-04-06 
 JB121S12971118676  Civic        2015  16173  16455  Dixon, Patsy            Sun, Mar 16, 2015       D04-04-07 
 JB13ASU42711X7568  Civic        2015  24105  23855  Dixon, Patsy            Wed, Mar 12, 2015       D04-04-07 
 JB127S1347111868X  Civic        2015  15824  16655  Lucas, Carl             Mon, Mar 17, 2015       D04-04-01 
 JA111S13271118682  Accord       2015  21126  22480  Campbell, Jeanne        Sat, Mar 15, 2015       D04-04-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB128SU3542P71BA9  Civic       2004  11929  17455  Wilson, Chad            Thu, Mar 13, 2015       D04-04-08 
 JJ162FU194136XAA1  Pilot       2004  30034  44970  Campbell, Jeanne        Fri, Mar 14, 2015       D04-04-02 
 JB121S1246X15C993  Civic       2006  14239  16455  Richards, Angela        Mon, Mar 17, 2015       D04-04-06 
 JB127S13962918555  Civic       2006  14224  16655  Campbell, Jeanne        Fri, Mar 14, 2015       D04-04-02 
 JH153FU173316XAA7  Odyssey     2003  26839  45825  Russell, Jerry          Thu, Mar 13, 2015       D04-04-03 
 JA1X3SU2432518559  Accord      2003  15834  25089  Richards, Angela        Mon, Mar 17, 2015       D04-04-06 
 JH151F11343871BC1  Odyssey     2004  41177  44825  Richards, Angela        Sat, Mar 15, 2015       D04-04-06 
 JC132FU102184B893  CR-V        2002  16110  31995  Lucas, Carl             Tue, Mar 18, 2015       D04-04-01 
 JC135F4175X182CX5  CR-V        2005  30016  39995  Campbell, Jeanne        Wed, Mar 12, 2015       D04-04-02 
 JE145F4196323A787  Crosstour   2006  38689  46640  Russell, Jerry          Mon, Mar 17, 2015       D04-04-03 
 JH154SU117X34B899  Odyssey      2015  30521  32375  Campbell, Jeanne        Thu, Mar 13, 2015       D04-04-02 
 JC132FU1642429681  CR-V        2004  21496  31995  Pena, Elaine            Wed, Mar 12, 2015       D04-04-05 
 JG148F11543929683  Insight     2004  16041  24390  Campbell, Jeanne        Tue, Mar 18, 2015       D04-04-02 
 JB127S1397X971BX5  Civic        2015  16294  16655  Russell, Jerry          Wed, Mar 12, 2015       D04-04-03 
 JG148F11745182C17  Insight     2004  16041  24390  Wilson, Chad            Tue, Mar 18, 2015       D04-04-08 
 JD136F11941782C19  CR-Z        2004  16243  24705  Lucas, Carl             Sat, Mar 15, 2015       D04-04-01 
 JA111S13942682C21  Accord      2004  15235  22480  Campbell, Jeanne        Fri, Mar 14, 2015       D04-04-02 
 JH151F113423X7473  Odyssey     2004  29939  44825  Wilson, Chad            Sat, Mar 15, 2015       D04-04-08 
 JH153FU1632771B15  Odyssey     2003  28690  45825  Pena, Elaine            Sun, Mar 16, 2015       D04-04-05 
 JC131F1182X53A7A7  CR-V        2002  16390  30995  Lucas, Carl             Wed, Mar 12, 2015       D04-04-01 
 JG148F11243829699  Insight     2004  16492  24390  Dixon, Patsy            Thu, Mar 13, 2015       D04-04-07 
 JC132FU191365C9X1  CR-V        2001  13757  31995  Campbell, Jeanne        Tue, Mar 18, 2015       D04-04-02 
 JB127S1363435C9X3  Civic       2003  10263  16655  Miller, Julian          Thu, Mar 13, 2015       D04-04-04 
 JC135F4136285C9X5  CR-V        2006  32896  39995  Richards, Angela        Sun, Mar 16, 2015       D04-04-06 
 JH159F41145218597  Odyssey     2004  37835  56825  Campbell, Jeanne        Fri, Mar 14, 2015       D04-04-02 
 JJ161FU195346XA19  Pilot       2005  31586  42970  Dixon, Patsy            Fri, Mar 14, 2015       D04-04-07 
 JH151F1135313A7C1  Odyssey     2005  33562  44825  Campbell, Jeanne        Sat, Mar 15, 2015       D04-04-02 
 JC134F31A43P6XA23  CR-V        2004  21496  31995  Dixon, Patsy            Fri, Mar 14, 2015       D04-04-07 
 JC132FU122253A7C5  CR-V        2002  16915  31995  Lucas, Carl             Sat, Mar 15, 2015       D04-04-01 
 JH153FU1414P296B7  Odyssey     2001  18330  45825  Campbell, Jeanne        Wed, Mar 12, 2015       D04-04-02 
