Dealer Name: Royal Honda
Address:     8627 Davis Highway
             Port Kiln, SC
Dealer ID:   13
Owner:       Olson, Julie
Date:        Wed, Mar 12, 2015 thru Tue, Mar 18, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ16AF1107115C2A6  Pilot        2015  41155  41970  Austin, Marcus          Thu, Mar 13, 2015       D13-12-02 
 JH153FU157114B198  Odyssey      2015  43898  45825  Austin, Marcus          Fri, Mar 14, 2015       D13-12-02 
 JH152SU16711714XX  Odyssey      2015  28192  30375  Romero, Ruby            Thu, Mar 13, 2015       D13-12-04 
 JA1X4FU2071118B72  Accord       2015  34100  34030  Watkins, Terrence       Thu, Mar 13, 2015       D13-12-01 
 JA111S13571129C84  Accord       2015  21834  22480  Romero, Ruby            Fri, Mar 14, 2015       D13-12-04 
 JA113SU307116X3C6  Accord       2015  22513  23480  Watkins, Terrence       Mon, Mar 17, 2015       D13-12-01 
 JB127S1347116X3C8  Civic        2015  16268  16655  Austin, Marcus          Wed, Mar 12, 2015       D13-12-02 
 JA111S139711X7A7X  Accord       2015  22542  22480  Watkins, Terrence       Fri, Mar 14, 2015       D13-12-01 
 JC133FU137113AXA2  CR-V         2015  32134  33995  Oliver, Walter          Fri, Mar 14, 2015       D13-12-03 
 JA1X2F1227113AXA4  Accord       2015  32959  33030  Oliver, Walter          Sun, Mar 16, 2015       D13-12-03 
 JA112F1387113AXA6  Accord       2015  31160  32930  Austin, Marcus          Thu, Mar 13, 2015       D13-12-02 
 JB127S13171118B88  Civic        2015  16624  16655  Watkins, Terrence       Tue, Mar 18, 2015       D13-12-01 
 JH151F11571118B9X  Odyssey      2015  44341  44825  Austin, Marcus          Sun, Mar 16, 2015       D13-12-02 
 JA114FU3771171422  Accord       2015  34003  33930  Oliver, Walter          Mon, Mar 17, 2015       D13-12-03 
 JC133FU167116X314  CR-V         2015  32661  33995  Austin, Marcus          Tue, Mar 18, 2015       D13-12-02 
 JB121S12971171426  Civic        2015  16085  16455  Romero, Ruby            Fri, Mar 14, 2015       D13-12-04 
 JC131F1157114B1C8  CR-V         2015  29550  30995  Austin, Marcus          Sat, Mar 15, 2015       D13-12-02 
 JB123H157711X7A9X  Civic        2015  25996  27600  Watkins, Terrence       Thu, Mar 13, 2015       D13-12-01 
 JB122SU297116X322  Civic        2015  16450  17255  Romero, Ruby            Sun, Mar 16, 2015       D13-12-04 
 JA1X3SU257114B1X4  Accord       2015  25296  25089  Romero, Ruby            Tue, Mar 18, 2015       D13-12-04 
 JE143FU1071118BA6  Crosstour    2015  37797  40640  Romero, Ruby            Mon, Mar 17, 2015       D13-12-04 
 JH156S312711X7A98  Odyssey      2015  29925  30375  Watkins, Terrence       Mon, Mar 17, 2015       D13-12-01 
 JA1X3SU217118255X  Accord       2015  25165  25089  Romero, Ruby            Thu, Mar 13, 2015       D13-12-04 
 JC131F1157115C222  CR-V         2015  28426  30995  Romero, Ruby            Wed, Mar 12, 2015       D13-12-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11A33318759  CR-V        2003  19495  30995  Watkins, Terrence       Wed, Mar 12, 2015       D13-12-01 
 JB121S12A7X14BA91  Civic        2015  17805  16455  Oliver, Walter          Mon, Mar 17, 2015       D13-12-03 
 JD136F11662518763  CR-Z        2006  20664  24705  Watkins, Terrence       Sat, Mar 15, 2015       D13-12-01 
 JH156S31553671XC5  Odyssey     2005  22080  30375  Watkins, Terrence       Fri, Mar 14, 2015       D13-12-01 
 JG148F11A4X4X7657  Insight     2004  16492  24390  Romero, Ruby            Sun, Mar 16, 2015       D13-12-04 
 JH153FU156484BA99  Odyssey     2006  38029  45825  Romero, Ruby            Sat, Mar 15, 2015       D13-12-04 
 JB121S12252629881  Civic       2005  12738  16455  Austin, Marcus          Wed, Mar 12, 2015       D13-12-02 
 JH151F1193466XCC3  Odyssey     2003  27165  44825  Watkins, Terrence       Fri, Mar 14, 2015       D13-12-01 
 JH154SU1A3395CBB5  Odyssey     2003  20351  32375  Romero, Ruby            Fri, Mar 14, 2015       D13-12-04 
 JH154SU174325CBB7  Odyssey     2004  20557  32375  Oliver, Walter          Thu, Mar 13, 2015       D13-12-03 
 JD136F11A33671XX9  CR-Z        2003  15596  24705  Watkins, Terrence       Sat, Mar 15, 2015       D13-12-01 
 JC133FU114335CBC1  CR-V        2004  22188  33995  Watkins, Terrence       Thu, Mar 13, 2015       D13-12-01 
 JH155FU166345CBC3  Odyssey     2006  39649  47825  Austin, Marcus          Thu, Mar 13, 2015       D13-12-02 
 JG148F11853718785  Insight     2005  18208  24390  Austin, Marcus          Mon, Mar 17, 2015       D13-12-02 
 JD137FU1433P4BAB7  CR-Z        2003  16216  25705  Oliver, Walter          Sat, Mar 15, 2015       D13-12-03 
 JH151F111143X7679  Odyssey     2001  19274  44825  Romero, Ruby            Mon, Mar 17, 2015       D13-12-04 
 JB121S12451171X21  Civic       2005  12738  16455  Austin, Marcus          Fri, Mar 14, 2015       D13-12-02 
 JJ161FU156396XC13  Pilot       2006  34835  42970  Austin, Marcus          Fri, Mar 14, 2015       D13-12-02 
 JH153FU135113A9B5  Odyssey     2005  34296  45825  Watkins, Terrence       Thu, Mar 13, 2015       D13-12-01 
 JD137FU1544171X27  CR-Z        2004  16883  25705  Watkins, Terrence       Mon, Mar 17, 2015       D13-12-01 
 JE141F11144471X29  Crosstour   2004  25211  37640  Watkins, Terrence       Sat, Mar 15, 2015       D13-12-01 
 JB121S12A2163A9C1  Civic       2002  8757   16455  Oliver, Walter          Sat, Mar 15, 2015       D13-12-03 
 JH151F117513X7693  Odyssey     2005  33562  44825  Romero, Ruby            Wed, Mar 12, 2015       D13-12-04 
 JH157F31A5286XC25  Odyssey     2005  34296  45825  Romero, Ruby            Mon, Mar 17, 2015       D13-12-04 
 JJ16AF1165X182147  Pilot       2005  31466  41970  Austin, Marcus          Tue, Mar 18, 2015       D13-12-02 
 JE142FU166163A9C9  Crosstour   2006  31812  38640  Watkins, Terrence       Tue, Mar 18, 2015       D13-12-01 
