Dealer Name: Honda Specialists
Address:     7064 Kline Ave
             Grand Traverse, AL
Dealer ID:   23
Owner:       Young, Walter
Date:        Wed, Mar 12, 2015 thru Tue, Mar 18, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU137112A734  Odyssey      2015  27877  30375  Holland, Mitchell       Wed, Mar 12, 2015       D23-21-05 
 JB121S121711X8516  Civic        2015  15822  16455  Jenkins, Corey          Wed, Mar 12, 2015       D23-21-01 
 JD136F1127113B848  CR-Z         2015  23634  24705  Payne, Calvin           Tue, Mar 18, 2015       D23-21-03 
 JB127S137711X852X  Civic        2015  16002  16655  Holland, Mitchell       Thu, Mar 13, 2015       D23-21-05 
 JB129S144711X8522  Civic        2015  22124  23055  Garrett, Edna           Thu, Mar 13, 2015       D23-21-06 
 JB127S1387114C964  Civic        2015  16090  16655  Garrett, Edna           Mon, Mar 17, 2015       D23-21-06 
 JA112F13171172C96  Accord       2015  32863  32930  Payne, Calvin           Wed, Mar 12, 2015       D23-21-03 
 JA111S1367113B858  Accord       2015  20890  22480  Garrett, Edna           Wed, Mar 12, 2015       D23-21-06 
 JA116FU3971183XBX  Accord       2015  35758  35930  Payne, Calvin           Fri, Mar 14, 2015       D23-21-03 
 JA113SU377114C972  Accord       2015  22513  23480  Payne, Calvin           Fri, Mar 14, 2015       D23-21-03 
 JH152SU15711X8534  Odyssey      2015  28665  30375  Payne, Calvin           Tue, Mar 18, 2015       D23-21-03 
 JB127S13571183XB6  Civic        2015  16891  16655  Jenkins, Corey          Wed, Mar 12, 2015       D23-21-01 
 JB123H1557115XA88  Civic        2015  25421  27600  Arnold, Marcus          Fri, Mar 14, 2015       D23-21-04 
 JC131F1127111965X  CR-V         2015  29871  30995  Payne, Calvin           Wed, Mar 12, 2015       D23-21-03 
 JG148F1107113B872  Insight      2015  24239  24390  Garrett, Edna           Sat, Mar 15, 2015       D23-21-06 
 JE143FU1771119654  Crosstour    2015  38841  40640  Baker, Mark             Sun, Mar 16, 2015       D23-21-02 
 JA1X7S3257115XA96  Accord       2015  23068  25089  Arnold, Marcus          Wed, Mar 12, 2015       D23-21-04 
 JB121S123711X8548  Civic        2015  16613  16455  Garrett, Edna           Tue, Mar 18, 2015       D23-21-06 
 JA116FU357111966X  Accord       2015  33534  35930  Payne, Calvin           Sat, Mar 15, 2015       D23-21-03 
 JC132FU1071161BB2  CR-V         2015  29642  31995  Payne, Calvin           Sun, Mar 16, 2015       D23-21-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F11955129BA1  CR-Z        2005  18435  24705  Payne, Calvin           Mon, Mar 17, 2015       D23-21-03 
 JJ161FU1855271323  Pilot       2005  31586  42970  Arnold, Marcus          Mon, Mar 17, 2015       D23-21-04 
 JC133FU1A34918A95  CR-V        2003  20667  33995  Garrett, Edna           Wed, Mar 12, 2015       D23-21-06 
 JE141F11562382437  Crosstour   2006  31012  37640  Baker, Mark             Fri, Mar 14, 2015       D23-21-02 
 JH153FU1544971329  Odyssey     2004  30597  45825  Garrett, Edna           Thu, Mar 13, 2015       D23-21-06 
 JB121S12A44P5C111  Civic       2004  11271  16455  Garrett, Edna           Wed, Mar 12, 2015       D23-21-06 
 JG148F11944818AA3  Insight     2004  16492  24390  Payne, Calvin           Wed, Mar 12, 2015       D23-21-03 
 JB13ASU4044229BB5  Civic       2004  15699  23855  Arnold, Marcus          Fri, Mar 14, 2015       D23-21-04 
 JE141F11724P3ACC7  Crosstour   2002  18932  37640  Payne, Calvin           Wed, Mar 12, 2015       D23-21-03 
 JB123H1573X2X7999  Civic       2003  17391  27600  Jenkins, Corey          Fri, Mar 14, 2015       D23-21-01 
 JE145F41654471341  Crosstour   2005  34228  46640  Payne, Calvin           Sat, Mar 15, 2015       D23-21-03 
 JH151F114426X79A3  Odyssey     2004  29939  44825  Payne, Calvin           Tue, Mar 18, 2015       D23-21-03 
 JG148F1165383ACX5  Insight     2005  18562  24390  Garrett, Edna           Tue, Mar 18, 2015       D23-21-06 
