Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Wed, Mar 19, 2015 thru Tue, Mar 25, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13571218782  Civic        2015  16624  16655  Schmidt, Phillip        Thu, Mar 20, 2015       D07-07-01 
 JB121S12871218784  Civic        2015  15646  16455  Mills, Naomi            Fri, Mar 21, 2015       D07-07-06 
 JB127S13471271X16  Civic        2015  16891  16655  Mills, Naomi            Thu, Mar 20, 2015       D07-07-06 
 JB121S12871282128  Civic        2015  16085  16455  Mills, Naomi            Wed, Mar 19, 2015       D07-07-06 
 JA1X9S42971271X2X  Accord       2015  30279  33089  Schmidt, Phillip        Tue, Mar 25, 2015       D07-07-01 
 JB125G16371271X22  Civic        2015  26074  28505  Schmidt, Phillip        Sat, Mar 22, 2015       D07-07-01 
 JJ164F4117124BAC4  Pilot        2015  52064  53970  Soto, Victor            Fri, Mar 21, 2015       D07-07-07 
 JH154SU15712298A6  Odyssey      2015  30317  32375  Green, Francis          Mon, Mar 24, 2015       D07-07-02 
 JA1X1S1217123A9B8  Accord       2015  24205  24089  Patterson, Hilda        Tue, Mar 25, 2015       D07-07-08 
 JA11AF42A712187AX  Accord       2015  39055  42030  Schmidt, Phillip        Wed, Mar 19, 2015       D07-07-01 
 JB121S121712X7692  Civic        2015  16613  16455  Schmidt, Phillip        Tue, Mar 25, 2015       D07-07-01 
 JA1X7S32871282144  Accord       2015  25034  25089  Caldwell, Wade          Wed, Mar 19, 2015       D07-07-04 
 JA115SU317126XC26  Accord       2015  25274  25480  Caldwell, Wade          Sat, Mar 22, 2015       D07-07-04 
 JB129S1477124BAX8  Civic        2015  22487  23055  Mills, Naomi            Mon, Mar 24, 2015       D07-07-06 
 JC131F1177128215X  CR-V         2015  30674  30995  Schmidt, Phillip        Tue, Mar 25, 2015       D07-07-01 
 JA1X5SU2171282152  Accord       2015  26380  27089  Schmidt, Phillip        Thu, Mar 20, 2015       D07-07-01 
 JC131F1147123A9X4  CR-V         2015  29229  30995  Green, Francis          Mon, Mar 24, 2015       D07-07-02 
 JD136F1137125CB26  CR-Z         2015  24925  24705  Meyer, Vincent          Tue, Mar 25, 2015       D07-07-03 
 JJ163F3147125CB28  Pilot        2015  39024  42970  Mills, Naomi            Thu, Mar 20, 2015       D07-07-06 
 JE141F1197128229X  Crosstour    2015  34500  37640  Chavez, Joy             Sat, Mar 22, 2015       D07-07-05 
 JH154SU12712X7712  Odyssey      2015  29647  32375  Green, Francis          Wed, Mar 19, 2015       D07-07-02 
 JC131F11871218824  CR-V         2015  29389  30995  Meyer, Vincent          Sat, Mar 22, 2015       D07-07-03 
 JC131F11A71282296  CR-V         2015  30192  30995  Caldwell, Wade          Sat, Mar 22, 2015       D07-07-04 
 JB127S13171282298  Civic        2015  16713  16655  Green, Francis          Wed, Mar 19, 2015       D07-07-02 
 JH155FU19712X772X  Odyssey      2015  43810  47825  Soto, Victor            Tue, Mar 25, 2015       D07-07-07 
 JC131F11371229942  CR-V         2015  30674  30995  Soto, Victor            Tue, Mar 25, 2015       D07-07-07 
 JH153FU1A7124BB64  Odyssey      2015  41550  45825  Schmidt, Phillip        Tue, Mar 25, 2015       D07-07-01 
 JE141F11871229946  Crosstour    2015  36826  37640  Schmidt, Phillip        Thu, Mar 20, 2015       D07-07-01 
 JA1X5SU277124BB68  Accord       2015  25956  27089  Green, Francis          Sat, Mar 22, 2015       D07-07-02 
 JA116FU36712711AX  Accord       2015  32793  35930  Soto, Victor            Fri, Mar 21, 2015       D07-07-07 
 JA1X1S1297124BB72  Accord       2015  23070  24089  Patterson, Hilda        Wed, Mar 19, 2015       D07-07-08 
 JB121S128712711A4  Civic        2015  16876  16455  Caldwell, Wade          Sat, Mar 22, 2015       D07-07-04 
 JA119S439712X7736  Accord       2015  29181  31480  Chavez, Joy             Sat, Mar 22, 2015       D07-07-05 
 JA113SU30712X7738  Accord       2015  23251  23480  Patterson, Hilda        Thu, Mar 20, 2015       D07-07-08 
 JH155FU16712822CX  Odyssey      2015  46992  47825  Caldwell, Wade          Wed, Mar 19, 2015       D07-07-04 
 JC131F1147125CC92  CR-V         2015  30835  30995  Schmidt, Phillip        Fri, Mar 21, 2015       D07-07-01 
 JH15AS11271229964  Odyssey      2015  28975  29375  Meyer, Vincent          Mon, Mar 24, 2015       D07-07-03 
 JB127S1337124BB86  Civic        2015  15735  16655  Mills, Naomi            Tue, Mar 25, 2015       D07-07-06 
 JA1X3SU217125CC98  Accord       2015  23985  25089  Patterson, Hilda        Mon, Mar 24, 2015       D07-07-08 
 JA1X9S424712X775X  Accord       2015  30621  33089  Caldwell, Wade          Sat, Mar 22, 2015       D07-07-04 
 JC131F1137126XXB2  CR-V         2015  29711  30995  Mills, Naomi            Sat, Mar 22, 2015       D07-07-06 
 JB122SU22712711C4  Civic        2015  17736  17255  Schmidt, Phillip        Mon, Mar 24, 2015       D07-07-01 
 JB121S1257124BB96  Civic        2015  15734  16455  Mills, Naomi            Wed, Mar 19, 2015       D07-07-06 
 JH157F3107126XXB8  Odyssey      2015  41550  45825  Meyer, Vincent          Sat, Mar 22, 2015       D07-07-03 
 JA1X1S1217124BBAX  Accord       2015  23575  24089  Schmidt, Phillip        Fri, Mar 21, 2015       D07-07-01 
 JB121S12171229982  Civic        2015  16964  16455  Mills, Naomi            Tue, Mar 25, 2015       D07-07-06 
 JH152SU1771229984  Odyssey      2015  30397  30375  Chavez, Joy             Wed, Mar 19, 2015       D07-07-05 
 JH151F11971282216  Odyssey      2015  41125  44825  Meyer, Vincent          Fri, Mar 21, 2015       D07-07-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
