Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Wed, Apr 16, 2015 thru Tue, Apr 22, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X5SU2A7163A6A6  Accord       2015  26944  27089  Shelton, Judith         Fri, Apr 18, 2015       D02-02-03 
 JH157F310716X7378  Odyssey      2015  41785  45825  Snyder, Pauline         Sun, Apr 20, 2015       D02-02-06 
 JD136F1157163A6BX  CR-Z         2015  22988  24705  Watson, Peggy           Sat, Apr 19, 2015       D02-02-01 
 JB128SU397163A6B2  Civic        2015  16722  17455  Moore, Carla            Sun, Apr 20, 2015       D02-02-02 
 JA1X3SU26716295A4  Accord       2015  24903  25089  Watson, Peggy           Tue, Apr 22, 2015       D02-02-01 
 JC131F11A7165C8X6  CR-V         2015  30192  30995  Simpson, Greg           Fri, Apr 18, 2015       D02-02-05 
 JB127S135716X7388  Civic        2015  15824  16655  Snyder, Pauline         Sun, Apr 20, 2015       D02-02-06 
 JB127S136716295BX  Civic        2015  16713  16655  Shelton, Judith         Sat, Apr 19, 2015       D02-02-03 
 JE142FU15716295B2  Crosstour    2015  36186  38640  Moore, Carla            Wed, Apr 16, 2015       D02-02-02 
 JB121S12971671A34  Civic        2015  16349  16455  Watson, Peggy           Wed, Apr 16, 2015       D02-02-01 
 JA1X3SU22716X7396  Accord       2015  24379  25089  Watson, Peggy           Fri, Apr 18, 2015       D02-02-01 
 JB125G16071671A38  Civic        2015  27111  28505  Simpson, Greg           Tue, Apr 22, 2015       D02-02-05 
 JA1X1S1257164B71X  Accord       2015  24079  24089  Shelton, Judith         Sun, Apr 20, 2015       D02-02-03 
 JH155FU137164B712  Odyssey      2015  47236  47825  Snyder, Pauline         Thu, Apr 17, 2015       D02-02-06 
