Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Wed, Apr 23, 2015 thru Tue, Apr 29, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11A7173AC74  Insight      2015  22580  24390  Burke, Derrick          Sat, Apr 26, 2015       D11-10-01 
 JC134F317717824C6  CR-V         2015  29642  31995  Lambert, Donna          Tue, Apr 29, 2015       D11-10-04 
 JB121S1277175C198  Civic        2015  15734  16455  Fields, Joan            Wed, Apr 23, 2015       D11-10-03 
 JE142FU17717713CX  Crosstour    2015  38373  38640  Fields, Joan            Thu, Apr 24, 2015       D11-10-03 
 JH153FU177173AC82  Odyssey      2015  45541  45825  Bishop, Joann           Fri, Apr 25, 2015       D11-10-05 
 JH151F11671718A64  Odyssey      2015  44112  44825  Lambert, Donna          Sun, Apr 27, 2015       D11-10-04 
 JE141F11271729B76  Crosstour    2015  34113  37640  Bishop, Joann           Fri, Apr 25, 2015       D11-10-05 
 JB127S135717824X8  Civic        2015  15824  16655  Burke, Derrick          Fri, Apr 25, 2015       D11-10-01 
 JB121S12771729B8X  Civic        2015  15909  16455  Day, Jennifer           Sat, Apr 26, 2015       D11-10-06 
 JJ162FU19717X7962  Pilot        2015  42637  44970  Bishop, Joann           Tue, Apr 29, 2015       D11-10-05 
 JB127S134717713X4  Civic        2015  15913  16655  Mason, Felicia          Tue, Apr 29, 2015       D11-10-02 
 JB127S1357176X2C6  Civic        2015  17157  16655  Day, Jennifer           Sat, Apr 26, 2015       D11-10-06 
 JH155FU107174BXA8  Odyssey      2015  47236  47825  Burke, Derrick          Fri, Apr 25, 2015       D11-10-01 
 JH151F1147173ACAX  Odyssey      2015  41584  44825  Burke, Derrick          Mon, Apr 28, 2015       D11-10-01 
 JC134F31171718A82  CR-V         2015  30967  31995  Mason, Felicia          Thu, Apr 24, 2015       D11-10-02 
 JC131F11A71771314  CR-V         2015  30835  30995  Lambert, Donna          Wed, Apr 23, 2015       D11-10-04 
 JH151F11071782426  Odyssey      2015  40436  44825  Bishop, Joann           Sun, Apr 27, 2015       D11-10-05 
 JC131F112717X7978  CR-V         2015  28586  30995  Fields, Joan            Mon, Apr 28, 2015       D11-10-03 
 JB129S148717X798X  Civic        2015  23212  23055  Burke, Derrick          Wed, Apr 23, 2015       D11-10-01 
 JD136F1197176X212  CR-Z         2015  24796  24705  Burke, Derrick          Wed, Apr 23, 2015       D11-10-01 
 JA111S13071729BA4  Accord       2015  21716  22480  Burke, Derrick          Tue, Apr 29, 2015       D11-10-01 
 JA111S13A7173ACB6  Accord       2015  21244  22480  Lambert, Donna          Tue, Apr 29, 2015       D11-10-04 
 JH154SU11717X7988  Odyssey      2015  30652  32375  Day, Jennifer           Mon, Apr 28, 2015       D11-10-06 
 JA117S3387178244X  Accord       2015  22759  23480  Burke, Derrick          Wed, Apr 23, 2015       D11-10-01 
 JB127S1387173ACC2  Civic        2015  15646  16655  Fields, Joan            Sat, Apr 26, 2015       D11-10-03 
 JB128SU3971718AA4  Civic        2015  17372  17455  Burke, Derrick          Mon, Apr 28, 2015       D11-10-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE142FU143136XBB7  Crosstour   2003  24235  38640  Fields, Joan            Thu, Apr 24, 2015       D11-10-03 
 JH158S41345282XX9  Odyssey     2004  26912  41375  Bishop, Joann           Tue, Apr 29, 2015       D11-10-05 
 JD137FU1833P3A891  CR-Z        2003  16216  25705  Bishop, Joann           Sat, Apr 26, 2015       D11-10-05 
 JH15AS11A6435CAB3  Odyssey     2006  24705  29375  Bishop, Joann           Sat, Apr 26, 2015       D11-10-05 
 JE143FU1244518675  Crosstour   2004  26441  40640  Burke, Derrick          Sat, Apr 26, 2015       D11-10-01 
 JG148F11831618677  Insight     2003  14904  24390  Bishop, Joann           Fri, Apr 25, 2015       D11-10-05 
 JB123H15643382X19  Civic       2004  18604  27600  Bishop, Joann           Wed, Apr 23, 2015       D11-10-05 
 JH153FU1A51271C11  Odyssey     2005  34296  45825  Bishop, Joann           Mon, Apr 28, 2015       D11-10-05 
 JD138FU122224B9B3  CR-Z        2002  13965  27705  Bishop, Joann           Mon, Apr 28, 2015       D11-10-05 
 JG149FU171413A8A5  Insight     2001  10831  25190  Day, Jennifer           Tue, Apr 29, 2015       D11-10-06 
 JG148F11121171C17  Insight     2002  12922  24390  Burke, Derrick          Mon, Apr 28, 2015       D11-10-01 
 JG148F1163X7X7579  Insight     2003  14904  24390  Lambert, Donna          Sat, Apr 26, 2015       D11-10-04 
 JJ163F317715297A1  Pilot        2015  39888  42970  Lambert, Donna          Thu, Apr 24, 2015       D11-10-04 
 JC131F1136X8X7583  CR-V        2006  26017  30995  Lambert, Donna          Wed, Apr 23, 2015       D11-10-04 
 JD14AF41931682X35  CR-Z        2003  21176  33705  Lambert, Donna          Fri, Apr 25, 2015       D11-10-04 
 JC131F1165363A8B7  CR-V        2005  23410  30995  Burke, Derrick          Tue, Apr 29, 2015       D11-10-01 
 JD136F11064682X39  CR-Z        2006  20664  24705  Bishop, Joann           Mon, Apr 28, 2015       D11-10-05 
