Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Wed, May 14, 2015 thru Tue, May 20, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12372P18426  Civic        2015  16876  16455  Wood, Lloyd             Thu, May 15, 2015       D01-01-04 
 JB121S12372P29538  Civic        2015  15734  16455  Jennings, Terry         Wed, May 14, 2015       D01-01-02 
 JB127S13572P71A9X  Civic        2015  15735  16655  Russell, Connie         Wed, May 14, 2015       D01-01-01 
 JB127S13172P3A652  Civic        2015  17246  16655  Jennings, Terry         Tue, May 20, 2015       D01-01-02 
 JB13ASU4072P18434  Civic        2015  24230  23855  Ryan, Margie            Tue, May 20, 2015       D01-01-06 
 JJ162FU1572P29546  Pilot        2015  41715  44970  Russell, Connie         Thu, May 15, 2015       D01-01-01 
 JE145F41172P3A658  Crosstour    2015  42272  46640  King, Michelle          Sun, May 18, 2015       D01-01-03 
 JB123H15372P71AAX  Civic        2015  26570  27600  Harper, Freddie         Tue, May 20, 2015       D01-01-05 
 JH157F31272P3A662  Odyssey      2015  41785  45825  Ryan, Margie            Sun, May 18, 2015       D01-01-06 
 JC131F11472P29554  CR-V         2015  28426  30995  Jennings, Terry         Fri, May 16, 2015       D01-01-02 
 JB123H15672P29556  Civic        2015  26139  27600  Russell, Connie         Wed, May 14, 2015       D01-01-01 
 JD136F11672P29558  CR-Z         2015  24280  24705  Jennings, Terry         Sun, May 18, 2015       D01-01-02 
 JH154SU1772P5C89X  Odyssey      2015  31322  32375  Russell, Connie         Tue, May 20, 2015       D01-01-01 
 JC131F11772P6X9A2  CR-V         2015  29229  30995  Russell, Connie         Thu, May 15, 2015       D01-01-01 
 JB127S13372P5C894  Civic        2015  16090  16655  Jennings, Terry         Sun, May 18, 2015       D01-01-02 
 JE145F41672P5C896  Crosstour    2015  43943  46640  Jennings, Terry         Sat, May 17, 2015       D01-01-02 
 JB127S13272P29568  Civic        2015  15913  16655  Wood, Lloyd             Tue, May 20, 2015       D01-01-04 
 JB121S12872PX735X  Civic        2015  16964  16455  Wood, Lloyd             Wed, May 14, 2015       D01-01-04 
 JH153FU1372P5C8A2  Odyssey      2015  41785  45825  Russell, Connie         Wed, May 14, 2015       D01-01-01 
 JD137FU1372P29574  CR-Z         2015  25086  25705  Harper, Freddie         Thu, May 15, 2015       D01-01-05 
