Dealer Name: Yancy Honda
Address:     351 Washington St
             West Junction, AL
Dealer ID:   8
Owner:       Yancy, Clark
Date:        Wed, May 14, 2015 thru Tue, May 20, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA115SU3772P5CCB6  Accord       2015  23545  25480  Parker, Tracy           Mon, May 19, 2015       D08-08-01 
 JB121S12172P29988  Civic        2015  16613  16455  Parker, Tracy           Sat, May 17, 2015       D08-08-01 
 JH155FU1172PX777X  Odyssey      2015  45523  47825  Parker, Tracy           Sun, May 18, 2015       D08-08-01 
 JB129S14072P29992  Civic        2015  22003  23055  Parker, Tracy           Tue, May 20, 2015       D08-08-01 
 JC131F11572PX7774  CR-V         2015  29550  30995  Parker, Tracy           Sun, May 18, 2015       D08-08-01 
 JA1X6FU2772PX7776  Accord       2015  32882  36030  Parker, Tracy           Tue, May 20, 2015       D08-08-01 
 JA117S33472P82228  Accord       2015  23866  23480  Rogers, Donna           Wed, May 14, 2015       D08-08-02 
 JB127S13A72P1889X  Civic        2015  16713  16655  Parker, Tracy           Mon, May 19, 2015       D08-08-01 
 JE144F31072P71122  Crosstour    2015  36782  38640  Rogers, Donna           Sat, May 17, 2015       D08-08-02 
 JB121S12372P18894  Civic        2015  15734  16455  Parker, Tracy           Sun, May 18, 2015       D08-08-01 
 JH156S31172P18896  Odyssey      2015  28350  30375  Parker, Tracy           Tue, May 20, 2015       D08-08-01 
 JA119S43472P4BBC8  Accord       2015  29670  31480  Rogers, Donna           Fri, May 16, 2015       D08-08-02 
 JB121S12672P3AACX  Civic        2015  15997  16455  Rogers, Donna           Tue, May 20, 2015       D08-08-02 
 JA117S33372P6XX22  Accord       2015  22636  23480  Rogers, Donna           Wed, May 14, 2015       D08-08-02 
 JC133FU1872P5CC14  CR-V         2015  31432  33995  Rogers, Donna           Mon, May 19, 2015       D08-08-02 
 JH15AS11472PX7796  Odyssey      2015  29127  29375  Rogers, Donna           Thu, May 15, 2015       D08-08-02 
 JB129S14672P188A8  Civic        2015  21520  23055  Rogers, Donna           Wed, May 14, 2015       D08-08-02 
 JH153FU1672P188BX  Odyssey      2015  43663  45825  Parker, Tracy           Mon, May 19, 2015       D08-08-01 
 JD137FU1872P71142  CR-Z         2015  24549  25705  Parker, Tracy           Sun, May 18, 2015       D08-08-01 
 JC134F31872P299C4  CR-V         2015  29808  31995  Rogers, Donna           Sun, May 18, 2015       D08-08-02 
 JE141F11A72P6XX36  Crosstour    2015  34307  37640  Rogers, Donna           Tue, May 20, 2015       D08-08-02 
 JB128SU3272P5CC28  Civic        2015  16629  17455  Parker, Tracy           Tue, May 20, 2015       D08-08-01 
 JK168F31472P7128X  Ridgeline    2015  44720  47750  Rogers, Donna           Sat, May 17, 2015       D08-08-02 
 JE141F11472P18922  Crosstour    2015  35857  37640  Rogers, Donna           Thu, May 15, 2015       D08-08-02 
 JH156S31272P18924  Odyssey      2015  30240  30375  Rogers, Donna           Tue, May 20, 2015       D08-08-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
