Dealer Name: Honda Pro
Address:     923 Green St
             Brookland, GA
Dealer ID:   27
Owner:       Palmer, John
Date:        Wed, May 14, 2015 thru Tue, May 20, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11272P5XB18  Insight      2015  23984  24390  Perkins, Pearl          Fri, May 16, 2015       D27-24-03 
 JB121S12772P72X4X  Civic        2015  16788  16455  Howard, Samantha        Thu, May 15, 2015       D27-24-05 
 JH157F31872P83152  Odyssey      2015  43194  45825  Scott, Samuel           Mon, May 19, 2015       D27-24-06 
 JC132FU1972PX86A4  CR-V         2015  31132  31995  Perkins, Pearl          Fri, May 16, 2015       D27-24-03 
 JH156S31872P4CA16  Odyssey      2015  29767  30375  Wright, Marion          Fri, May 16, 2015       D27-24-04 
 JB127S13972P2A8C8  Civic        2015  16446  16655  Perkins, Pearl          Tue, May 20, 2015       D27-24-03 
 JA117S33A72PX871X  Accord       2015  22759  23480  Shelton, Regina         Tue, May 20, 2015       D27-24-02 
 JE144F31072P61X72  Crosstour    2015  37180  38640  Wright, Marion          Mon, May 19, 2015       D27-24-04 
 JC131F11772P4CB54  CR-V         2015  30835  30995  Wright, Marion          Mon, May 19, 2015       D27-24-04 
 JC132FU1672PX8716  CR-V         2015  30304  31995  Shelton, Regina         Wed, May 14, 2015       D27-24-02 
 JB121S12872PX8718  Civic        2015  16349  16455  Howard, Samantha        Fri, May 16, 2015       D27-24-05 
 JB123H15872P1983X  Civic        2015  25852  27600  Howard, Samantha        Thu, May 15, 2015       D27-24-05 
 JB121S12372P2A942  Civic        2015  16788  16455  Shelton, Regina         Sat, May 17, 2015       D27-24-02 
 JH155FU1572P19834  Odyssey      2015  44055  47825  Scott, Samuel           Fri, May 16, 2015       D27-24-06 
 JH155FU1A72P61X86  Odyssey      2015  47236  47825  Perkins, Pearl          Sat, May 17, 2015       D27-24-03 
 JH151F11372P61X88  Odyssey      2015  42733  44825  Shelton, Regina         Tue, May 20, 2015       D27-24-02 
 JC133FU1072P5XC8X  CR-V         2015  32837  33995  Scott, Samuel           Tue, May 20, 2015       D27-24-06 
 JG148F11472P5XC82  Insight      2015  23218  24390  Wright, Marion          Tue, May 20, 2015       D27-24-04 
 JG148F11672P832B4  Insight      2015  23984  24390  Wright, Marion          Wed, May 14, 2015       D27-24-04 
 JE141F11872P19846  Crosstour    2015  37408  37640  Hill, Rita              Mon, May 19, 2015       D27-24-01 
 JC131F11472P19848  CR-V         2015  31156  30995  Shelton, Regina         Tue, May 20, 2015       D27-24-02 
 JC132FU1672PX874X  CR-V         2015  29311  31995  Hill, Rita              Fri, May 16, 2015       D27-24-01 
 JJ161FU1872P5XC92  Pilot        2015  40126  42970  Wright, Marion          Sun, May 18, 2015       D27-24-04 
