Dealer Name: Freeman Honda
Address:     2332 Bob Jones St
             Brookland, GA
Dealer ID:   26
Owner:       Freeman, Greg
Date:        Wed, May 21, 2015 thru Tue, May 27, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1157213B966  CR-Z         2015  25055  24705  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JB127S1327213B968  Civic        2015  16446  16655  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JB127S135721831CX  Civic        2015  15735  16655  Perkins, Tanya          Tue, May 27, 2015       D26-23-01 
 JA111S1357214CA82  Accord       2015  22424  22480  Perkins, Tanya          Thu, May 22, 2015       D26-23-01 
 JD137FU15721831C4  CR-Z         2015  25354  25705  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JB122SU237214CA86  Civic        2015  16266  17255  Perkins, Tanya          Thu, May 22, 2015       D26-23-01 
 JH152SU1472119758  Odyssey      2015  28507  30375  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JC131F1187213B98X  CR-V         2015  30192  30995  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JC132FU18721831X2  CR-V         2015  31960  31995  Perkins, Tanya          Fri, May 23, 2015       D26-23-01 
 JE141F11072172XC4  Crosstour    2015  34113  37640  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JB121S12472172XC6  Civic        2015  15822  16455  Perkins, Tanya          Fri, May 23, 2015       D26-23-01 
 JA1X3SU2A7214CA98  Accord       2015  25165  25089  Perkins, Tanya          Wed, May 21, 2015       D26-23-01 
 JA1X1S12872161CCX  Accord       2015  22314  24089  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JB122SU2772172XX2  Civic        2015  16817  17255  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JA111S13A7214CAA4  Accord       2015  21598  22480  Perkins, Tanya          Sun, May 25, 2015       D26-23-01 
 JC134F3127214CAA6  CR-V         2015  29973  31995  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JA115SU317212A888  Accord       2015  25540  25480  Perkins, Tanya          Thu, May 22, 2015       D26-23-01 
 JB127S13172172X1X  Civic        2015  15824  16655  Perkins, Tanya          Wed, May 21, 2015       D26-23-01 
 JB121S1207214CAB2  Civic        2015  16349  16455  Perkins, Tanya          Sun, May 25, 2015       D26-23-01 
 JB121S125721X8674  Civic        2015  16261  16455  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JB121S1287215XBC6  Civic        2015  16701  16455  Perkins, Tanya          Fri, May 23, 2015       D26-23-01 
 JC134F31072183128  CR-V         2015  30636  31995  Perkins, Tanya          Wed, May 21, 2015       D26-23-01 
 JD139F3167218313X  CR-Z         2015  25354  25705  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JB121S12772161C12  Civic        2015  15470  16455  Perkins, Tanya          Wed, May 21, 2015       D26-23-01 
 JH153FU14721X8684  Odyssey      2015  42020  45825  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JA112F13A7213B9B6  Accord       2015  32352  32930  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JA1X3SU2272119798  Accord       2015  25034  25089  Perkins, Tanya          Sun, May 25, 2015       D26-23-01 
 JH155FU1A72172X3X  Odyssey      2015  43320  47825  Perkins, Tanya          Wed, May 21, 2015       D26-23-01 
 JD136F11A7213B9C2  CR-Z         2015  24280  24705  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JJ161FU1A72172X34  Pilot        2015  39024  42970  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F118442X7A63  Odyssey     2004  29120  44825  Perkins, Tanya          Wed, May 21, 2015       D26-23-01 
 JH154SU14439X7A65  Odyssey     2004  21746  32375  Perkins, Tanya          Fri, May 23, 2015       D26-23-01 
 JB127S13343982517  Civic       2004  11403  16655  Perkins, Tanya          Tue, May 27, 2015       D26-23-01 
 JB127S13053529C89  Civic       2005  12885  16655  Perkins, Tanya          Thu, May 22, 2015       D26-23-01 
 JJ161FU113165C2C1  Pilot       2003  26052  42970  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JB129S1454493AXA3  Civic       2004  15187  23055  Perkins, Tanya          Tue, May 27, 2015       D26-23-01 
 JK169F4121485C2C5  Ridgeline   2001  25262  58750  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JE144F3134X671417  Crosstour   2004  25161  38640  Perkins, Tanya          Tue, May 27, 2015       D26-23-01 
 JC131F1104X129C99  CR-V        2004  20838  30995  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JD137FU165X282531  CR-Z        2005  19528  25705  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JG149FU1062882533  Insight     2006  21052  25190  Perkins, Tanya          Sat, May 24, 2015       D26-23-01 
 JH153FU103275C2X5  Odyssey     2003  27765  45825  Perkins, Tanya          Mon, May 26, 2015       D26-23-01 
 JD137FU1141718B97  CR-Z        2004  16883  25705  Perkins, Tanya          Sun, May 25, 2015       D26-23-01 
 JC134F3165324B1C9  CR-V        2005  24144  31995  Perkins, Tanya          Thu, May 22, 2015       D26-23-01 
 JB127S1334484B1X1  Civic       2004  11403  16655  Perkins, Tanya          Fri, May 23, 2015       D26-23-01 
 JK166FU193373AXC3  Ridgeline   2003  28920  47750  Perkins, Tanya          Fri, May 23, 2015       D26-23-01 
 JG148F114312X7A95  Insight     2003  14904  24390  Perkins, Tanya          Fri, May 23, 2015       D26-23-01 
 JG148F1135354B1X7  Insight     2005  22887  24390  Perkins, Tanya          Sun, May 25, 2015       D26-23-01 
 JH158S4116194B1X9  Odyssey     2006  34000  41375  Perkins, Tanya          Sun, May 25, 2015       D26-23-01 
 JE143FU1234482551  Crosstour   2003  24654  40640  Perkins, Tanya          Sun, May 25, 2015       D26-23-01 
 JG148F1173X63AXX3  Insight     2003  15400  24390  Perkins, Tanya          Thu, May 22, 2015       D26-23-01 
