Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Wed, May 21, 2015 thru Tue, May 27, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F3157212ACA8  Odyssey      2015  43898  45825  Shelton, Adam           Sun, May 25, 2015       D33-29-05 
 JB129S1447212ACBX  Civic        2015  23333  23055  Mitchell, John          Sat, May 24, 2015       D33-29-02 
 JC135F4187215X212  CR-V         2015  36391  39995  Mitchell, John          Sat, May 24, 2015       D33-29-02 
 JB121S1297213BXC4  Civic        2015  17052  16455  Mitchell, John          Thu, May 22, 2015       D33-29-02 
 JB127S137721X8A96  Civic        2015  16446  16655  Wells, Clayton          Tue, May 27, 2015       D33-29-01 
 JB122SU287212ACB8  Civic        2015  16450  17255  Mitchell, John          Thu, May 22, 2015       D33-29-02 
 JC131F11772119BBX  CR-V         2015  28265  30995  Martinez, Katherine     Wed, May 21, 2015       D33-29-04 
 JA116FU307215X222  Accord       2015  35202  35930  Martinez, Katherine     Fri, May 23, 2015       D33-29-04 
 JB123H15A72119BB4  Civic        2015  25421  27600  Wells, Clayton          Wed, May 21, 2015       D33-29-01 
 JC131F1187214C116  CR-V         2015  29068  30995  Shelton, Adam           Fri, May 23, 2015       D33-29-05 
 JH153FU157214C118  Odyssey      2015  43194  45825  Wells, Clayton          Thu, May 22, 2015       D33-29-01 
 JA111S13672119C2X  Accord       2015  22896  22480  Shelton, Adam           Tue, May 27, 2015       D33-29-05 
 JC131F11172119C22  CR-V         2015  28908  30995  Mitchell, John          Mon, May 26, 2015       D33-29-02 
 JH152SU1572183694  Odyssey      2015  30555  30375  Morgan, Milton          Wed, May 21, 2015       D33-29-03 
 JB121S128721X8B16  Civic        2015  16349  16455  Shelton, Adam           Thu, May 22, 2015       D33-29-05 
 JC132FU1672172588  CR-V         2015  29808  31995  Martinez, Katherine     Thu, May 22, 2015       D33-29-04 
 JA111S135721836AX  Accord       2015  20772  22480  Shelton, Adam           Fri, May 23, 2015       D33-29-05 
 JB127S1367214C262  Civic        2015  16179  16655  Shelton, Adam           Mon, May 26, 2015       D33-29-05 
 JH153FU18721836A4  Odyssey      2015  45072  45825  Martinez, Katherine     Tue, May 27, 2015       D33-29-04 
 JG148F113721836A6  Insight      2015  23346  24390  Martinez, Katherine     Fri, May 23, 2015       D33-29-04 
 JA115SU347214C268  Accord       2015  23944  25480  Martinez, Katherine     Mon, May 26, 2015       D33-29-04 
 JB129S14072119C4X  Civic        2015  23212  23055  Mitchell, John          Sun, May 25, 2015       D33-29-02 
 JH156S3127214C272  Odyssey      2015  28035  30375  Mitchell, John          Sun, May 25, 2015       D33-29-02 
 JC132FU1A721725A4  CR-V         2015  30304  31995  Mitchell, John          Tue, May 27, 2015       D33-29-02 
 JC131F116721X8B36  CR-V         2015  29711  30995  Mitchell, John          Sat, May 24, 2015       D33-29-02 
 JH151F1167213B168  Odyssey      2015  41355  44825  Mitchell, John          Fri, May 23, 2015       D33-29-02 
 JB121S128721X8B4X  Civic        2015  16085  16455  Mitchell, John          Sun, May 25, 2015       D33-29-02 
 JG148F1197215X392  Insight      2015  22708  24390  Morgan, Milton          Sat, May 24, 2015       D33-29-03 
 JB127S1357215X394  Civic        2015  17246  16655  Martinez, Katherine     Sat, May 24, 2015       D33-29-04 
 JB121S1217213B176  Civic        2015  16964  16455  Wells, Clayton          Fri, May 23, 2015       D33-29-01 
 JH157F31772119C58  Odyssey      2015  43194  45825  Shelton, Adam           Tue, May 27, 2015       D33-29-05 
 JB121S120721X8B5X  Civic        2015  16173  16455  Shelton, Adam           Tue, May 27, 2015       D33-29-05 
 JB127S135721836X2  Civic        2015  16891  16655  Mitchell, John          Mon, May 26, 2015       D33-29-02 
 JC133FU19721725C4  CR-V         2015  33539  33995  Shelton, Adam           Wed, May 21, 2015       D33-29-05 
 JB121S121721836X6  Civic        2015  16173  16455  Martinez, Katherine     Sun, May 25, 2015       D33-29-04 
 JD139F314721X8B58  CR-Z         2015  23744  25705  Shelton, Adam           Fri, May 23, 2015       D33-29-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU15313619C7  Odyssey     2003  19695  32375  Shelton, Adam           Wed, May 21, 2015       D33-29-05 
 JH151F1105X85X8B9  Odyssey     2005  32922  44825  Martinez, Katherine     Tue, May 27, 2015       D33-29-04 
 JH151F11A451X8371  Odyssey     2004  29120  44825  Morgan, Milton          Tue, May 27, 2015       D33-29-03 
 JJ161FU165244C7B3  Pilot       2005  32200  42970  Martinez, Katherine     Wed, May 21, 2015       D33-29-04 
 JB129S14323P3B6A5  Civic       2002  12222  23055  Mitchell, John          Tue, May 27, 2015       D33-29-02 
 JE144F3174X672A17  Crosstour   2004  25161  38640  Morgan, Milton          Fri, May 23, 2015       D33-29-03 
 JH159F4185175X8C9  Odyssey     2005  42370  56825  Martinez, Katherine     Fri, May 23, 2015       D33-29-04 
 JE144F3174495X8X1  Crosstour   2004  25161  38640  Mitchell, John          Sat, May 24, 2015       D33-29-02 
 JK168F3154495X8X3  Ridgeline   2004  31863  47750  Martinez, Katherine     Mon, May 26, 2015       D33-29-04 
 JG148F1172X219495  Insight     2002  12922  24390  Martinez, Katherine     Sun, May 25, 2015       D33-29-04 
 JA12AF4374524C7C7  Accord      2004  28034  41930  Mitchell, John          Sun, May 25, 2015       D33-29-02 
 JB121S1214X872A29  Civic       2004  11271  16455  Mitchell, John          Sat, May 24, 2015       D33-29-02 
 JH152SU141X62A5B1  Odyssey     2001  12150  30375  Shelton, Adam           Fri, May 23, 2015       D33-29-05 
 JB127S1337X8194A3  Civic        2015  16204  16655  Martinez, Katherine     Wed, May 21, 2015       D33-29-04 
 JC132FU112X3X8395  CR-V        2002  16915  31995  Wells, Clayton          Fri, May 23, 2015       D33-29-01 
 JB121S12442P61927  Civic       2004  11271  16455  Martinez, Katherine     Sat, May 24, 2015       D33-29-04 
