Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Wed, Jun 11, 2015 thru Tue, Jun 17, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC134F3137243A646  CR-V         2015  30967  31995  Jennings, Terry         Fri, Jun 13, 2015       D01-01-02 
 JA111S138724X7318  Accord       2015  22070  22480  Russell, Connie         Sat, Jun 14, 2015       D01-01-01 
 JG148F1117245C87X  Insight      2015  24239  24390  Russell, Connie         Mon, Jun 16, 2015       D01-01-01 
 JC134F31372429542  CR-V         2015  30967  31995  Wood, Lloyd             Tue, Jun 17, 2015       D01-01-04 
 JA1X7S32572418434  Accord       2015  24903  25089  Ryan, Margie            Wed, Jun 11, 2015       D01-01-06 
 JA1X7S32772482BA6  Accord       2015  24641  25089  Russell, Connie         Sun, Jun 15, 2015       D01-01-01 
 JA1X5SU217246X988  Accord       2015  26380  27089  Jennings, Terry         Mon, Jun 16, 2015       D01-01-02 
 JC131F11672471AAX  CR-V         2015  29711  30995  Russell, Connie         Tue, Jun 17, 2015       D01-01-01 
 JE141F1177246X992  Crosstour    2015  34500  37640  Ryan, Margie            Wed, Jun 11, 2015       D01-01-06 
 JA1X1S1207244B774  Accord       2015  23322  24089  Wood, Lloyd             Mon, Jun 16, 2015       D01-01-04 
 JC131F11272418446  CR-V         2015  30514  30995  Ryan, Margie            Mon, Jun 16, 2015       D01-01-06 
 JA115SU33724X7338  Accord       2015  25274  25480  Wood, Lloyd             Mon, Jun 16, 2015       D01-01-04 
 JH152SU1472482BCX  Odyssey      2015  27720  30375  Harper, Freddie         Tue, Jun 17, 2015       D01-01-05 
 JC133FU107246X9A2  CR-V         2015  31783  33995  Jennings, Terry         Mon, Jun 16, 2015       D01-01-02 
 JB127S1347245C894  Civic        2015  16979  16655  King, Michelle          Wed, Jun 11, 2015       D01-01-03 
 JH152SU1672471AB6  Odyssey      2015  28822  30375  Jennings, Terry         Tue, Jun 17, 2015       D01-01-02 
 JD136F1137246X9A8  CR-Z         2015  24280  24705  King, Michelle          Mon, Jun 16, 2015       D01-01-03 
 JB128SU397243A68X  Civic        2015  16443  17455  Russell, Connie         Sun, Jun 15, 2015       D01-01-01 
 JH153FU127244B792  Odyssey      2015  45072  45825  Jennings, Terry         Sun, Jun 15, 2015       D01-01-02 
 JD139F3117244B794  CR-Z         2015  25488  25705  Ryan, Margie            Mon, Jun 16, 2015       D01-01-06 
 JB123H1547244B796  Civic        2015  25565  27600  Russell, Connie         Wed, Jun 11, 2015       D01-01-01 
 JE145F4177244B798  Crosstour    2015  43227  46640  King, Michelle          Sun, Jun 15, 2015       D01-01-03 
 JG148F11872471AXX  Insight      2015  23218  24390  Harper, Freddie         Tue, Jun 17, 2015       D01-01-05 
 JB127S13972482B12  Civic        2015  16535  16655  Harper, Freddie         Mon, Jun 16, 2015       D01-01-05 
 JH151F11872418474  Odyssey      2015  44341  44825  Russell, Connie         Wed, Jun 11, 2015       D01-01-01 
 JK166FU137243A696  Ridgeline    2015  46675  47750  Ryan, Margie            Sun, Jun 15, 2015       D01-01-06 
 JB123H15972429588  Civic        2015  27145  27600  Russell, Connie         Thu, Jun 12, 2015       D01-01-01 
 JA1X2F12472471A1X  Accord       2015  31764  33030  Harper, Freddie         Wed, Jun 11, 2015       D01-01-05 
 JH152SU1572418482  Odyssey      2015  29452  30375  King, Michelle          Fri, Jun 13, 2015       D01-01-03 
 JB127S13972471A14  Civic        2015  15913  16655  Ryan, Margie            Tue, Jun 17, 2015       D01-01-06 
 JE144F31572418486  Crosstour    2015  36583  38640  King, Michelle          Thu, Jun 12, 2015       D01-01-03 
 JB127S13572418488  Civic        2015  16179  16655  Ryan, Margie            Sat, Jun 14, 2015       D01-01-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1204214B757  Civic       2004  11271  16455  King, Michelle          Wed, Jun 11, 2015       D01-01-03 
 JE141F1123456X979  Crosstour   2003  22854  37640  Harper, Freddie         Wed, Jun 11, 2015       D01-01-05 
 JB121S12A13P5C871  Civic       2001  7075   16455  King, Michelle          Sat, Jun 14, 2015       D01-01-03 
 JH152SU16441X7323  Odyssey     2004  19872  30375  Wood, Lloyd             Mon, Jun 16, 2015       D01-01-04 
 JG148F11643418435  Insight     2004  16041  24390  Ryan, Margie            Mon, Jun 16, 2015       D01-01-06 
 JB127S1304X14B767  Civic       2004  11403  16655  Harper, Freddie         Tue, Jun 17, 2015       D01-01-05 
 JG148F11A2X76X989  Insight     2002  12922  24390  Ryan, Margie            Wed, Jun 11, 2015       D01-01-06 
 JB129S146713X7331  Civic        2015  22086  23055  Russell, Connie         Sun, Jun 15, 2015       D01-01-01 
 JC131F1196X84B773  CR-V        2006  25696  30995  Wood, Lloyd             Fri, Jun 13, 2015       D01-01-04 
 JH154SU1913P6X995  Odyssey     2001  13921  32375  Russell, Connie         Wed, Jun 11, 2015       D01-01-01 
 JG148F1164495C887  Insight     2004  16041  24390  Ryan, Margie            Sun, Jun 15, 2015       D01-01-06 
 JC133FU1344618449  CR-V        2004  22812  33995  Jennings, Terry         Wed, Jun 11, 2015       D01-01-02 
 JJ16AF11A3215C891  Pilot       2003  25452  41970  Ryan, Margie            Sun, Jun 15, 2015       D01-01-06 
