Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Wed, Jun 11, 2015 thru Tue, Jun 17, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14A7245X9C6  Civic        2015  21762  23055  Morrison, Irene         Thu, Jun 12, 2015       D22-20-07 
 JB121S1267245X9C8  Civic        2015  16173  16455  Soto, Roger             Tue, Jun 17, 2015       D22-20-06 
 JE141F1157245X9XX  Crosstour    2015  35663  37640  Soto, Roger             Sat, Jun 14, 2015       D22-20-06 
 JA115SU367244C8C2  Accord       2015  25141  25480  Thompson, Gail          Fri, Jun 13, 2015       D22-20-03 
 JC131F112724X8484  CR-V         2015  30192  30995  Tucker, Ann             Fri, Jun 13, 2015       D22-20-02 
 JE141F1127242A6A6  Crosstour    2015  36632  37640  Thompson, Gail          Wed, Jun 11, 2015       D22-20-03 
 JA112F1357243B7B8  Accord       2015  30308  32930  Young, Carlos           Wed, Jun 11, 2015       D22-20-05 
 JB123H1597244C8XX  Civic        2015  25421  27600  Morrison, Irene         Sat, Jun 14, 2015       D22-20-07 
 JA1X7S32372461A22  Accord       2015  24903  25089  Nichols, Colleen        Mon, Jun 16, 2015       D22-20-04 
 JC132FU147244C8X4  CR-V         2015  31795  31995  Nichols, Colleen        Wed, Jun 11, 2015       D22-20-04 
 JA115SU38724195A6  Accord       2015  23545  25480  Nichols, Colleen        Sat, Jun 14, 2015       D22-20-04 
 JD136F1177244C8X8  CR-Z         2015  22988  24705  Morrison, Irene         Mon, Jun 16, 2015       D22-20-07 
 JA1X4FU257245X92X  Accord       2015  32869  34030  Watson, Lori            Mon, Jun 16, 2015       D22-20-01 
 JE141F1107242A6C2  Crosstour    2015  35663  37640  Nichols, Colleen        Thu, Jun 12, 2015       D22-20-04 
 JC131F111724195B4  CR-V         2015  29229  30995  Thompson, Gail          Wed, Jun 11, 2015       D22-20-03 
 JA111S1387244C816  Accord       2015  22896  22480  Romero, Gladys          Mon, Jun 16, 2015       D22-20-08 
 JB123H1547244C818  Civic        2015  26857  27600  Thompson, Gail          Mon, Jun 16, 2015       D22-20-03 
 JH158S41572483X9X  Odyssey      2015  40587  41375  Tucker, Ann             Thu, Jun 12, 2015       D22-20-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE142FU124376X2B7  Crosstour   2004  25869  38640  Tucker, Ann             Wed, Jun 11, 2015       D22-20-02 
 JB127S1382373AC89  Civic       2002  8862   16655  Morrison, Irene         Wed, Jun 11, 2015       D22-20-07 
 JC133FU1321929B81  CR-V        2002  17965  33995  Morrison, Irene         Sun, Jun 15, 2015       D22-20-07 
 JA115SU354414BXA3  Accord      2004  17209  25480  Tucker, Ann             Sat, Jun 14, 2015       D22-20-02 
 JH155FU1631129B85  Odyssey     2003  28965  47825  Young, Carlos           Wed, Jun 11, 2015       D22-20-05 
 JJ164F4124516X2C7  Pilot       2004  34972  53970  Morrison, Irene         Fri, Jun 13, 2015       D22-20-07 
 JH153FU19319713X9  Odyssey     2003  27765  45825  Morrison, Irene         Fri, Jun 13, 2015       D22-20-07 
 JC131F1142X1X7971  CR-V        2002  15610  30995  Soto, Roger             Tue, Jun 17, 2015       D22-20-06 
 JH158S41761P5C1C3  Odyssey     2006  34000  41375  Tucker, Ann             Thu, Jun 12, 2015       D22-20-02 
 JA117S33A7213ACA5  Accord       2015  22471  23480  Watson, Lori            Fri, Jun 13, 2015       D22-20-01 
 JD136F110641X7977  CR-Z        2006  20922  24705  Tucker, Ann             Mon, Jun 16, 2015       D22-20-02 
