Dealer Name: Jones Honda Dealer
Address:     6957 Davison Highway
             Clarksville, NC
Dealer ID:   3
Owner:       Jones, Kelly
Date:        Wed, Jun 18, 2015 thru Tue, Jun 24, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU107256XAB4  Odyssey      2015  29610  30375  Mitchell, Sue           Fri, Jun 20, 2015       D03-03-01 
 JH152SU197253A786  Odyssey      2015  28822  30375  Smith, Maria            Mon, Jun 23, 2015       D03-03-04 
 JC131F11A7254B898  CR-V         2015  30995  30995  Smith, Maria            Fri, Jun 20, 2015       D03-03-04 
 JC131F1197252968X  CR-V         2015  28908  30995  Graham, Jeffery         Sat, Jun 21, 2015       D03-03-06 
 JA115SU30725X7462  Accord       2015  24077  25480  Herrera, Julian         Mon, Jun 23, 2015       D03-03-03 
 JH154SU1372518574  Odyssey      2015  30485  32375  Herrera, Julian         Fri, Jun 20, 2015       D03-03-03 
 JB122SU29725X7466  Civic        2015  16358  17255  Larson, Sonia           Tue, Jun 24, 2015       D03-03-05 
 JC131F11072529688  CR-V         2015  29711  30995  Larson, Sonia           Mon, Jun 23, 2015       D03-03-05 
 JB128SU327255C9CX  Civic        2015  16722  17455  Herrera, Julian         Wed, Jun 18, 2015       D03-03-03 
 JA113SU3172582C22  Accord       2015  21652  23480  Larson, Sonia           Wed, Jun 18, 2015       D03-03-05 
 JD139F31A72571B14  CR-Z         2015  25220  25705  Larson, Sonia           Sun, Jun 22, 2015       D03-03-05 
 JE141F11872582C26  Crosstour    2015  35663  37640  Taylor, Billie          Sun, Jun 22, 2015       D03-03-02 
 JA115SU367254B8B8  Accord       2015  24077  25480  Smith, Maria            Thu, Jun 19, 2015       D03-03-04 
 JA1X2F128725X748X  Accord       2015  31081  33030  Graham, Jeffery         Mon, Jun 23, 2015       D03-03-06 
 JB127S139725X7482  Civic        2015  16979  16655  Mitchell, Sue           Tue, Jun 24, 2015       D03-03-01 
 JD136F11772518594  CR-Z         2015  23763  24705  Smith, Maria            Mon, Jun 23, 2015       D03-03-04 
 JB129S1447254B8C6  Civic        2015  22729  23055  Taylor, Billie          Wed, Jun 18, 2015       D03-03-02 
 JC134F31172582C38  CR-V         2015  29973  31995  Larson, Sonia           Sun, Jun 22, 2015       D03-03-05 
 JB123H15A72571B3X  Civic        2015  26570  27600  Graham, Jeffery         Fri, Jun 20, 2015       D03-03-06 
