Dealer Name: Quality Honda
Address:     1624 Tupelo Road
             Norbert, FL
Dealer ID:   16
Owner:       Simpson, Homer
Date:        Wed, Jun 18, 2015 thru Tue, Jun 24, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU107254B2X2  CR-V         2015  30139  31995  Daniels, Rhonda         Tue, Jun 24, 2015       D16-15-06 
 JB121S12072582644  Civic        2015  16964  16455  Freeman, Vickie         Sat, Jun 21, 2015       D16-15-05 
 JH15AS1167256X426  Odyssey      2015  27755  29375  Horton, Jon             Thu, Jun 19, 2015       D16-15-09 
 JD136F1177254B2X8  CR-Z         2015  23763  24705  Daniels, Rhonda         Wed, Jun 18, 2015       D16-15-06 
 JA111S1367255C32X  Accord       2015  21716  22480  Daniels, Rhonda         Fri, Jun 20, 2015       D16-15-06 
 JD136F11A7254B212  CR-Z         2015  24796  24705  Hunter, Yolanda         Mon, Jun 23, 2015       D16-15-02 
 JB121S125725X7BA4  Civic        2015  16876  16455  Daniels, Rhonda         Fri, Jun 20, 2015       D16-15-06 
 JA113SU3572529XC6  Accord       2015  22144  23480  Rose, Ida               Fri, Jun 20, 2015       D16-15-08 
 JH156S317725X7BA8  Odyssey      2015  29610  30375  Hunter, Yolanda         Sat, Jun 21, 2015       D16-15-02 
 JB122SU257254B35X  Civic        2015  17277  17255  Freeman, Vickie         Sat, Jun 21, 2015       D16-15-05 
 JA117S33172571682  Accord       2015  23743  23480  Crawford, Glen          Wed, Jun 18, 2015       D16-15-04 
 JB127S1317254B354  Civic        2015  15646  16655  Rose, Ida               Fri, Jun 20, 2015       D16-15-08 
 JE141F1107255C466  Crosstour    2015  34307  37640  Gonzales, Harold        Tue, Jun 24, 2015       D16-15-03 
 JD137FU187253A248  CR-Z         2015  24012  25705  Rose, Ida               Sat, Jun 21, 2015       D16-15-08 
 JD139F31872518X3X  CR-Z         2015  25756  25705  Murray, Gladys          Thu, Jun 19, 2015       D16-15-07 
 JH154SU127253A252  Odyssey      2015  29480  32375  Daniels, Rhonda         Mon, Jun 23, 2015       D16-15-06 
 JA1X3SU297255C474  Accord       2015  24772  25089  Murray, Gladys          Mon, Jun 23, 2015       D16-15-07 
 JA115SU38725827A6  Accord       2015  24476  25480  Horton, Jon             Thu, Jun 19, 2015       D16-15-09 
 JA111S137725X7C28  Accord       2015  21362  22480  Gonzales, Harold        Wed, Jun 18, 2015       D16-15-03 
 JH152SU117252915X  Odyssey      2015  30240  30375  Gonzales, Harold        Thu, Jun 19, 2015       D16-15-03 
 JB127S13A7256X592  Civic        2015  17246  16655  Daniels, Rhonda         Fri, Jun 20, 2015       D16-15-06 
 JB125G167725716A4  Civic        2015  26815  28505  Gonzales, Harold        Fri, Jun 20, 2015       D16-15-03 
 JB123H1507254B376  Civic        2015  27432  27600  Rose, Ida               Mon, Jun 23, 2015       D16-15-08 
 JE141F11A7256X598  Crosstour    2015  35663  37640  Murray, Gladys          Thu, Jun 19, 2015       D16-15-07 
 JB127S133725X7C4X  Civic        2015  16624  16655  Horton, Jon             Sat, Jun 21, 2015       D16-15-09 
 JC132FU1472518X52  CR-V         2015  31629  31995  Gonzales, Harold        Thu, Jun 19, 2015       D16-15-03 
 JA1X3SU26725X7C44  Accord       2015  23723  25089  Murray, Gladys          Mon, Jun 23, 2015       D16-15-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1234183AA81  Civic       2004  11271  16455  Daniels, Rhonda         Mon, Jun 23, 2015       D16-15-06 
 JH155FU1A419822X3  Odyssey     2004  31913  47825  Hunter, Yolanda         Fri, Jun 20, 2015       D16-15-02 
 JG148F1171176XXB5  Insight     2001  9756   24390  Cooper, Joanne          Sun, Jun 22, 2015       D16-15-01 
 JH152SU1821618867  Odyssey     2002  16065  30375  Murray, Gladys          Tue, Jun 24, 2015       D16-15-07 
 JC131F1166395CCA9  CR-V        2006  25696  30995  Hunter, Yolanda         Wed, Jun 18, 2015       D16-15-02 
 JD137FU163X33AA91  CR-Z        2003  15693  25705  Murray, Gladys          Sat, Jun 21, 2015       D16-15-07 
 JC135F41934P6XXC3  CR-V        2003  24267  39995  Daniels, Rhonda         Wed, Jun 18, 2015       D16-15-06 
 JB129S1474193AA95  Civic       2004  15614  23055  Horton, Jon             Tue, Jun 24, 2015       D16-15-09 
 JE141F1195355CCB7  Crosstour   2005  27748  37640  Rose, Ida               Fri, Jun 20, 2015       D16-15-08 
 JB127S1322X46XXC9  Civic       2002  8862   16655  Rose, Ida               Wed, Jun 18, 2015       D16-15-08 
 JH151F11A61P29991  Odyssey     2006  36760  44825  Cooper, Joanne          Sat, Jun 21, 2015       D16-15-01 
 JJ161FU1054318883  Pilot       2005  32200  42970  Daniels, Rhonda         Sat, Jun 21, 2015       D16-15-06 
 JH151F1105356XXX5  Odyssey     2005  32922  44825  Murray, Gladys          Tue, Jun 24, 2015       D16-15-07 
 JG148F1126X629997  Insight     2006  20667  24390  Freeman, Vickie         Sat, Jun 21, 2015       D16-15-05 
 JH159F418429X7779  Odyssey     2004  36800  56825  Freeman, Vickie         Thu, Jun 19, 2015       D16-15-05 
 JH159F41454718891  Odyssey     2005  41562  56825  Rose, Ida               Wed, Jun 18, 2015       D16-15-08 
 JH151F11261918893  Odyssey     2006  37219  44825  Murray, Gladys          Fri, Jun 20, 2015       D16-15-07 
 JB127S1383376XX15  Civic       2003  10605  16655  Daniels, Rhonda         Fri, Jun 20, 2015       D16-15-06 
 JB121S12A6216XX17  Civic       2006  14239  16455  Gonzales, Harold        Sun, Jun 22, 2015       D16-15-03 
 JH152SU1044818899  Odyssey     2004  19872  30375  Rose, Ida               Mon, Jun 23, 2015       D16-15-08 
 JC132FU162376XX21  CR-V        2002  16110  31995  Daniels, Rhonda         Tue, Jun 24, 2015       D16-15-06 
 JK166FU184496XX23  Ridgeline   2004  30992  47750  Daniels, Rhonda         Thu, Jun 19, 2015       D16-15-06 
