Dealer Name: Thomas Team Honda
Address:     2825 Kline Ave
             Grayland, TN
Dealer ID:   19
Owner:       Thomas, Phil
Date:        Wed, Jun 18, 2015 thru Tue, Jun 24, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA116FU367256191X  Accord       2015  33349  35930  Sanchez, Walter         Sat, Jun 21, 2015       D19-18-08 
 JB123H15872519492  Civic        2015  27432  27600  Rodriguez, Marc         Fri, Jun 20, 2015       D19-18-02 
 JH152SU1A72561914  Odyssey      2015  30555  30375  Rodriguez, Marc         Tue, Jun 24, 2015       D19-18-02 
 JG148F11372572A26  Insight      2015  23856  24390  Graham, Keith           Tue, Jun 24, 2015       D19-18-06 
 JG148F11A7254C7C8  Insight      2015  23473  24390  Watkins, Megan          Fri, Jun 20, 2015       D19-18-05 
 JH157F31A725X839X  Odyssey      2015  42020  45825  Hernandez, Jeanne       Thu, Jun 19, 2015       D19-18-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH159F4166X182347  Odyssey     2006  45780  56825  Sanchez, Walter         Sun, Jun 22, 2015       D19-18-08 
 JB129S1453X7189A9  Civic       2003  14573  23055  Rice, Joann             Sun, Jun 22, 2015       D19-18-07 
 JB123H15A1X34BC11  Civic       2001  11868  27600  Hughes, Hazel           Fri, Jun 20, 2015       D19-18-01 
 JH154SU103X75CX23  Odyssey     2003  19695  32375  Hernandez, Jeanne       Sat, Jun 21, 2015       D19-18-03 
