Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Wed, Jul 23, 2015 thru Tue, Jul 29, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X8F32773P71A88  Accord       2015  31815  34030  King, Michelle          Fri, Jul 25, 2015       D01-01-03 
 JC131F11873P1843X  CR-V         2015  30674  30995  Russell, Connie         Sun, Jul 27, 2015       D01-01-01 
 JA1X1S12073P4B762  Accord       2015  22440  24089  Harper, Freddie         Mon, Jul 28, 2015       D01-01-05 
 JB121S12873P4B764  Civic        2015  16349  16455  King, Michelle          Wed, Jul 23, 2015       D01-01-03 
 JH15AS11473P82BA6  Odyssey      2015  28364  29375  Harper, Freddie         Fri, Jul 25, 2015       D01-01-05 
 JC131F11173P3A658  CR-V         2015  30353  30995  Russell, Connie         Thu, Jul 24, 2015       D01-01-01 
 JE143FU1973P82BBX  Crosstour    2015  39050  40640  Jennings, Terry         Mon, Jul 28, 2015       D01-01-02 
 JB121S12773P82BB2  Civic        2015  16437  16455  Ryan, Margie            Tue, Jul 29, 2015       D01-01-06 
 JH155FU1673P18444  Odyssey      2015  45523  47825  Wood, Lloyd             Wed, Jul 23, 2015       D01-01-04 
 JJ16AF11A73P18446  Pilot        2015  40724  41970  Ryan, Margie            Fri, Jul 25, 2015       D01-01-06 
 JB127S13573P6X998  Civic        2015  16446  16655  Russell, Connie         Sun, Jul 27, 2015       D01-01-01 
 JA1X3SU2673P2956X  Accord       2015  23854  25089  Wood, Lloyd             Thu, Jul 24, 2015       D01-01-04 
 JE141F11373P71AB2  Crosstour    2015  34307  37640  Russell, Connie         Fri, Jul 25, 2015       D01-01-01 
 JH152SU1573P4B784  Odyssey      2015  29610  30375  Russell, Connie         Fri, Jul 25, 2015       D01-01-01 
 JE143FU1673P5C896  Crosstour    2015  40303  40640  Wood, Lloyd             Sun, Jul 27, 2015       D01-01-04 
 JB127S13373P18458  Civic        2015  16002  16655  Harper, Freddie         Mon, Jul 28, 2015       D01-01-05 
 JB127S13273P4B79X  Civic        2015  17157  16655  Wood, Lloyd             Mon, Jul 28, 2015       D01-01-04 
 JA1X1S12273P71AC2  Accord       2015  24079  24089  Jennings, Terry         Wed, Jul 23, 2015       D01-01-02 
 JB128SU3473P82BX4  Civic        2015  17186  17455  Russell, Connie         Fri, Jul 25, 2015       D01-01-01 
 JB128SU3A73P4B796  Civic        2015  17929  17455  Harper, Freddie         Mon, Jul 28, 2015       D01-01-05 
 JB121S12173P29578  Civic        2015  17052  16455  Wood, Lloyd             Mon, Jul 28, 2015       D01-01-04 
 JA1X2F12773P6X9CX  Accord       2015  30227  33030  King, Michelle          Thu, Jul 24, 2015       D01-01-03 
 JA1X1S12373P6X9C2  Accord       2015  24205  24089  Ryan, Margie            Wed, Jul 23, 2015       D01-01-06 
 JG148F11273P4B7A4  Insight      2015  22835  24390  Ryan, Margie            Sun, Jul 27, 2015       D01-01-06 
 JB121S12673PX7366  Civic        2015  15909  16455  Ryan, Margie            Mon, Jul 28, 2015       D01-01-06 
 JB121S12A73PX7368  Civic        2015  16964  16455  Wood, Lloyd             Sat, Jul 26, 2015       D01-01-04 
 JA111S13773P5C8CX  Accord       2015  21834  22480  Ryan, Margie            Tue, Jul 29, 2015       D01-01-06 
 JB129S14873P71A12  Civic        2015  22124  23055  Wood, Lloyd             Sat, Jul 26, 2015       D01-01-04 
 JD136F11173P71A14  CR-Z         2015  24538  24705  King, Michelle          Wed, Jul 23, 2015       D01-01-03 
 JH153FU1173P6X9X6  Odyssey      2015  44602  45825  King, Michelle          Wed, Jul 23, 2015       D01-01-03 
 JB121S12173P71A18  Civic        2015  16349  16455  King, Michelle          Wed, Jul 23, 2015       D01-01-03 
 JA116FU3173P3A6BX  Accord       2015  32793  35930  Russell, Connie         Sat, Jul 26, 2015       D01-01-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS1174195C869  Odyssey     2004  19772  29375  Ryan, Margie            Thu, Jul 24, 2015       D01-01-06 
 JH151F111649X7321  Odyssey     2006  37219  44825  Jennings, Terry         Fri, Jul 25, 2015       D01-01-02 
 JG148F11243982BA3  Insight     2004  16492  24390  Ryan, Margie            Thu, Jul 24, 2015       D01-01-06 
 JH153FU13419X7325  Odyssey     2004  29760  45825  King, Michelle          Wed, Jul 23, 2015       D01-01-03 
 JD138FU101X45C877  CR-Z        2001  11913  27705  King, Michelle          Fri, Jul 25, 2015       D01-01-03 
 JD136F1155X24B769  CR-Z        2005  18794  24705  Jennings, Terry         Sat, Jul 26, 2015       D01-01-02 
 JC133FU152415C881  CR-V        2002  17110  33995  King, Michelle          Fri, Jul 25, 2015       D01-01-03 
 JC131F1154324B773  CR-V        2004  20268  30995  Jennings, Terry         Sat, Jul 26, 2015       D01-01-02 
 JH158S4196216X995  Odyssey     2006  34000  41375  King, Michelle          Fri, Jul 25, 2015       D01-01-03 
 JE142FU1042671AA7  Crosstour   2004  25161  38640  Russell, Connie         Thu, Jul 24, 2015       D01-01-01 
 JB127S13A52418449  Civic       2005  12885  16655  Ryan, Margie            Mon, Jul 28, 2015       D01-01-06 
 JH157F31442518451  Odyssey     2004  30597  45825  Harper, Freddie         Thu, Jul 24, 2015       D01-01-05 
 JH153FU104465C893  Odyssey     2004  30597  45825  Harper, Freddie         Fri, Jul 25, 2015       D01-01-05 
