Dealer Name: State Honda
Address:     1322 Centerville Road
             Louderdale, FL
Dealer ID:   30
Owner:       Samuels, Sammy
Date:        Wed, Jul 23, 2015 thru Tue, Jul 29, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA115SU3973P2AAA6  Accord       2015  25540  25480  Romero, Floyd           Wed, Jul 23, 2015       D30-26-01 
 JH15AS11373P3BBB8  Odyssey      2015  28060  29375  Romero, Floyd           Mon, Jul 28, 2015       D30-26-01 
 JB127S13873P6112X  Civic        2015  17068  16655  Romero, Floyd           Sun, Jul 27, 2015       D30-26-01 
 JC131F11073P61122  CR-V         2015  30995  30995  Romero, Floyd           Wed, Jul 23, 2015       D30-26-01 
 JB127S13873P199A4  Civic        2015  16624  16655  Romero, Floyd           Sat, Jul 26, 2015       D30-26-01 
 JA111S13873P3BBC6  Accord       2015  21598  22480  Romero, Floyd           Sun, Jul 27, 2015       D30-26-01 
 JB127S13273P83348  Civic        2015  16357  16655  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB121S12273P3BBXX  Civic        2015  16788  16455  Shelton, Marshall       Sun, Jul 27, 2015       D30-26-02 
 JB121S12873PX88A2  Civic        2015  15909  16455  Romero, Floyd           Fri, Jul 25, 2015       D30-26-01 
 JH151F11573PX88A4  Odyssey      2015  44112  44825  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB127S13773P2AAC6  Civic        2015  16891  16655  Romero, Floyd           Wed, Jul 23, 2015       D30-26-01 
 JB127S13573P83358  Civic        2015  16891  16655  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB127S13173P7238X  Civic        2015  16802  16655  Shelton, Marshall       Thu, Jul 24, 2015       D30-26-02 
 JD138FU1573P61272  CR-Z         2015  25947  27705  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JH151F11373P4CX54  Odyssey      2015  44571  44825  Shelton, Marshall       Wed, Jul 23, 2015       D30-26-02 
 JB121S12373P4CX56  Civic        2015  16525  16455  Romero, Floyd           Fri, Jul 25, 2015       D30-26-01 
 JB127S13273P5X168  Civic        2015  16535  16655  Shelton, Marshall       Tue, Jul 29, 2015       D30-26-02 
 JD137FU1173P834AX  CR-Z         2015  25488  25705  Shelton, Marshall       Tue, Jul 29, 2015       D30-26-02 
 JB127S13973P61282  Civic        2015  17068  16655  Shelton, Marshall       Sat, Jul 26, 2015       D30-26-02 
 JE142FU1673P5X174  Crosstour    2015  37776  38640  Shelton, Marshall       Sun, Jul 27, 2015       D30-26-02 
 JB127S13473P834A6  Civic        2015  16268  16655  Romero, Floyd           Fri, Jul 25, 2015       D30-26-01 
 JA1X3SU2873P61288  Accord       2015  23854  25089  Shelton, Marshall       Mon, Jul 28, 2015       D30-26-02 
 JB127S13273P723AX  Civic        2015  16624  16655  Shelton, Marshall       Tue, Jul 29, 2015       D30-26-02 
 JH152SU1673P3BC62  Odyssey      2015  30555  30375  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB121S12073PX8934  Civic        2015  16701  16455  Romero, Floyd           Tue, Jul 29, 2015       D30-26-01 
 JJ163F31273P61296  Pilot        2015  40126  42970  Romero, Floyd           Sat, Jul 26, 2015       D30-26-01 
 JC131F11673P723A8  CR-V         2015  28747  30995  Shelton, Marshall       Sat, Jul 26, 2015       D30-26-02 
 JB128SU3073P834CX  Civic        2015  17836  17455  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB129S14873P2AB62  Civic        2015  22124  23055  Romero, Floyd           Sat, Jul 26, 2015       D30-26-01 
 JB127S13A73P19A54  Civic        2015  16002  16655  Romero, Floyd           Sat, Jul 26, 2015       D30-26-01 
 JC135F41A73PX8946  CR-V         2015  39269  39995  Romero, Floyd           Wed, Jul 23, 2015       D30-26-01 
 JJ163F31A73P4CX88  Pilot        2015  39905  42970  Romero, Floyd           Wed, Jul 23, 2015       D30-26-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1245414B377  Civic       2005  12738  16455  Romero, Floyd           Tue, Jul 29, 2015       D30-26-01 
 JC132FU1363829159  CR-V        2006  26827  31995  Romero, Floyd           Mon, Jul 28, 2015       D30-26-01 
 JD138FU165476X5A1  CR-Z        2005  20996  27705  Romero, Floyd           Mon, Jul 28, 2015       D30-26-01 
 JB127S1373295C493  Civic       2003  10605  16655  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JH153FU12213716B5  Odyssey     2002  24176  45825  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB121S1285X2827C7  Civic       2005  12738  16455  Shelton, Marshall       Mon, Jul 28, 2015       D30-26-02 
 JC131F1192395C499  CR-V        2002  15610  30995  Romero, Floyd           Wed, Jul 23, 2015       D30-26-01 
 JH155FU1832729171  Odyssey     2003  28965  47825  Shelton, Marshall       Wed, Jul 23, 2015       D30-26-02 
 JD136F118339827X3  CR-Z        2003  15596  24705  Shelton, Marshall       Mon, Jul 28, 2015       D30-26-02 
 JC131F1125345C4A5  CR-V        2005  23410  30995  Romero, Floyd           Sat, Jul 26, 2015       D30-26-01 
 JJ163F31725P5C4A7  Pilot       2002  21597  42970  Shelton, Marshall       Thu, Jul 24, 2015       D30-26-02 
 JG148F1153173A289  Insight     2003  22480  24390  Shelton, Marshall       Sat, Jul 26, 2015       D30-26-02 
 JB125G16044829181  Civic       2004  19200  28505  Romero, Floyd           Fri, Jul 25, 2015       D30-26-01 
 JD138FU134X44B3A3  CR-Z        2004  18674  27705  Shelton, Marshall       Wed, Jul 23, 2015       D30-26-02 
 JA113SU355395C4B5  Accord      2005  17894  23480  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB123H15463P5C4B7  Civic       2006  23267  27600  Romero, Floyd           Sun, Jul 27, 2015       D30-26-01 
 JH153FU194253A299  Odyssey     2004  29760  45825  Romero, Floyd           Mon, Jul 28, 2015       D30-26-01 
 JH154SU1842118X81  Odyssey     2004  21746  32375  Shelton, Marshall       Sat, Jul 26, 2015       D30-26-02 
 JB121S12651782723  Civic       2005  12738  16455  Romero, Floyd           Wed, Jul 23, 2015       D30-26-01 
 JH158S4174X25C4C5  Odyssey     2004  38055  41375  Romero, Floyd           Sun, Jul 27, 2015       D30-26-01 
 JA111S1365255C4C7  Accord      2005  17160  22480  Shelton, Marshall       Sat, Jul 26, 2015       D30-26-02 
 JC132FU143235C4C9  CR-V        2003  19467  31995  Romero, Floyd           Fri, Jul 25, 2015       D30-26-01 
 JB129S1401X73A2B1  Civic       2001  9913   23055  Shelton, Marshall       Fri, Jul 25, 2015       D30-26-02 
 JB123H15031671623  Civic       2003  17391  27600  Shelton, Marshall       Sat, Jul 26, 2015       D30-26-02 
 JB121S128439X7C85  Civic       2004  11271  16455  Romero, Floyd           Tue, Jul 29, 2015       D30-26-01 
 JH159F4144X382737  Odyssey     2004  37835  56825  Shelton, Marshall       Thu, Jul 24, 2015       D30-26-02 
