Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Wed, Aug 13, 2015 thru Tue, Aug 19, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1277332ACBX  Civic        2015  16964  16455  Shelton, Adam           Tue, Aug 19, 2015       D33-29-05 
 JB129S1457332ACB2  Civic        2015  23333  23055  Shelton, Adam           Mon, Aug 18, 2015       D33-29-05 
 JB129S1467335X214  Civic        2015  21762  23055  Martinez, Katherine     Thu, Aug 14, 2015       D33-29-04 
 JB121S1257332ACB6  Civic        2015  16788  16455  Morgan, Milton          Mon, Aug 18, 2015       D33-29-03 
 JC133FU1973319BA8  CR-V         2015  32310  33995  Shelton, Adam           Wed, Aug 13, 2015       D33-29-05 
 JH153FU147337244X  Odyssey      2015  44602  45825  Martinez, Katherine     Wed, Aug 13, 2015       D33-29-04 
 JF146S1147332ACC2  Fit          2015  16035  16025  Shelton, Adam           Fri, Aug 15, 2015       D33-29-05 
 JB129S14373361334  Civic        2015  22487  23055  Martinez, Katherine     Mon, Aug 18, 2015       D33-29-04 
 JH155FU1673383556  Odyssey      2015  46013  47825  Morgan, Milton          Fri, Aug 15, 2015       D33-29-03 
 JB121S1277333BXX8  Civic        2015  16525  16455  Wells, Clayton          Thu, Aug 14, 2015       D33-29-01 
 JA111S1307337258X  Accord       2015  21008  22480  Mitchell, John          Mon, Aug 18, 2015       D33-29-02 
 JA1X1S127733X8B12  Accord       2015  23070  24089  Morgan, Milton          Sun, Aug 17, 2015       D33-29-03 
 JA1X1S12773361474  Accord       2015  22692  24089  Mitchell, John          Fri, Aug 15, 2015       D33-29-02 
 JB129S14173361476  Civic        2015  23091  23055  Shelton, Adam           Tue, Aug 19, 2015       D33-29-05 
 JK165F11973372588  Ridgeline    2015  45002  46750  Mitchell, John          Fri, Aug 15, 2015       D33-29-02 
 JB127S138733836AX  Civic        2015  15735  16655  Martinez, Katherine     Tue, Aug 19, 2015       D33-29-04 
 JC131F1107332AX42  CR-V         2015  29871  30995  Shelton, Adam           Fri, Aug 15, 2015       D33-29-05 
 JA1X1S128733836A4  Accord       2015  23827  24089  Wells, Clayton          Sun, Aug 17, 2015       D33-29-01 
 JC132FU177332AX46  CR-V         2015  30470  31995  Martinez, Katherine     Thu, Aug 14, 2015       D33-29-04 
 JD136F1177333B158  CR-Z         2015  23634  24705  Mitchell, John          Tue, Aug 19, 2015       D33-29-02 
 JG148F113733X8B3X  Insight      2015  22835  24390  Martinez, Katherine     Sat, Aug 16, 2015       D33-29-04 
 JA111S132733725A2  Accord       2015  22660  22480  Morgan, Milton          Thu, Aug 14, 2015       D33-29-03 
 JJ16AF1157335X384  Pilot        2015  41371  41970  Wells, Clayton          Sat, Aug 16, 2015       D33-29-01 
 JH158S4197334C276  Odyssey      2015  38250  41375  Mitchell, John          Mon, Aug 18, 2015       D33-29-02 
 JC131F1147332AX58  CR-V         2015  28265  30995  Mitchell, John          Sun, Aug 17, 2015       D33-29-02 
 JB127S139733X8B4X  Civic        2015  16446  16655  Shelton, Adam           Fri, Aug 15, 2015       D33-29-05 
 JH15AS11A73319C52  Odyssey      2015  27450  29375  Mitchell, John          Mon, Aug 18, 2015       D33-29-02 
 JB127S1357334C284  Civic        2015  16713  16655  Martinez, Katherine     Thu, Aug 14, 2015       D33-29-04 
 JJ16AF1117335X396  Pilot        2015  40293  41970  Morgan, Milton          Fri, Aug 15, 2015       D33-29-03 
 JJ161FU147333B178  Pilot        2015  40126  42970  Martinez, Katherine     Sat, Aug 16, 2015       D33-29-04 
 JC133FU1473319C6X  CR-V         2015  32837  33995  Martinez, Katherine     Sat, Aug 16, 2015       D33-29-04 
 JE142FU187335X3A2  Crosstour    2015  35390  38640  Shelton, Adam           Tue, Aug 19, 2015       D33-29-05 
 JG148F1107335X3A4  Insight      2015  24366  24390  Martinez, Katherine     Mon, Aug 18, 2015       D33-29-04 
 JA1X3SU2A733614B6  Accord       2015  23199  25089  Mitchell, John          Fri, Aug 15, 2015       D33-29-02 
 JG148F119733725C8  Insight      2015  23091  24390  Martinez, Katherine     Thu, Aug 14, 2015       D33-29-04 
 JA111S131733X8B6X  Accord       2015  22306  22480  Shelton, Adam           Mon, Aug 18, 2015       D33-29-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU101X719479  Odyssey     2001  19704  45825  Martinez, Katherine     Sun, Aug 17, 2015       D33-29-04 
 JH152SU124284C7B1  Odyssey     2004  20430  30375  Martinez, Katherine     Tue, Aug 19, 2015       D33-29-04 
 JH154SU192412A593  Odyssey     2002  15485  32375  Shelton, Adam           Mon, Aug 18, 2015       D33-29-05 
 JH159F4134515X8C5  Odyssey     2004  36800  56825  Shelton, Adam           Sat, Aug 16, 2015       D33-29-05 
 JE141F1124X53B6A7  Crosstour   2004  24521  37640  Shelton, Adam           Wed, Aug 13, 2015       D33-29-05 
 JJ161FU1141319489  Pilot       2004  28718  42970  Shelton, Adam           Sat, Aug 16, 2015       D33-29-05 
 JG148F1144X819491  Insight     2004  16041  24390  Martinez, Katherine     Mon, Aug 18, 2015       D33-29-04 
 JD137FU101X261913  CR-Z        2001  10282  25705  Mitchell, John          Wed, Aug 13, 2015       D33-29-02 
 JD138FU126112A5A5  CR-Z        2006  23352  27705  Martinez, Katherine     Wed, Aug 13, 2015       D33-29-04 
 JC131F1184435X8X7  CR-V        2004  20838  30995  Mitchell, John          Fri, Aug 15, 2015       D33-29-02 
 JH156S31363761919  Odyssey     2006  24885  30375  Wells, Clayton          Tue, Aug 19, 2015       D33-29-01 
 JG149FU11616194A1  Insight     2006  21315  25190  Mitchell, John          Sun, Aug 17, 2015       D33-29-02 
 JC135F4154332A5B3  CR-V        2004  26028  39995  Shelton, Adam           Tue, Aug 19, 2015       D33-29-05 
 JA1X1S12123661925  Accord      2002  12764  24089  Martinez, Katherine     Tue, Aug 19, 2015       D33-29-04 
 JB127S1332X32A5B7  Civic       2002  8862   16655  Martinez, Katherine     Thu, Aug 14, 2015       D33-29-04 
 JH153FU1A32772A39  Odyssey     2003  28690  45825  Mitchell, John          Sat, Aug 16, 2015       D33-29-02 
